Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Virginie P.L.Q./Q.L.P.;Brisebois David C.Q.;Cloutier Serge P.C.Q-E.E.D.;Déry Pascale C.A.Q.-E.F.L.;Marc Ednal Q.S.;Van Dun Aïcha P.Q.;B.V.;B.R.
560;Repentigny;2022-10-03;G;Repentigny, v;16;;71;393;7;0;13;65;34;40;159;3
560;Repentigny;2022-10-03;G;Repentigny, v;16;;72;409;13;0;9;118;11;45;196;1
560;Repentigny;2022-10-03;G;Repentigny, v;16;;73;373;15;0;18;68;18;29;148;4
560;Repentigny;2022-10-03;G;Repentigny, v;17;;74;360;9;0;15;75;13;23;135;1
560;Repentigny;2022-10-03;G;Repentigny, v;17;;75;361;11;1;13;75;21;35;156;1
560;Repentigny;2022-10-03;G;Repentigny, v;17;;76;379;20;0;10;86;23;33;172;0
560;Repentigny;2022-10-03;G;Repentigny, v;17;;77;386;4;1;7;80;18;25;135;3
560;Repentigny;2022-10-03;G;Repentigny, v;17;;78;373;31;3;13;77;40;37;201;2
560;Repentigny;2022-10-03;G;Repentigny, v;17;;79;366;10;2;17;71;26;30;156;2
560;Repentigny;2022-10-03;G;Repentigny, v;17;;80;357;8;2;4;98;19;46;177;2
560;Repentigny;2022-10-03;G;Repentigny, v;17;;81;358;18;2;16;43;34;19;132;4
560;Repentigny;2022-10-03;G;Repentigny, v;18;;82;376;33;1;9;63;38;30;174;2
560;Repentigny;2022-10-03;G;Repentigny, v;18;;83;385;19;2;6;92;25;37;181;0
560;Repentigny;2022-10-03;G;Repentigny, v;18;;84;385;16;3;12;70;35;28;164;3
560;Repentigny;2022-10-03;G;Repentigny, v;18;;85;380;16;4;28;58;28;30;164;3
560;Repentigny;2022-10-03;G;Repentigny, v;18;;86;396;28;1;9;61;25;31;155;1
560;Repentigny;2022-10-03;G;Repentigny, v;18;;87;388;19;0;10;74;42;33;178;0
560;Repentigny;2022-10-03;G;Repentigny, v;18;;88;383;24;2;10;67;34;19;156;4
560;Repentigny;2022-10-03;G;Repentigny, v;18;;89;381;64;1;8;54;17;24;168;5
560;Repentigny;2022-10-03;G;Repentigny, v;18;;90;393;41;1;20;61;39;21;183;6
560;Repentigny;2022-10-03;G;Repentigny, v;18;;91;391;34;1;3;72;41;20;171;4
560;Repentigny;2022-10-03;G;Repentigny, v;18;;92;386;37;1;18;53;28;14;151;5
560;Repentigny;2022-10-03;G;Repentigny, v;20;;93;382;28;1;11;69;28;21;158;0
560;Repentigny;2022-10-03;G;Repentigny, v;20;;94;380;41;2;18;71;24;29;185;1
560;Repentigny;2022-10-03;G;Repentigny, v;20;;95;410;27;0;16;105;19;29;196;2
560;Repentigny;2022-10-03;G;Repentigny, v;20;;96;389;44;0;22;82;29;34;211;10
560;Repentigny;2022-10-03;G;Repentigny, v;20;;97;396;52;2;29;77;36;29;225;4
560;Repentigny;2022-10-03;G;Repentigny, v;20;;98;400;76;1;14;71;38;23;223;0
560;Repentigny;2022-10-03;G;Repentigny, v;20;;99;402;67;0;12;86;38;26;229;1
560;Repentigny;2022-10-03;G;Repentigny, v;20;;100;384;54;0;15;83;34;15;201;0
560;Repentigny;2022-10-03;G;Repentigny, v;20;;101;383;55;1;13;58;40;16;183;0
560;Repentigny;2022-10-03;G;Repentigny, v;20;;102;390;39;4;14;81;31;25;194;3
560;Repentigny;2022-10-03;G;Repentigny, v;21;;103;374;29;7;8;73;32;25;174;3
560;Repentigny;2022-10-03;G;Repentigny, v;21;;104;386;46;0;8;84;35;25;198;2
560;Repentigny;2022-10-03;G;Repentigny, v;21;;105;378;30;0;7;85;34;40;196;1
560;Repentigny;2022-10-03;G;Repentigny, v;21;;106;393;28;2;16;78;26;38;188;3
560;Repentigny;2022-10-03;G;Repentigny, v;21;;107;371;22;2;12;76;38;53;203;1
560;Repentigny;2022-10-03;G;Repentigny, v;21;;108;380;22;4;10;120;21;34;211;2
560;Repentigny;2022-10-03;G;Repentigny, v;21;;109;391;32;2;13;72;29;46;194;3
560;Repentigny;2022-10-03;G;Repentigny, v;21;;110;376;29;2;7;91;41;25;195;0
