Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abdallah Hassan P.L.Q./Q.L.P.;Aubin Claire C.Q.;Boucher Julie P.Q.;Drainville Amélie Q.S.;Primeau Benoit P.C.Q-E.E.D.;Proulx Caroline C.A.Q.-E.F.L.;B.V.;B.R.
566;Berthier;2022-10-03;G;Lavaltrie, v;4;;28;381;3;0;44;34;11;69;161;3
566;Berthier;2022-10-03;G;Lavaltrie, v;4;;29;379;4;0;33;26;25;79;167;6
566;Berthier;2022-10-03;G;Lavaltrie, v;4;;30;372;0;0;34;29;19;80;162;1
566;Berthier;2022-10-03;G;Lavaltrie, v;4;;31;388;5;3;26;19;20;71;144;2
566;Berthier;2022-10-03;G;Lanoraie, m;1;;32;408;5;0;38;18;26;99;186;3
566;Berthier;2022-10-03;G;Lanoraie, m;1;;33;389;2;2;36;24;16;90;170;6
566;Berthier;2022-10-03;G;Lanoraie, m;1;;34;404;4;1;44;21;9;73;152;3
566;Berthier;2022-10-03;G;Lanoraie, m;1;;35;414;5;2;31;26;21;67;152;4
566;Berthier;2022-10-03;G;Lanoraie, m;1;;36;404;2;0;39;29;29;84;183;2
566;Berthier;2022-10-03;G;Lanoraie, m;2;;37;412;2;0;32;19;21;55;129;4
566;Berthier;2022-10-03;G;Lanoraie, m;2;;38;392;2;1;36;16;36;67;158;1
566;Berthier;2022-10-03;G;Lanoraie, m;2;;39;419;5;0;41;25;22;68;161;1
566;Berthier;2022-10-03;G;Lanoraie, m;2;;40;404;2;4;31;29;29;85;180;2
566;Berthier;2022-10-03;G;Lanoraie, m;2;;41;401;10;0;40;25;18;98;191;3
566;Berthier;2022-10-03;G;Sainte-Geneviève-de-Berthier, m;1;;42;375;3;1;43;14;21;80;162;3
566;Berthier;2022-10-03;G;Sainte-Geneviève-de-Berthier, m;1;;43;362;1;1;24;28;16;92;162;1
566;Berthier;2022-10-03;G;Sainte-Geneviève-de-Berthier, m;1;;44;367;7;0;25;27;28;95;182;2
566;Berthier;2022-10-03;G;Sainte-Geneviève-de-Berthier, m;1;;45;371;10;1;35;32;14;94;186;6
566;Berthier;2022-10-03;G;Sainte-Geneviève-de-Berthier, m;1;;46;368;6;3;32;26;15;84;166;1
566;Berthier;2022-10-03;G;Berthierville, v;1;;47;374;1;0;29;31;32;54;147;2
566;Berthier;2022-10-03;G;Berthierville, v;1;;48;384;1;1;23;23;10;48;106;6
566;Berthier;2022-10-03;G;Berthierville, v;1;;49;373;2;1;29;25;12;41;110;4
566;Berthier;2022-10-03;G;Berthierville, v;1;;50;366;4;0;19;20;9;35;87;0
566;Berthier;2022-10-03;G;Berthierville, v;1;;51;373;3;0;20;32;15;52;122;0
566;Berthier;2022-10-03;G;Berthierville, v;1;;52;363;8;0;23;26;13;80;150;0
566;Berthier;2022-10-03;G;Berthierville, v;1;;53;383;5;0;19;31;20;65;140;1
566;Berthier;2022-10-03;G;Berthierville, v;1;;54;388;6;2;31;23;23;62;147;1
566;Berthier;2022-10-03;G;Berthierville, v;1;;55;378;2;0;23;36;21;65;147;1
566;Berthier;2022-10-03;G;La Visitation-de-l'Île-Dupas, m;1;;56;298;1;0;36;35;8;66;146;3
566;Berthier;2022-10-03;G;La Visitation-de-l'Île-Dupas, m;1;;57;287;0;2;35;28;15;50;130;2
566;Berthier;2022-10-03;G;Saint-Ignace-de-Loyola, m;1;;58;363;4;0;51;48;11;84;198;1
566;Berthier;2022-10-03;G;Saint-Ignace-de-Loyola, m;1;;59;368;5;0;38;61;14;85;203;0
