Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchemin Fred P.L.Q./Q.L.P.;Bellemare Serge C.Q.;Clarke Keeton B.M.-E.B.H.;Drakul Aleksa P.C.Q-E.E.D.;Lavoie Angélique Soleil Q.S.;Michaud Vicky C.A.Q.-E.F.L.;Thériault Carole P.V.Q./G.P.Q.;Tremblay Suzanne P.Q.;B.V.;B.R.
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;58;;36;337;72;0;3;9;15;18;1;4;122;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;58;;37;340;80;0;3;8;16;20;3;4;134;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;58;;38;333;73;0;3;21;7;10;6;6;126;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;58;;39;331;86;0;4;6;8;15;0;5;124;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;58;;40;339;70;0;3;16;7;14;2;4;116;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;58;;41;374;86;1;2;21;10;19;2;9;150;6
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;59;;42;394;66;0;3;17;15;32;0;3;136;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;59;;43;385;89;0;0;21;8;18;0;5;141;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;59;;44;385;101;3;6;13;15;18;3;4;163;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;59;;45;356;88;3;0;8;10;13;3;6;131;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;59;;46;378;94;0;9;16;13;9;1;0;142;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;59;;47;384;73;0;3;17;6;29;1;2;131;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;59;;48;386;80;0;4;17;15;6;1;10;133;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;60;;49;398;58;2;3;26;23;40;0;10;162;5
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;60;;50;389;58;0;2;14;20;34;4;15;147;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;60;;51;387;58;2;4;21;26;19;4;12;146;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;60;;52;374;58;0;1;17;21;15;2;9;123;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;61;;53;396;93;0;3;10;12;18;4;4;144;5
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;61;;54;303;52;1;4;19;20;15;4;5;120;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;61;;55;413;93;0;4;24;13;17;1;7;159;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;61;;56;369;112;0;7;16;12;11;2;2;162;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;61;;57;395;104;0;3;12;12;14;3;2;150;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;61;;58;371;97;4;0;23;9;23;2;4;162;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;61;;59;368;89;4;8;10;9;18;2;4;144;5
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;61;;60;402;74;0;2;18;9;22;0;4;129;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;62;;61;372;107;3;5;18;6;18;2;2;161;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;62;;62;394;91;0;5;28;14;18;0;4;160;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;62;;63;386;78;1;2;14;2;18;3;4;122;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;62;;64;382;103;0;4;30;5;16;5;3;166;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;62;;65;393;80;1;1;7;10;7;0;1;107;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;62;;66;394;100;1;3;16;12;17;1;4;154;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;67;384;75;0;3;11;5;9;1;5;109;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;68;351;71;0;5;17;16;10;1;6;126;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;69;371;73;1;4;17;8;12;2;2;119;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;70;357;72;1;5;21;7;15;2;2;125;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;71;375;96;2;4;15;10;7;0;1;135;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;72;342;67;0;2;9;15;19;0;2;114;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;73;362;84;2;6;19;13;27;3;5;159;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;74;379;113;4;7;10;9;21;1;6;171;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;63;;75;389;87;1;2;29;6;16;1;4;146;5
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;76;412;67;0;4;13;7;13;0;4;108;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;77;418;62;0;2;25;7;25;3;8;132;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;78;395;62;1;2;28;9;23;4;7;136;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;79;360;35;1;9;23;13;15;0;6;102;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;80;366;55;0;3;22;13;17;0;9;119;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;81A;292;27;0;1;14;6;30;2;5;85;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;81B;293;42;0;1;19;7;16;1;3;89;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;82;410;64;0;1;24;19;16;1;4;129;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;83;355;55;0;0;18;7;16;1;11;108;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;84A;225;27;0;0;12;15;16;3;4;77;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;64;;84B;208;24;0;2;9;6;10;0;7;58;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;65;;85;387;66;0;2;21;22;28;3;7;149;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;65;;86;330;47;1;4;28;12;14;3;12;121;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;65;;87;361;44;1;6;20;20;20;2;11;124;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;65;;88;354;41;0;2;25;21;15;1;9;114;5
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;65;;89;356;57;1;4;22;8;19;2;3;116;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;66;;90;340;76;0;5;15;9;18;3;6;132;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;66;;91;312;64;1;1;12;9;19;3;11;120;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;66;;92;352;59;0;2;37;12;22;0;2;134;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;66;;93;367;64;0;7;27;13;24;2;5;142;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;66;;94;400;39;0;7;22;13;28;3;11;123;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;66;;95;320;56;0;5;7;20;26;2;7;123;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;67;;96A;244;40;0;2;12;3;19;1;6;83;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;67;;96B;242;44;0;2;5;13;18;1;2;85;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;67;;97;371;65;1;7;31;20;19;2;10;155;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;67;;98;358;50;0;2;16;9;23;0;12;112;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;67;;99;353;45;0;1;16;27;30;1;16;136;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;67;;100;364;36;0;2;12;27;39;1;15;132;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;101;366;47;1;1;15;29;20;5;15;133;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;102;376;46;1;4;22;16;38;2;5;134;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;103;370;46;0;1;18;24;27;2;24;142;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;104;394;45;2;4;22;35;43;4;11;166;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;105;393;28;3;4;12;33;34;10;12;136;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;106;387;57;1;3;14;28;31;1;21;156;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;107;377;39;3;0;13;28;25;3;17;128;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;108;392;55;0;0;10;33;32;7;12;149;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;68;;109;361;32;0;3;15;27;35;4;19;135;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;421;;110;395;53;0;3;11;27;46;4;20;164;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;421;;111;404;44;1;2;14;21;49;3;24;158;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;421;;112;415;38;1;3;17;49;44;6;27;185;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;421;;113;411;42;0;5;17;24;42;1;27;158;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;114;397;44;1;1;13;6;32;4;16;117;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;115;400;97;0;1;19;12;33;2;5;169;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;116;384;67;0;5;21;8;12;4;6;123;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;117;407;80;1;4;27;15;32;3;16;178;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;118;412;100;1;4;20;15;23;1;5;169;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;119;419;111;0;2;24;10;27;2;6;182;4
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;120;399;111;0;4;12;15;29;3;11;185;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;121;388;78;1;1;23;8;14;2;7;134;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;122;402;74;0;4;16;10;29;1;3;137;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;123;395;53;0;0;19;8;18;2;3;103;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;422;;124;421;100;0;5;28;13;29;2;12;189;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;125;371;75;0;2;16;22;38;2;10;165;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;126;352;58;0;3;14;7;12;1;10;105;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;127;374;50;2;0;23;22;36;1;26;160;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;128;390;37;3;1;22;39;28;2;19;151;1
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;129;411;79;1;3;11;23;31;5;21;174;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;130;379;65;1;3;24;19;45;1;13;171;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;131;362;52;0;4;12;20;32;1;16;137;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;132;390;67;0;1;13;19;35;2;16;153;3
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;133;391;44;1;1;15;30;66;2;20;179;2
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;134;371;42;0;3;15;15;44;0;13;132;0
304;Marguerite-Bourgeoys;2022-10-03;G;Montréal, v;423;;135;374;40;0;2;10;42;45;2;17;158;6
