Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Awasti Deepak P.L.Q./Q.L.P.;Diotte Guy P.C.Q-E.E.D.;Fontecilla Andrés Q.S.;Khan Amir B.M.-E.B.H.;Larochelle Maxime P.Q.;Marcil Mathieu P.N.;Marcoux Vicki C.A.Q.-E.F.L.;Marega Ismaila P.V.Q./G.P.Q.;Van Duyse Anthony C.Q.;Villeneuve Amélie P.Cu.Q.;B.V.;B.R.
344;Laurier-Dorion;2022-10-03;G;Montréal, v;221;;113;373;14;9;81;0;21;0;19;2;0;1;147;6
344;Laurier-Dorion;2022-10-03;G;Montréal, v;221;;114;382;28;12;58;3;17;0;15;2;1;1;137;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;222;;115;398;37;16;75;2;10;0;17;0;2;1;160;1
344;Laurier-Dorion;2022-10-03;G;Montréal, v;222;;116;384;34;8;93;0;15;0;12;1;0;0;163;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;222;;117;398;51;12;73;0;14;0;20;0;0;1;171;3
344;Laurier-Dorion;2022-10-03;G;Montréal, v;222;;118;392;32;9;85;0;18;1;24;0;0;2;171;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;222;;119;394;40;9;69;0;18;1;35;2;0;0;174;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;222;;120;395;36;8;90;0;16;0;22;2;0;1;175;2
344;Laurier-Dorion;2022-10-03;G;Montréal, v;222;;121;385;30;7;78;1;17;0;11;0;1;0;145;4
344;Laurier-Dorion;2022-10-03;G;Montréal, v;212;Regr. BVO-50;500;68;0;0;0;0;0;0;0;0;0;0;0;0
344;Laurier-Dorion;2022-10-03;G;Montréal, v;219;Regr. BVO-100;501;90;0;0;0;0;0;0;0;0;0;0;0;0
344;Laurier-Dorion;2022-10-03;G;BVA1: SV no 1 à 7;;;;0;55;15;10;23;1;0;11;3;0;0;118;2
344;Laurier-Dorion;2022-10-03;G;BVA2: SV no 8 à 13;;;;0;86;19;40;16;11;1;14;1;0;3;191;3
344;Laurier-Dorion;2022-10-03;G;BVA3: SV no 14 à 20;;;;0;97;37;52;9;2;1;19;0;1;1;219;6
344;Laurier-Dorion;2022-10-03;G;BVA4: SV no 21 à 27;;;;0;93;19;75;11;11;2;15;1;0;3;230;4
344;Laurier-Dorion;2022-10-03;G;BVA5: SV no 28 à 33;;;;0;73;16;95;15;18;1;34;0;1;0;253;3
344;Laurier-Dorion;2022-10-03;G;BVA6: SV no 34 à 38;;;;0;72;8;96;8;10;0;26;5;3;2;230;3
344;Laurier-Dorion;2022-10-03;G;BVA7: SV no 39 à 45;;;;0;49;14;333;3;64;0;68;3;0;1;535;3
344;Laurier-Dorion;2022-10-03;G;BVA8: SV no 46 à 52;;;;0;64;12;306;2;118;0;121;1;1;2;627;7
344;Laurier-Dorion;2022-10-03;G;BVA9: SV no 53 à 59;;;;0;36;12;366;0;68;0;75;2;0;3;562;4
344;Laurier-Dorion;2022-10-03;G;BVA10: SV no 60 à 66;;;;0;24;15;254;0;50;1;64;7;2;0;417;10
344;Laurier-Dorion;2022-10-03;G;BVA11: SV no 67 à 73;;;;0;24;8;233;0;58;1;61;3;0;3;391;2
344;Laurier-Dorion;2022-10-03;G;BVA12: SV no 74 à 80, 100;;;;0;42;13;205;3;47;1;67;7;1;0;386;7
344;Laurier-Dorion;2022-10-03;G;BVA13: SV no 81 à 88;;;;0;41;10;381;1;66;0;88;3;1;3;594;5
344;Laurier-Dorion;2022-10-03;G;BVA14: SV no 89 à 94;;;;0;44;9;359;3;56;0;62;7;3;1;544;7
344;Laurier-Dorion;2022-10-03;G;BVA15: SV no 95 à 99, 101 à 102;;;;0;69;15;304;9;71;0;104;6;1;4;583;11
344;Laurier-Dorion;2022-10-03;G;BVA16: SV no 103 à 109;;;;0;63;20;379;1;101;0;113;0;1;3;681;7
344;Laurier-Dorion;2022-10-03;G;BVA17: SV no 110 à 115;;;;0;58;12;203;0;38;1;78;1;0;0;391;1
344;Laurier-Dorion;2022-10-03;G;BVA18: SV no 116 à 121;;;;0;62;19;220;0;39;0;58;1;1;0;400;7
344;Laurier-Dorion;2022-10-03;G;Vote en installation d'hébergement;;;;0;9;2;19;1;16;2;47;0;0;0;96;3
344;Laurier-Dorion;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;18;0;6;1;7;0;18;1;1;0;52;0
344;Laurier-Dorion;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;80;19;383;7;67;5;47;7;1;4;620;8
344;Laurier-Dorion;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;0
344;Laurier-Dorion;2022-10-03;G;Vote hors circonscription;;;;0;65;11;573;4;41;0;32;15;2;1;744;13
344;Laurier-Dorion;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;72;0;0;0;0;0;0;0;0;0;0;0;0
344;Laurier-Dorion;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;9;0;0;0;0;0;0;0;0;0;0;0;0
344;Laurier-Dorion;2022-10-03;G;Total de la circonscription;;;;44943;5344;1512;13323;480;2800;77;3203;332;75;157;27303;391
344;Laurier-Dorion;2022-10-03;G;Majorité en faveur de Andrés Fontecilla : 7979;;;;;;;;;;;;;;;;
