Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-E.F.L.;Bamba Kadidia Mahamane P.V.Q./G.P.Q.;Boucher Karoline Q.S.;Cloutier Jean C.Q.;Duquette William P.Q.;Filion Karl P.L.Q./Q.L.P.;Gagnon Donald P.C.Q-E.E.D.;Guillemette Mathieu Ind;B.V.;B.R.
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;80;391;56;1;38;0;20;14;47;4;180;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;81;386;40;3;43;1;14;19;49;2;171;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;82;361;41;0;23;0;14;6;34;0;118;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;83;366;61;6;35;1;23;12;27;2;167;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;84;371;55;3;32;0;25;9;29;0;153;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;85;384;63;1;30;0;24;15;35;1;169;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;86;380;40;3;21;0;21;8;31;3;127;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;;87;367;51;2;15;1;15;10;36;1;131;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;88;380;70;3;12;2;17;12;37;4;157;5
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;89;372;49;1;29;1;8;10;36;2;136;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;90;363;88;0;36;5;26;11;33;1;200;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;91;368;60;3;30;1;27;9;39;0;169;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;92;390;39;1;36;3;18;11;40;2;150;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;93;376;63;4;29;1;18;6;35;3;159;8
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;94;367;73;1;18;0;30;16;43;0;181;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;95;380;65;1;20;1;20;15;33;0;155;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;96;375;60;1;30;1;24;4;39;2;161;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;97;374;57;2;21;2;36;7;30;0;155;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;98;376;63;0;25;1;33;10;39;0;171;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;110;;99;380;70;2;30;0;24;10;41;1;178;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;100;394;69;0;46;1;29;13;35;1;194;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;101;393;77;1;23;2;28;7;38;3;179;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;102;387;47;2;14;0;25;17;33;3;141;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;103;382;41;1;27;0;17;10;36;2;134;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;104;381;34;1;41;0;14;8;36;0;134;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;105;388;29;2;45;1;18;12;21;2;130;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;106;384;43;4;29;0;14;8;29;3;130;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;107A;225;44;0;22;2;15;3;25;2;113;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;107B;206;25;1;27;2;11;5;15;2;88;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;108;387;71;2;25;0;23;5;39;4;169;6
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;109;388;75;5;34;1;31;7;37;1;191;6
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;Regr. BVDS-1;110;384;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;111;380;67;0;19;0;31;18;42;1;178;6
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;112;402;73;0;35;3;21;10;29;2;173;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;113;396;62;1;46;0;29;12;37;3;190;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;;114;398;72;0;28;2;16;21;32;1;172;5
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;115A;215;45;1;5;0;10;3;18;0;82;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;115B;236;53;0;18;0;13;6;25;0;115;3
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;116;383;51;2;19;2;22;11;37;0;144;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;117;383;66;2;33;1;30;17;48;2;199;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;118;411;51;1;47;0;23;11;41;1;175;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;119;397;39;0;22;0;24;8;47;2;142;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;120;395;70;1;31;1;23;6;40;0;172;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;Regr. BVDS-1;121;414;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;122;395;63;1;31;1;24;19;41;2;182;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;123;394;74;6;31;0;29;17;33;3;193;6
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;124;396;66;1;38;2;27;11;52;1;198;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;125;391;60;1;27;0;13;4;40;0;145;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;126;396;75;1;37;0;26;13;53;3;208;5
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;127A;223;32;0;9;0;10;3;25;0;79;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;;127B;219;28;0;13;0;10;14;25;0;90;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;128;369;64;1;18;1;26;15;30;1;156;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;129;363;60;2;19;1;26;7;39;4;158;5
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;130;346;66;0;10;0;18;5;26;0;125;6
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;131;358;43;1;14;1;10;4;39;1;113;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;132;362;42;1;27;1;5;16;46;1;139;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;133;370;56;1;23;1;30;9;23;1;144;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;134;362;34;0;23;0;19;4;37;0;117;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;135;353;42;7;28;0;19;9;26;5;136;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;;136;360;32;0;15;0;13;5;38;1;104;8
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;;137;346;57;0;8;0;13;5;11;0;94;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;;138;325;42;1;13;4;14;6;32;2;114;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;;139;361;42;3;15;1;12;5;26;2;106;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;;140;355;25;2;28;0;13;13;29;3;113;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;;141;351;45;0;17;0;19;12;13;1;107;5
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;;142;356;44;0;23;1;12;16;25;0;121;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;;143;339;29;4;28;2;18;5;35;3;124;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;144;361;50;2;25;1;11;8;37;2;136;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;145;381;64;1;18;2;19;5;39;2;150;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;146;365;60;2;24;1;23;6;24;2;142;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;147;369;73;2;11;0;11;8;20;1;126;4
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;148;351;50;1;28;0;13;8;19;0;119;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;149;378;38;0;23;0;22;8;27;1;119;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;150;386;53;3;36;0;40;8;13;0;153;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;151;377;46;2;12;0;42;14;4;0;120;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;152;423;54;1;35;0;38;11;16;1;156;2
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;148;;153;350;42;1;30;1;14;14;19;1;122;1
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;103;Regr. BVO-22;500;344;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;106;Regr. BVO-57;501;220;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;107;Regr. BVO-67;502;154;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;Regr. BVO-69;503;269;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;108;Regr. BVO-70;504;47;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;109;Regr. BVO-83;505;361;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;111;Regr. BVO-104;506;224;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;145;Regr. BVO-120;507;123;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;146;Regr. BVO-133;508;42;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;Regr. BVO-137;509;249;0;0;0;0;0;0;0;0;0;0
726;Vanier-Les Rivières;2022-10-03;G;Québec, v;147;Regr. BVO-137;510;144;0;0;0;0;0;0;0;0;0;0
