Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allard Monique P.Q.;Bélanger Gilles C.A.Q.-E.F.L.;Gandey Mark P.C.Q./C.P.Q;Hamm Vicki-May P.L.Q./Q.L.P.;Lacroix Joel D.D.;Lamontagne Lacasse Martin P.C.Q-E.E.D.;Sassi Kenza Q.S.;B.V.;B.R.
120;Orford;2022-10-03;G;Sainte-Anne-de-la-Rochelle, m;1;;25;242;39;50;2;11;0;20;14;136;5
120;Orford;2022-10-03;G;Lawrenceville, vl;1;;26;261;27;67;0;6;2;28;23;153;7
120;Orford;2022-10-03;G;Lawrenceville, vl;1;;27;249;22;86;0;15;1;27;22;173;4
120;Orford;2022-10-03;G;Bonsecours, m;1;;28;268;28;70;3;11;1;21;29;163;1
120;Orford;2022-10-03;G;Bonsecours, m;1;;29;278;24;71;0;20;3;16;32;166;2
120;Orford;2022-10-03;G;Orford, ct;1;;30;358;34;60;0;15;0;7;31;147;0
120;Orford;2022-10-03;G;Orford, ct;1;;31;354;30;70;0;11;1;26;31;169;1
120;Orford;2022-10-03;G;Orford, ct;1;;32;356;22;84;1;15;0;14;35;171;0
120;Orford;2022-10-03;G;Orford, ct;1;;33;358;18;53;4;16;0;24;47;162;0
120;Orford;2022-10-03;G;Orford, ct;1;;34;371;17;58;2;14;0;30;41;162;0
120;Orford;2022-10-03;G;Orford, ct;1;;35;377;23;74;0;14;1;24;32;168;0
120;Orford;2022-10-03;G;Orford, ct;1;;36;366;28;68;2;19;0;26;33;176;1
120;Orford;2022-10-03;G;Orford, ct;2;;37;373;18;66;0;25;0;20;24;153;1
120;Orford;2022-10-03;G;Orford, ct;2;;38;386;24;89;0;29;0;12;49;203;3
120;Orford;2022-10-03;G;Orford, ct;2;;39;381;36;67;0;8;0;8;40;159;1
120;Orford;2022-10-03;G;Orford, ct;2;;40;375;24;77;0;26;0;11;49;187;2
