Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abou-Khalil Alice C.A.Q.-E.F.L.;Baudelot Sonia P.L.Q./Q.L.P.;Buchanan Lynn P.V.Q./G.P.Q.;Dansereau-Redhead Catherine P.Q.;Léger Jessy Q.S.;Turmel Stéphane P.C.Q-E.E.D.;B.V.;B.R.
466;Fabre;2022-10-03;G;Laval, v;5;;23;374;38;73;0;2;8;43;164;2
466;Fabre;2022-10-03;G;Laval, v;5;;24;359;50;55;2;20;21;37;185;1
466;Fabre;2022-10-03;G;Laval, v;5;;25;375;26;57;4;8;20;46;161;0
466;Fabre;2022-10-03;G;Laval, v;5;;26;360;23;57;3;14;13;33;143;1
466;Fabre;2022-10-03;G;Laval, v;5;;27;363;39;63;2;8;21;29;162;2
466;Fabre;2022-10-03;G;Laval, v;6;;28;409;50;58;5;17;20;18;168;1
466;Fabre;2022-10-03;G;Laval, v;6;;29;411;56;52;0;28;25;18;179;1
466;Fabre;2022-10-03;G;Laval, v;6;;30;418;40;81;6;11;23;41;202;2
466;Fabre;2022-10-03;G;Laval, v;6;;31;402;27;78;2;7;13;45;172;1
466;Fabre;2022-10-03;G;Laval, v;6;;32A;228;26;28;0;5;12;23;94;2
466;Fabre;2022-10-03;G;Laval, v;6;;32B;203;17;13;0;6;7;12;55;2
466;Fabre;2022-10-03;G;Laval, v;6;;33;410;38;51;4;29;15;21;158;1
466;Fabre;2022-10-03;G;Laval, v;6;;34;420;56;55;8;24;30;30;203;1
466;Fabre;2022-10-03;G;Laval, v;6;;35;405;49;61;0;20;31;37;198;3
466;Fabre;2022-10-03;G;Laval, v;7;;36;377;40;24;1;20;19;27;131;3
466;Fabre;2022-10-03;G;Laval, v;7;;37;391;35;62;3;25;16;33;174;1
466;Fabre;2022-10-03;G;Laval, v;7;;38;397;38;71;2;22;18;26;177;0
466;Fabre;2022-10-03;G;Laval, v;7;;39;383;46;52;3;13;26;27;167;3
466;Fabre;2022-10-03;G;Laval, v;7;;40;390;53;56;1;28;24;14;176;1
466;Fabre;2022-10-03;G;Laval, v;7;;41;374;77;43;2;12;22;36;192;2
466;Fabre;2022-10-03;G;Laval, v;7;;42;391;32;70;2;21;22;30;177;3
466;Fabre;2022-10-03;G;Laval, v;8;;43;392;43;44;4;16;7;18;132;1
466;Fabre;2022-10-03;G;Laval, v;8;;44;392;61;57;3;15;21;29;186;3
466;Fabre;2022-10-03;G;Laval, v;8;;45;378;48;61;5;20;12;28;174;2
466;Fabre;2022-10-03;G;Laval, v;8;;46;395;39;48;4;21;14;17;143;2
