Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ait Akil Sabrina P.C.Q-E.E.D.;Bastien Ophélie P.Q.;Beaumier Sarah C.A.Q.-E.F.L.;Cherniak David A P.N.;Goldberg Harrison Anne P.C.Q./C.P.Q;Guelmi Malik P.V.Q./G.P.Q.;Leblanc Isabelle Q.S.;Setlakwe Michelle P.L.Q./Q.L.P.;B.V.;B.R.
336;Mont-Royal-Outremont;2022-10-03;G;BVA7: SV no 101, 103, 105, 107, 111;;;;0;17;80;90;1;2;8;49;145;392;6
336;Mont-Royal-Outremont;2022-10-03;G;BVA8: SV no 68, 100, 102, 104, 110;;;;0;25;35;90;0;4;3;35;112;304;5
336;Mont-Royal-Outremont;2022-10-03;G;BVA9: SV no 65, 71, 106, 112, 114;;;;0;23;57;69;0;4;10;74;81;318;1
336;Mont-Royal-Outremont;2022-10-03;G;BVA10: SV no 67, 108 à 109, 115, 118;;;;0;25;66;73;0;7;10;43;107;331;5
336;Mont-Royal-Outremont;2022-10-03;G;BVA11: SV no 66, 69 à 70, 113, 116;;;;0;9;82;74;0;1;8;64;145;383;4
336;Mont-Royal-Outremont;2022-10-03;G;BVA12: SV no 12, 16, 34, 53, 55;;;;0;18;34;82;0;4;6;38;205;387;11
336;Mont-Royal-Outremont;2022-10-03;G;BVA13: SV no 9, 14, 19, 22, 54;;;;0;39;26;59;0;9;8;21;188;350;5
336;Mont-Royal-Outremont;2022-10-03;G;BVA14: SV no 11, 18, 21, 23, 27, 29;;;;0;42;45;86;2;6;13;33;244;471;13
336;Mont-Royal-Outremont;2022-10-03;G;BVA15: SV no 8, 10, 26, 30, 33;;;;0;16;35;73;1;2;14;34;206;381;4
336;Mont-Royal-Outremont;2022-10-03;G;BVA16: SV no 13, 17, 20, 25, 31;;;;0;22;18;66;0;6;8;16;179;315;1
336;Mont-Royal-Outremont;2022-10-03;G;BVA17: SV no 15, 24, 28, 32, 35;;;;0;34;47;78;2;5;5;40;149;360;2
336;Mont-Royal-Outremont;2022-10-03;G;BVA18: SV no 2, 5 à 6, 40, 44, 48;;;;0;32;22;56;1;3;7;29;192;342;10
336;Mont-Royal-Outremont;2022-10-03;G;BVA19: SV no 3, 7, 39, 41, 45 à 46;;;;0;31;18;67;0;3;2;30;169;320;1
336;Mont-Royal-Outremont;2022-10-03;G;BVA20: SV no 1, 4, 38, 42 à 43, 47;;;;0;35;15;45;0;3;5;17;142;262;3
336;Mont-Royal-Outremont;2022-10-03;G;BVA21: SV no 80 à 81, 83, 87, 89, 97;;;;0;26;48;54;4;7;4;98;78;319;5
336;Mont-Royal-Outremont;2022-10-03;G;BVA22: SV no 85, 91, 93, 95, 99;;;;0;14;49;77;0;5;9;65;114;333;12
