Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourassa Kariane C.A.Q.-E.F.L.;Bureau Michel P.L.Q./Q.L.P.;Fortin Myriam Q.S.;Lacombe Odré P.C.Q-E.E.D.;Rodrigue Lucien P.Q.;Tremblay Stefany D.D.;B.V.;B.R.
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Notre-Dame-des-Monts, m;1;;35;327;100;5;18;31;39;0;193;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Notre-Dame-des-Monts, m;1;;36;325;106;3;9;22;26;0;166;4
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Hilarion, p;1;;37;314;97;14;22;28;23;1;185;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Hilarion, p;1;;38;305;97;8;15;18;11;0;149;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Hilarion, p;1;;39;324;92;5;23;36;21;0;177;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Urbain, p;1;;40;367;96;11;31;20;42;0;200;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Urbain, p;1;;41;370;99;4;27;33;26;0;189;6
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Saint-Urbain, p;1;;42;356;109;2;21;11;27;1;171;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;1;;43;363;76;2;43;12;17;0;150;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;1;;44;367;63;5;35;13;27;0;143;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;1;;45;359;61;5;36;15;14;0;131;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;1;;46;337;53;4;33;11;22;0;123;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;1;;47;350;41;3;27;11;14;0;96;0
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;2;;48;368;64;1;42;6;17;0;130;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;2;;49;375;63;3;42;6;25;0;139;2
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;2;;50;373;46;6;24;6;32;0;114;3
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;2;;51;376;53;8;23;5;34;0;123;1
760;Charlevoix-Côte-de-Beaupré;2022-10-03;G;Baie-Saint-Paul, v;2;;52;382;91;1;43;13;26;0;174;0
