Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bro José P.V.Q./G.P.Q.;Frizzell Raymond P.C.Q./C.P.Q;Gagnon François P.C.Q-E.E.D.;Leblanc Nathan P.Q.;Mallette Carole C.A.Q.-E.F.L.;Perras Emmanuelle Q.S.;Poissant Jean-Claude P.L.Q./Q.L.P.;B.V.;B.R.
216;Huntingdon;2022-10-03;G;Godmanchester, ct;1;;17;377;1;2;19;17;57;25;37;158;4
216;Huntingdon;2022-10-03;G;Godmanchester, ct;1;;18;382;5;5;40;10;37;18;65;180;1
216;Huntingdon;2022-10-03;G;Huntingdon, v;1;;19;357;5;3;13;13;30;7;48;119;1
216;Huntingdon;2022-10-03;G;Huntingdon, v;1;;20;360;1;1;26;8;41;7;31;115;5
216;Huntingdon;2022-10-03;G;Huntingdon, v;1;;21;390;3;2;20;6;44;18;22;115;4
216;Huntingdon;2022-10-03;G;Huntingdon, v;1;;22;359;3;3;19;8;42;17;14;106;0
216;Huntingdon;2022-10-03;G;Huntingdon, v;1;;23;343;7;6;21;7;30;14;7;92;0
216;Huntingdon;2022-10-03;G;Huntingdon, v;1;;24;348;3;4;19;6;27;13;37;109;3
216;Huntingdon;2022-10-03;G;Elgin, m;1;;25;330;9;5;39;8;30;13;59;163;2
216;Huntingdon;2022-10-03;G;Hinchinbrooke, m;1;;26;365;6;3;45;4;24;10;47;139;1
216;Huntingdon;2022-10-03;G;Hinchinbrooke, m;1;;27;361;1;4;27;6;18;7;64;127;3
216;Huntingdon;2022-10-03;G;Hinchinbrooke, m;1;;28;362;2;15;23;15;23;10;48;136;2
216;Huntingdon;2022-10-03;G;Hinchinbrooke, m;1;;29;354;1;1;26;10;54;4;11;107;3
216;Huntingdon;2022-10-03;G;Hinchinbrooke, m;1;;30;361;1;11;30;2;23;2;86;155;2
216;Huntingdon;2022-10-03;G;Franklin, m;1;;31;349;2;8;1;27;33;15;42;128;2
216;Huntingdon;2022-10-03;G;Franklin, m;1;;32;351;1;1;29;23;83;20;24;181;0
216;Huntingdon;2022-10-03;G;Franklin, m;1;;33;343;3;1;32;43;99;11;24;213;3
216;Huntingdon;2022-10-03;G;Franklin, m;1;;34;360;3;4;39;23;72;14;21;176;3
216;Huntingdon;2022-10-03;G;Ormstown, m;1;;35;387;5;5;47;16;41;11;24;149;3
216;Huntingdon;2022-10-03;G;Ormstown, m;1;;36;396;3;3;23;13;49;19;33;143;0
216;Huntingdon;2022-10-03;G;Ormstown, m;1;;37;398;2;4;27;16;46;12;44;151;2
216;Huntingdon;2022-10-03;G;Ormstown, m;1;;38;390;4;2;26;22;50;21;24;149;6
216;Huntingdon;2022-10-03;G;Ormstown, m;1;;39;387;2;1;20;15;67;24;28;157;1
216;Huntingdon;2022-10-03;G;Ormstown, m;1;;40;389;4;7;26;8;35;17;68;165;1
216;Huntingdon;2022-10-03;G;Ormstown, m;1;;41;399;0;1;20;17;61;16;29;144;1
216;Huntingdon;2022-10-03;G;Ormstown, m;1;;42;395;5;4;21;11;32;21;71;165;2
216;Huntingdon;2022-10-03;G;Très-Saint-Sacrement, p;1;;43;301;3;3;26;21;53;13;60;179;0
216;Huntingdon;2022-10-03;G;Très-Saint-Sacrement, p;1;;44;287;2;4;29;5;41;13;57;151;2
216;Huntingdon;2022-10-03;G;Très-Saint-Sacrement, p;1;;45;292;7;5;35;10;39;21;63;180;3
216;Huntingdon;2022-10-03;G;Howick, m;1;;46;336;3;4;37;26;83;35;33;221;5
216;Huntingdon;2022-10-03;G;Howick, m;1;;47;324;3;4;43;14;46;20;38;168;3
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;48;403;1;1;16;25;75;11;15;144;3
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;49;406;1;2;12;29;85;31;12;172;1
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;50;393;4;1;12;19;72;21;10;139;3
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;51;406;1;2;25;29;98;28;13;196;2
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;52;383;3;0;15;24;80;20;10;152;6
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;53;401;1;2;20;27;87;34;10;181;3
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;54;395;4;2;9;27;86;19;7;154;4
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;55;398;2;1;22;28;68;27;10;158;1
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;56;399;1;1;30;18;61;31;7;149;2
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;57;397;5;1;12;26;82;21;10;157;1
216;Huntingdon;2022-10-03;G;Sainte-Martine, m;1;;58;386;2;1;25;25;67;23;16;159;5
216;Huntingdon;2022-10-03;G;Saint-Urbain-Premier, m;1;;59;348;6;2;17;32;94;16;13;180;2
216;Huntingdon;2022-10-03;G;Saint-Urbain-Premier, m;1;;60;354;2;0;25;34;119;31;11;222;8
216;Huntingdon;2022-10-03;G;Saint-Urbain-Premier, m;1;;61;337;3;5;16;28;110;26;22;210;2
