Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Sonia C.A.Q.-E.F.L.;Chabot Thérèse P.Q.;Cloutier Benoit P.C.Q-E.E.D.;Crevier-Dagenais Rose Q.S.;Leclerc Michel P.H.Q.;Pomerleau Suzanne P.L.Q./Q.L.P.;Vaz Michelle P.V.Q./G.P.Q.;B.V.;B.R.
582;Prévost;2022-10-03;G;Sainte-Sophie, m;2;;17;399;67;23;28;21;1;5;2;147;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;2;;18;389;63;54;29;26;1;3;3;179;3
582;Prévost;2022-10-03;G;Sainte-Sophie, m;2;;19;385;65;20;31;22;0;3;5;146;4
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;20;369;54;22;32;27;0;4;2;141;1
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;21;363;57;32;30;10;0;9;4;142;1
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;22;360;54;20;20;25;0;6;2;127;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;23;376;43;27;18;20;1;2;3;114;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;24;367;40;39;32;18;0;2;2;133;0
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;25;372;42;23;27;33;0;10;5;140;1
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;26;376;48;35;36;30;1;6;4;160;4
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;27;373;70;31;40;21;0;5;3;170;4
582;Prévost;2022-10-03;G;Sainte-Sophie, m;3;;28;382;64;32;23;25;0;7;0;151;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;4;;29;423;70;34;29;26;1;7;5;172;7
582;Prévost;2022-10-03;G;Sainte-Sophie, m;4;;30;419;39;34;37;39;0;7;3;159;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;4;;31;407;72;21;27;16;0;7;1;144;4
582;Prévost;2022-10-03;G;Sainte-Sophie, m;4;;32;406;60;34;44;31;0;2;6;177;1
582;Prévost;2022-10-03;G;Sainte-Sophie, m;4;;33;409;69;37;26;24;0;11;2;169;2
582;Prévost;2022-10-03;G;Sainte-Sophie, m;4;;34;409;59;37;31;30;0;5;0;162;4
582;Prévost;2022-10-03;G;Sainte-Sophie, m;4;;35;419;76;35;29;30;3;2;0;175;6
582;Prévost;2022-10-03;G;Sainte-Sophie, m;4;;36;410;61;40;51;21;1;7;0;181;12
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;1;;37;424;62;41;32;31;0;10;5;181;3
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;1;;38;419;51;33;34;25;1;13;5;162;0
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;1;;39;416;63;36;27;29;0;4;3;162;4
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;1;;40;405;49;23;27;31;0;6;3;139;2
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;1;;41;416;61;29;27;38;0;5;0;160;1
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;1;;42;405;69;28;32;18;2;5;2;156;2
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;1;;43;423;53;30;18;29;1;4;0;135;3
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;2;;44A;192;32;22;18;12;0;1;0;85;2
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;2;;44B;235;30;18;23;11;0;12;2;96;3
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;2;;45;400;68;39;25;40;2;1;2;177;1
582;Prévost;2022-10-03;G;Saint-Hippolyte, m;2;;46;390;52;47;20;41;1;7;4;172;3
