Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy E.A.;Fillion Marie-Soleil Ind;Grandmont Etienne Q.S.;Hélie Marie-Josée P.C.Q-E.E.D.;Joubert Jean-François C.Q.;Karim Andrew P.V.Q./G.P.Q.;Robin Jeanne P.Q.;St-Hilaire Pascale C.A.Q.-E.F.L.;Touré Ahmed Lamine P.L.Q./Q.L.P.;B.V.;B.R.
730;Taschereau;2022-10-03;G;Québec, v;45;;46;366;0;0;28;10;0;1;41;53;9;142;1
730;Taschereau;2022-10-03;G;Québec, v;45;;47;390;1;0;33;5;0;1;60;48;13;161;0
730;Taschereau;2022-10-03;G;Québec, v;45;;48;371;0;1;59;11;2;0;35;24;11;143;0
730;Taschereau;2022-10-03;G;Québec, v;46;;49;379;2;3;49;17;2;1;31;27;11;143;3
730;Taschereau;2022-10-03;G;Québec, v;46;;50;384;0;1;62;15;1;2;53;33;7;174;2
730;Taschereau;2022-10-03;G;Québec, v;46;;51;381;0;0;86;11;1;1;49;18;12;178;1
730;Taschereau;2022-10-03;G;Québec, v;46;;52;386;0;1;56;8;0;2;39;27;10;143;2
730;Taschereau;2022-10-03;G;Québec, v;46;;53;403;0;0;46;16;3;6;32;22;8;133;2
730;Taschereau;2022-10-03;G;Québec, v;46;;54;354;0;0;87;7;2;5;45;16;3;165;0
730;Taschereau;2022-10-03;G;Québec, v;46;;55;370;1;0;84;15;2;1;25;24;7;159;4
730;Taschereau;2022-10-03;G;Québec, v;47;;56;342;0;1;50;12;0;3;43;28;6;143;2
730;Taschereau;2022-10-03;G;Québec, v;47;;57;320;0;1;49;18;0;4;23;22;6;123;1
730;Taschereau;2022-10-03;G;Québec, v;47;;58;330;0;0;55;11;1;1;41;29;15;153;0
730;Taschereau;2022-10-03;G;Québec, v;47;;59;328;0;1;66;18;0;3;31;26;14;159;0
730;Taschereau;2022-10-03;G;Québec, v;47;;60;322;1;0;32;11;0;0;33;30;15;122;1
730;Taschereau;2022-10-03;G;Québec, v;48;;61;337;0;1;101;13;0;2;36;16;4;173;1
730;Taschereau;2022-10-03;G;Québec, v;48;;62;304;0;0;60;14;1;1;29;17;7;129;2
730;Taschereau;2022-10-03;G;Québec, v;48;;63;331;0;0;90;15;0;2;27;14;4;152;1
730;Taschereau;2022-10-03;G;Québec, v;48;;64;330;0;1;86;8;0;0;39;18;8;160;2
730;Taschereau;2022-10-03;G;Québec, v;48;;65;355;0;0;89;8;0;3;24;18;3;145;2
730;Taschereau;2022-10-03;G;Québec, v;49;;66;356;0;1;104;5;0;1;23;9;5;148;1
730;Taschereau;2022-10-03;G;Québec, v;49;;67;346;0;0;63;10;1;1;21;28;6;130;0
730;Taschereau;2022-10-03;G;Québec, v;49;;68;361;0;0;75;11;0;1;35;19;3;144;6
730;Taschereau;2022-10-03;G;Québec, v;49;;69;343;0;1;66;14;0;0;29;19;5;134;3
730;Taschereau;2022-10-03;G;Québec, v;49;;70A;225;0;0;13;5;0;0;23;21;3;65;2
730;Taschereau;2022-10-03;G;Québec, v;49;;70B;220;0;0;38;6;1;0;19;12;0;76;1
730;Taschereau;2022-10-03;G;Québec, v;49;;71;351;0;0;51;8;0;1;43;19;7;129;1
730;Taschereau;2022-10-03;G;Québec, v;49;;72;344;0;0;99;10;0;0;48;14;4;175;1
730;Taschereau;2022-10-03;G;Québec, v;50;;73;384;1;0;80;33;0;0;30;28;9;181;3
730;Taschereau;2022-10-03;G;Québec, v;50;;74;402;0;1;79;28;1;1;19;26;5;160;2
