Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caron Jocelyn P.Q.;Charles Gary P.C.Q-E.E.D.;Derraji Monsef P.L.Q./Q.L.P.;Hanif Neena B.M.-E.B.H.;Hennawy Michael D.D.;Lapierre Cynthia C.A.Q.-E.F.L.;Larue-Bourdages Maxime Q.S.;Marier Jean P.C.Q./C.P.Q;Reiniger Daniel P.V.Q./G.P.Q.;B.V.;B.R.
312;Nelligan;2022-10-03;G;Kirkland, v;3;;18;376;2;21;97;2;0;8;6;4;3;143;1
312;Nelligan;2022-10-03;G;Kirkland, v;3;;19;373;1;36;101;2;0;6;4;5;1;156;2
312;Nelligan;2022-10-03;G;Kirkland, v;3;;20;383;1;26;91;0;1;10;7;1;2;139;1
312;Nelligan;2022-10-03;G;Kirkland, v;3;;21;379;3;30;92;0;0;10;1;6;2;144;2
312;Nelligan;2022-10-03;G;Kirkland, v;3;;22;387;2;30;97;2;1;7;3;4;2;148;0
312;Nelligan;2022-10-03;G;Kirkland, v;3;;23;377;5;15;88;3;2;13;4;11;7;148;1
312;Nelligan;2022-10-03;G;Kirkland, v;3;;24;380;1;31;81;1;1;7;10;13;3;148;1
312;Nelligan;2022-10-03;G;Kirkland, v;4;;25;385;5;29;114;1;0;7;3;4;2;165;3
312;Nelligan;2022-10-03;G;Kirkland, v;4;;26;381;2;20;80;0;0;9;1;14;2;128;0
312;Nelligan;2022-10-03;G;Kirkland, v;4;;27;384;1;32;93;7;3;9;5;10;2;162;2
312;Nelligan;2022-10-03;G;Kirkland, v;4;;28;376;2;25;130;1;1;12;5;7;5;188;0
312;Nelligan;2022-10-03;G;Kirkland, v;4;;29;384;3;22;132;3;0;8;8;20;8;204;2
312;Nelligan;2022-10-03;G;Kirkland, v;4;;30;382;5;31;100;1;0;10;6;15;3;171;0
312;Nelligan;2022-10-03;G;Kirkland, v;5;;31;382;2;23;100;3;0;10;8;11;4;161;0
312;Nelligan;2022-10-03;G;Kirkland, v;5;;32;388;3;28;82;2;0;20;6;7;3;151;3
312;Nelligan;2022-10-03;G;Kirkland, v;5;;33;390;3;29;125;9;0;12;3;9;2;192;0
312;Nelligan;2022-10-03;G;Kirkland, v;5;;34;396;3;35;111;2;0;19;6;1;2;179;1
312;Nelligan;2022-10-03;G;Kirkland, v;5;;35;382;3;28;98;2;1;8;9;14;8;171;3
312;Nelligan;2022-10-03;G;Kirkland, v;5;;36;392;3;34;97;1;0;17;9;7;6;174;0
312;Nelligan;2022-10-03;G;Kirkland, v;5;;37;383;0;19;84;2;0;9;5;9;4;132;2
312;Nelligan;2022-10-03;G;Montréal, v;1;;38;394;0;31;108;2;0;9;4;6;1;161;0
312;Nelligan;2022-10-03;G;Montréal, v;1;;39;396;2;30;85;3;0;10;7;6;4;147;0
312;Nelligan;2022-10-03;G;Montréal, v;1;;40;389;11;24;77;5;0;26;20;3;4;170;1
312;Nelligan;2022-10-03;G;Montréal, v;1;;41;393;2;23;85;1;0;17;8;11;4;151;3
312;Nelligan;2022-10-03;G;Montréal, v;1;;42;393;2;34;99;3;1;14;14;5;4;176;1
312;Nelligan;2022-10-03;G;Montréal, v;1;;43;405;5;9;104;4;0;12;7;5;2;148;1
312;Nelligan;2022-10-03;G;Montréal, v;2;;44;411;14;28;64;1;0;36;9;5;4;161;1
312;Nelligan;2022-10-03;G;Montréal, v;2;;45;423;4;23;86;2;1;11;3;0;3;133;1
312;Nelligan;2022-10-03;G;Montréal, v;2;;46;411;8;30;79;4;0;7;2;0;6;136;0
312;Nelligan;2022-10-03;G;Montréal, v;2;;47;421;1;48;100;1;3;13;5;2;2;175;0
