Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bratkova Tzarevna P.C.Q-E.E.D.;Caron Linda P.L.Q./Q.L.P.;Gagnon Suzanne P.Q.;Gatien Samuel C.A.Q.-E.F.L.;Mugaba Jean-Claude Q.S.;Newbergher Ryan Akshay P.V.Q./G.P.Q.;Pinel Donna P.C.Q./C.P.Q;B.V.;B.R.
236;La Pinière;2022-10-03;G;Brossard, v;8;;74;361;25;56;7;31;13;2;0;134;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;75;388;23;76;2;19;4;1;1;126;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;76;377;13;64;12;34;9;4;0;136;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;77;360;7;55;14;34;23;0;3;136;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;78;381;15;49;16;37;32;3;1;153;3
236;La Pinière;2022-10-03;G;Brossard, v;8;;79;374;18;59;16;35;11;3;0;142;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;80;368;15;71;5;33;13;1;6;144;0
236;La Pinière;2022-10-03;G;Brossard, v;8;;81;359;13;53;9;33;16;1;3;128;3
236;La Pinière;2022-10-03;G;Brossard, v;8;;82;379;18;39;9;23;20;3;2;114;3
236;La Pinière;2022-10-03;G;Brossard, v;9;;83;388;13;74;11;29;20;4;4;155;2
236;La Pinière;2022-10-03;G;Brossard, v;9;;84;378;13;44;17;24;16;5;2;121;1
236;La Pinière;2022-10-03;G;Brossard, v;9;;85;380;19;51;13;35;23;6;3;150;3
236;La Pinière;2022-10-03;G;Brossard, v;9;;86;392;17;65;13;50;18;1;0;164;4
236;La Pinière;2022-10-03;G;Brossard, v;9;;87;378;21;58;17;39;16;1;0;152;1
236;La Pinière;2022-10-03;G;Brossard, v;9;;88;352;10;66;15;34;18;2;1;146;0
236;La Pinière;2022-10-03;G;Brossard, v;9;;89;371;29;62;17;42;24;5;2;181;2
