Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caron Gabriel P.L.Q./Q.L.P.;Girard Éric P.C.Q-E.E.D.;Guibert-Barthez Adrien Q.S.;Laforest Andrée C.A.Q.-E.F.L.;Villeneuve Alice P.Q.;B.V.;B.R.
918;Chicoutimi;2022-10-03;G;Saguenay, v;33;;26;386;3;22;31;112;38;206;3
918;Chicoutimi;2022-10-03;G;Saguenay, v;33;;27;395;2;16;30;96;33;177;5
918;Chicoutimi;2022-10-03;G;Saguenay, v;33;;28;414;7;26;30;115;25;203;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;33;;29;392;3;19;16;146;30;214;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;33;;30;407;5;23;14;126;35;203;5
918;Chicoutimi;2022-10-03;G;Saguenay, v;33;;31;405;2;17;13;84;15;131;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;33;;32;402;1;28;30;129;24;212;4
918;Chicoutimi;2022-10-03;G;Saguenay, v;34;;33;347;8;13;25;86;16;148;5
918;Chicoutimi;2022-10-03;G;Saguenay, v;34;;34;380;2;13;36;71;25;147;7
918;Chicoutimi;2022-10-03;G;Saguenay, v;34;;35;354;6;4;26;53;20;109;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;34;;36;332;2;15;18;51;17;103;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;34;;37;341;5;16;26;51;20;118;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;34;;38;367;1;15;29;68;27;140;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;39;379;0;19;29;95;23;166;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;40;394;5;21;19;132;41;218;4
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;41;379;10;20;22;97;46;195;3
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;42;392;8;18;14;126;25;191;4
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;43;406;6;25;21;151;17;220;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;44;369;5;9;22;143;26;205;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;45;379;1;22;22;131;27;203;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;46;361;2;19;22;156;40;239;4
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;47;383;8;15;25;127;22;197;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;35;;48;362;4;15;32;76;23;150;2
918;Chicoutimi;2022-10-03;G;Saguenay, v;36;;49;374;6;24;21;63;26;140;3
918;Chicoutimi;2022-10-03;G;Saguenay, v;36;;50;397;5;19;28;73;15;140;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;36;;51;355;5;22;19;85;16;147;3
918;Chicoutimi;2022-10-03;G;Saguenay, v;36;;52;359;1;16;18;107;18;160;3
918;Chicoutimi;2022-10-03;G;Saguenay, v;36;;53;368;5;12;15;91;30;153;3
918;Chicoutimi;2022-10-03;G;Saguenay, v;37;;54A;221;2;13;5;59;6;85;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;37;;54B;244;4;4;8;76;15;107;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;37;;55A;223;0;17;11;69;11;108;1
918;Chicoutimi;2022-10-03;G;Saguenay, v;37;;55B;211;6;15;15;58;18;112;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;37;;56A;236;2;12;6;66;19;105;0
918;Chicoutimi;2022-10-03;G;Saguenay, v;37;;56B;241;4;8;17;55;20;104;1
