Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cantin David P51;Corbeil Priscilla P.Q.;Domingue Jean P.C.Q-E.E.D.;Duhaime Ève Q.S.;Essaidi Odevie P.V.Q./G.P.Q.;Julien Jonatan C.A.Q.-E.F.L.;Pelletier Daniel D.D.;Sissoko Mahamadou P.L.Q./Q.L.P.;B.V.;B.R.
748;Charlesbourg;2022-10-03;G;Québec, v;80;;17;423;0;20;45;32;4;44;1;22;168;2
748;Charlesbourg;2022-10-03;G;Québec, v;80;;18;420;0;19;39;37;3;39;0;9;146;4
748;Charlesbourg;2022-10-03;G;Québec, v;80;;19;395;1;15;37;25;3;52;1;7;141;0
748;Charlesbourg;2022-10-03;G;Québec, v;80;;20;396;2;23;28;29;5;46;1;13;147;1
748;Charlesbourg;2022-10-03;G;Québec, v;80;;21A;214;0;6;17;18;0;30;0;12;83;3
748;Charlesbourg;2022-10-03;G;Québec, v;80;;21B;239;0;8;17;25;1;31;1;5;88;0
748;Charlesbourg;2022-10-03;G;Québec, v;81;;22;372;0;19;36;27;2;38;1;11;134;1
748;Charlesbourg;2022-10-03;G;Québec, v;81;;23;384;1;21;31;21;1;51;0;3;129;0
748;Charlesbourg;2022-10-03;G;Québec, v;81;;24;393;0;28;37;21;1;57;2;3;149;3
748;Charlesbourg;2022-10-03;G;Québec, v;81;;25;387;2;18;33;36;5;63;0;17;174;0
748;Charlesbourg;2022-10-03;G;Québec, v;81;;26;384;0;25;38;20;0;97;0;10;190;2
748;Charlesbourg;2022-10-03;G;Québec, v;81;;27;383;1;33;24;27;1;77;0;16;179;4
748;Charlesbourg;2022-10-03;G;Québec, v;81;;28;385;1;36;39;41;1;58;0;13;189;2
748;Charlesbourg;2022-10-03;G;Québec, v;81;;29;392;0;41;25;34;1;72;2;12;187;1
748;Charlesbourg;2022-10-03;G;Québec, v;81;;30;404;0;36;34;26;4;64;1;12;177;4
748;Charlesbourg;2022-10-03;G;Québec, v;82;;31;357;0;34;29;31;0;40;1;8;143;3
748;Charlesbourg;2022-10-03;G;Québec, v;82;;32;364;0;11;28;11;0;61;0;4;115;3
748;Charlesbourg;2022-10-03;G;Québec, v;82;;33;370;2;20;18;13;0;56;0;9;118;2
748;Charlesbourg;2022-10-03;G;Québec, v;82;;34;369;0;28;25;27;3;55;0;8;146;1
748;Charlesbourg;2022-10-03;G;Québec, v;82;;35;371;0;16;11;12;1;62;0;6;108;1
748;Charlesbourg;2022-10-03;G;Québec, v;82;;36;376;0;37;26;24;0;52;2;8;149;0
748;Charlesbourg;2022-10-03;G;Québec, v;82;;37;402;2;29;20;42;6;69;0;10;178;9
748;Charlesbourg;2022-10-03;G;Québec, v;82;;38;385;1;40;30;46;5;53;0;17;192;1
748;Charlesbourg;2022-10-03;G;Québec, v;82;;39;379;0;23;24;25;6;42;0;12;132;4
748;Charlesbourg;2022-10-03;G;Québec, v;83;;40;342;1;36;23;22;3;75;1;8;169;5
