Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bandou Rachid P.Q.;Gangai Federica B.M.-E.B.H.;Lakhoyan Olivier Sona P.L.Q./Q.L.P.;Merakos Konstantinos P.C.Q-E.E.D.;Nablia Sahbi P.V.Q./G.P.Q.;Platanitis George C.A.Q.-E.F.L.;Robert Zachary Q.S.;B.V.;B.R.
460;Chomedey;2022-10-03;G;Laval, v;20;;22;358;8;2;50;39;2;16;3;120;3
460;Chomedey;2022-10-03;G;Laval, v;20;;23;381;4;1;67;23;2;22;1;120;1
460;Chomedey;2022-10-03;G;Laval, v;20;;24;415;11;0;30;21;1;46;8;117;3
460;Chomedey;2022-10-03;G;Laval, v;20;;25;349;5;0;43;32;0;25;9;114;0
460;Chomedey;2022-10-03;G;Laval, v;20;;26;371;9;1;40;18;0;36;17;121;2
460;Chomedey;2022-10-03;G;Laval, v;20;;27;378;9;1;47;25;2;24;18;126;4
460;Chomedey;2022-10-03;G;Laval, v;20;;28;377;7;0;46;34;0;29;13;129;2
460;Chomedey;2022-10-03;G;Laval, v;20;;29;377;4;2;42;18;1;27;25;119;0
460;Chomedey;2022-10-03;G;Laval, v;20;;30;390;10;0;50;25;3;22;26;136;5
460;Chomedey;2022-10-03;G;Laval, v;20;;31;383;11;2;24;25;1;22;26;111;1
460;Chomedey;2022-10-03;G;Laval, v;20;;32;369;12;1;50;32;0;29;15;139;1
460;Chomedey;2022-10-03;G;Laval, v;20;;33;401;19;2;35;17;3;58;5;139;0
460;Chomedey;2022-10-03;G;Laval, v;20;;34;384;10;0;25;23;0;62;9;129;0
460;Chomedey;2022-10-03;G;Laval, v;20;;35;370;13;1;43;9;0;53;8;127;4
460;Chomedey;2022-10-03;G;Laval, v;20;;36;363;20;0;40;20;2;54;11;147;0
460;Chomedey;2022-10-03;G;Laval, v;20;;37;196;9;1;31;14;0;23;3;81;2
460;Chomedey;2022-10-03;G;Laval, v;20;;38;355;12;0;30;15;0;43;7;107;1
460;Chomedey;2022-10-03;G;Laval, v;20;;39;237;5;0;21;19;0;18;5;68;0
460;Chomedey;2022-10-03;G;Laval, v;21;;40;371;17;0;42;22;3;40;21;145;1
460;Chomedey;2022-10-03;G;Laval, v;21;;41;359;10;1;53;28;2;44;19;157;2
460;Chomedey;2022-10-03;G;Laval, v;21;;42;394;12;2;45;25;0;27;19;130;9
460;Chomedey;2022-10-03;G;Laval, v;21;;43;397;12;0;56;25;2;26;13;134;2
460;Chomedey;2022-10-03;G;Laval, v;21;;44A;243;14;0;18;4;0;17;5;58;1
460;Chomedey;2022-10-03;G;Laval, v;21;;44B;248;2;0;18;9;1;26;12;68;1
460;Chomedey;2022-10-03;G;Laval, v;21;;45;415;24;1;51;39;1;68;5;189;0
460;Chomedey;2022-10-03;G;Laval, v;22;;46;392;13;1;29;8;1;62;17;131;4
460;Chomedey;2022-10-03;G;Laval, v;22;;47;400;9;0;44;15;3;40;22;133;5
460;Chomedey;2022-10-03;G;Laval, v;22;;48;367;19;1;25;18;2;76;9;150;5
460;Chomedey;2022-10-03;G;Laval, v;22;;49;376;7;1;58;15;0;23;12;116;0
460;Chomedey;2022-10-03;G;Laval, v;22;;50;386;11;1;43;20;3;21;16;115;0
460;Chomedey;2022-10-03;G;Laval, v;22;;51;240;5;0;17;16;2;14;10;64;0
460;Chomedey;2022-10-03;G;Laval, v;23;;52;348;12;1;72;22;3;22;16;148;6
460;Chomedey;2022-10-03;G;Laval, v;23;;53;364;9;2;49;25;2;25;22;134;2
460;Chomedey;2022-10-03;G;Laval, v;23;;54;390;20;0;21;9;1;34;10;95;2
460;Chomedey;2022-10-03;G;Laval, v;23;;55;371;14;2;57;24;2;34;22;155;7
460;Chomedey;2022-10-03;G;Laval, v;23;;56;365;6;1;76;37;1;21;20;162;1
460;Chomedey;2022-10-03;G;Laval, v;23;;57;372;13;1;72;28;3;29;26;172;1
460;Chomedey;2022-10-03;G;Laval, v;23;;58;365;5;0;68;38;4;16;16;147;2
460;Chomedey;2022-10-03;G;Laval, v;23;;59;359;28;0;33;17;1;62;7;148;2
460;Chomedey;2022-10-03;G;Laval, v;23;;60;373;12;0;57;25;3;13;16;126;3
460;Chomedey;2022-10-03;G;Laval, v;23;;61;352;2;1;66;44;1;14;14;142;0
460;Chomedey;2022-10-03;G;Laval, v;23;;62;349;5;2;60;58;2;15;19;161;5
460;Chomedey;2022-10-03;G;Laval, v;23;;63;362;9;1;59;40;1;21;21;152;2
460;Chomedey;2022-10-03;G;Laval, v;24;;64;382;8;3;57;11;4;22;20;125;3
460;Chomedey;2022-10-03;G;Laval, v;24;;65;383;3;1;64;43;3;41;17;172;4
460;Chomedey;2022-10-03;G;Laval, v;24;;66;387;14;0;42;26;4;19;25;130;2
460;Chomedey;2022-10-03;G;Laval, v;24;;67;373;8;0;43;22;2;12;23;110;3
460;Chomedey;2022-10-03;G;Laval, v;24;;68;271;2;1;55;11;1;15;12;97;1
460;Chomedey;2022-10-03;G;Laval, v;24;;69;371;10;2;49;28;3;15;22;129;0
460;Chomedey;2022-10-03;G;Laval, v;25;;70;406;19;0;30;15;3;54;14;135;0
460;Chomedey;2022-10-03;G;Laval, v;25;;71;384;13;0;51;19;3;50;26;162;4
460;Chomedey;2022-10-03;G;Laval, v;25;;72;399;10;2;91;17;4;26;13;163;1
460;Chomedey;2022-10-03;G;Laval, v;25;;73;392;6;1;65;24;0;36;9;141;3
460;Chomedey;2022-10-03;G;Laval, v;25;;74;390;7;2;78;28;2;20;30;167;3
460;Chomedey;2022-10-03;G;Laval, v;25;;75;413;10;2;63;19;1;27;15;137;4
460;Chomedey;2022-10-03;G;Laval, v;25;;76;393;6;1;51;17;2;29;13;119;2
460;Chomedey;2022-10-03;G;Laval, v;25;;77;382;14;1;46;12;3;37;15;128;8
460;Chomedey;2022-10-03;G;Laval, v;26;;78;339;9;0;48;26;2;9;12;106;1
460;Chomedey;2022-10-03;G;Laval, v;26;;79;364;2;1;71;55;0;9;9;147;2
460;Chomedey;2022-10-03;G;Laval, v;26;;80;364;0;3;74;54;0;11;11;153;3
460;Chomedey;2022-10-03;G;Laval, v;26;;81;375;8;0;78;21;2;10;11;130;1
460;Chomedey;2022-10-03;G;Laval, v;26;;82;353;3;0;69;84;0;10;5;171;2
460;Chomedey;2022-10-03;G;Laval, v;26;;83;366;1;5;78;72;4;9;5;174;1
460;Chomedey;2022-10-03;G;Laval, v;26;;84;363;6;2;65;59;1;13;9;155;2
460;Chomedey;2022-10-03;G;Laval, v;27;;85;367;1;9;62;52;1;28;11;164;6
460;Chomedey;2022-10-03;G;Laval, v;27;;86;373;5;2;53;33;2;6;6;107;1
460;Chomedey;2022-10-03;G;Laval, v;27;;87;375;11;1;52;37;2;21;26;150;5
460;Chomedey;2022-10-03;G;Laval, v;27;;88;381;2;0;68;30;0;31;13;144;1
460;Chomedey;2022-10-03;G;Laval, v;27;;89;364;8;0;74;37;3;20;6;148;0
460;Chomedey;2022-10-03;G;Laval, v;27;;90;370;7;0;59;46;1;15;14;142;1
460;Chomedey;2022-10-03;G;Laval, v;27;;91;385;3;0;59;52;1;20;17;152;4
460;Chomedey;2022-10-03;G;Laval, v;27;;92;362;3;1;47;40;1;9;7;108;2
