Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arbour Melissa P.V.Q./G.P.Q.;Brazeau Cédric D.D.;Carrière Marc P.C.Q-E.E.D.;Chicoine Audrey-Ann P.Q.;Lacombe Mathieu C.A.Q.-E.F.L.;Latourelle Marie-Claude Q.S.;Semervil Wittlyn Kate P.L.Q./Q.L.P.;B.V.;B.R.
626;Papineau;2022-10-03;G;Notre-Dame-de-Bonsecours, m;1;;139;263;0;0;16;21;64;14;15;130;1
626;Papineau;2022-10-03;G;Boileau, m;1;;140;283;1;0;16;28;61;14;18;138;4
626;Papineau;2022-10-03;G;Lac-des-Plages, m;1;;141A;244;2;0;10;21;35;9;2;79;3
626;Papineau;2022-10-03;G;Lac-des-Plages, m;1;;141B;220;0;0;10;20;54;13;3;100;1
626;Papineau;2022-10-03;G;Saint-Émile-de-Suffolk, m;1;;142;199;1;2;9;19;24;6;5;66;1
626;Papineau;2022-10-03;G;Saint-Émile-de-Suffolk, m;1;;143;219;1;3;7;10;37;17;7;82;1
626;Papineau;2022-10-03;G;Namur, m;1;;144;253;1;1;20;8;29;6;11;76;2
626;Papineau;2022-10-03;G;Namur, m;1;;145;242;0;3;13;6;45;6;13;86;2
626;Papineau;2022-10-03;G;Notre-Dame-de-la-Paix, m;1;;146;286;1;3;18;22;52;33;7;136;1
626;Papineau;2022-10-03;G;Notre-Dame-de-la-Paix, m;1;;147;262;1;5;13;12;64;13;4;112;2
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;148;408;0;2;19;19;83;30;8;161;1
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;149;406;3;2;21;31;62;37;9;165;0
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;150;406;0;0;16;27;70;25;3;141;7
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;151;404;1;0;17;15;95;30;6;164;2
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;152A;221;1;0;2;8;59;9;3;82;1
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;152B;219;0;0;9;14;44;15;1;83;0
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;153A;212;7;0;14;13;42;15;5;96;1
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;153B;233;1;1;7;5;45;26;0;85;0
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;;154;418;1;0;9;22;89;21;9;151;5
626;Papineau;2022-10-03;G;Ripon, m;1;;155;340;5;0;24;22;83;54;6;194;3
626;Papineau;2022-10-03;G;Ripon, m;1;;156;340;1;0;16;25;70;33;4;149;0
626;Papineau;2022-10-03;G;Ripon, m;1;;157;335;0;0;12;26;87;39;4;168;4
626;Papineau;2022-10-03;G;Ripon, m;1;;158;373;4;1;9;22;63;34;11;144;2
626;Papineau;2022-10-03;G;Chénéville, m;1;;159;384;0;1;14;11;74;17;3;120;1
626;Papineau;2022-10-03;G;Chénéville, m;1;;160;363;2;0;18;17;73;20;10;140;0
626;Papineau;2022-10-03;G;Lac-Simon, m;1;;161;304;1;0;10;18;50;17;5;101;6
626;Papineau;2022-10-03;G;Lac-Simon, m;1;;162;296;2;0;8;16;57;14;2;99;0
626;Papineau;2022-10-03;G;Lac-Simon, m;1;;163;316;1;0;13;16;61;13;6;110;1
626;Papineau;2022-10-03;G;Duhamel, m;1;;164;411;1;0;26;25;103;13;10;178;3
626;Papineau;2022-10-03;G;Montpellier, m;1;;165;301;4;0;32;15;72;24;2;149;2
626;Papineau;2022-10-03;G;Montpellier, m;1;;166;315;0;2;25;20;81;9;6;143;0
626;Papineau;2022-10-03;G;Montpellier, m;1;;167;296;3;1;19;17;106;15;12;173;1
626;Papineau;2022-10-03;G;Gatineau, v;55;Regr. BVO-82;500;138;0;0;0;0;0;0;0;0;0
626;Papineau;2022-10-03;G;Gatineau, v;55;Regr. BVO-82;501;54;0;0;0;0;0;0;0;0;0
626;Papineau;2022-10-03;G;Gatineau, v;66;Regr. BVO-87;502;34;0;0;0;0;0;0;0;0;0
626;Papineau;2022-10-03;G;Saint-Émile-de-Suffolk, m;1;Regr. BVO-142;503;40;0;0;0;0;0;0;0;0;0
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;Regr. BVO-150;504;54;0;0;0;0;0;0;0;0;0
626;Papineau;2022-10-03;G;Saint-André-Avellin, m;1;Regr. BVO-151;505;85;0;0;0;0;0;0;0;0;0
626;Papineau;2022-10-03;G;BVA1: SV no 2, 6 à 8, 11, 28;;;;0;4;1;14;18;218;19;30;304;1
626;Papineau;2022-10-03;G;BVA2: SV no 5, 9 à 10, 13, 29 à 30;;;;0;2;0;27;35;272;37;38;411;3
626;Papineau;2022-10-03;G;BVA3: SV no 1, 3 à 4, 12, 14 à 15;;;;0;4;0;45;32;307;35;24;447;1
626;Papineau;2022-10-03;G;BVA4: SV no 16 à 17, 25 à 27, 31;;;;0;2;0;31;17;264;32;42;388;4
626;Papineau;2022-10-03;G;BVA5: SV no 18 à 20, 24, 47 à 48;;;;0;4;0;28;27;260;38;21;378;1
626;Papineau;2022-10-03;G;BVA6: SV no 21 à 23, 32, 49 à 50;;;;0;1;2;23;20;175;34;30;285;4
626;Papineau;2022-10-03;G;BVA7: SV no 33 à 36, 51 à 52;;;;0;2;1;23;30;222;34;36;348;0
626;Papineau;2022-10-03;G;BVA8: SV no 37 à 40, 53 à 54;;;;0;4;1;35;31;268;37;23;399;2
626;Papineau;2022-10-03;G;BVA9: SV no 41 à 44, 55 à 56;;;;0;3;0;41;33;279;35;38;429;2
626;Papineau;2022-10-03;G;BVA10: SV no 45 à 46, 57 à 59;;;;0;6;0;57;21;253;26;21;384;4
626;Papineau;2022-10-03;G;BVA11: SV no 60 à 62, 70 à 71;;;;0;3;0;46;21;227;19;36;352;4
626;Papineau;2022-10-03;G;BVA12: SV no 63 à 66, 73, 75;;;;0;4;0;39;29;277;39;18;406;1
626;Papineau;2022-10-03;G;BVA13: SV no 67 à 69, 72, 74;;;;0;2;0;39;19;182;26;23;291;2
626;Papineau;2022-10-03;G;BVA14: SV no 76 à 77, 93 à 95;;;;0;3;0;31;45;450;39;48;616;3
626;Papineau;2022-10-03;G;BVA15: SV no 78 à 79, 83, 87 à 89;;;;0;2;1;34;49;325;31;55;497;7
626;Papineau;2022-10-03;G;BVA16: SV no 84 à 86, 90 à 91;;;;0;4;1;42;19;234;24;26;350;1
626;Papineau;2022-10-03;G;BVA17: SV no 80 à 82, 92;;;;0;2;2;41;34;205;33;30;347;0
626;Papineau;2022-10-03;G;BVA18: SV no 96 à 101;;;;0;2;2;47;34;264;58;26;433;2
626;Papineau;2022-10-03;G;BVA19: SV no 102, 104, 116 à 119;;;;0;2;1;59;23;233;36;46;400;0
626;Papineau;2022-10-03;G;BVA20: SV no 103, 105 à 107, 114 à 115;;;;0;9;0;53;39;256;56;50;463;3
626;Papineau;2022-10-03;G;BVA21: SV no 108 à 113;;;;0;2;1;42;23;311;17;24;420;2
626;Papineau;2022-10-03;G;BVA22: SV no 120 à 121, 126 à 127;;;;0;0;0;22;29;222;20;14;307;1
626;Papineau;2022-10-03;G;BVA23: SV no 122 à 125;;;;0;2;0;53;28;231;28;25;367;8
626;Papineau;2022-10-03;G;BVA24: SV no 128 à 129, 132, 135 à 136, 138;;;;0;0;0;30;39;280;45;20;414;0
626;Papineau;2022-10-03;G;BVA25: SV no 130 à 131, 133 à 134, 137, 139;;;;0;1;3;39;48;227;49;11;378;2
626;Papineau;2022-10-03;G;BVA26: SV no 141 à 143;;;;0;2;0;13;29;115;25;12;196;3
626;Papineau;2022-10-03;G;BVA27: SV no 159, 163, 165 à 166;;;;0;3;1;26;35;209;18;17;309;4
626;Papineau;2022-10-03;G;BVA28: SV no 160 à 162, 164, 167;;;;0;1;1;28;64;229;21;20;364;3
626;Papineau;2022-10-03;G;BVA29: SV no 146, 148 à 150, 152, 155;;;;0;3;0;35;41;306;61;25;471;0
626;Papineau;2022-10-03;G;BVA30: SV no 147, 151, 153 à 154, 156 à 158;;;;0;4;0;26;75;323;64;22;514;5
626;Papineau;2022-10-03;G;BVA31: SV no 140, 144 à 145;;;;0;0;0;17;16;69;7;15;124;2
626;Papineau;2022-10-03;G;Vote en installation d'hébergement;;;;0;0;0;12;10;133;9;21;185;6
626;Papineau;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;2;1;10;6;91;7;9;126;2
626;Papineau;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;2;0;70;62;280;64;39;517;0
626;Papineau;2022-10-03;G;Vote hors circonscription;;;;0;9;1;25;34;77;184;20;350;10
626;Papineau;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;20;0;0;0;0;0;0;0;0;0
626;Papineau;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;11;0;0;0;0;0;0;0;0;0
626;Papineau;2022-10-03;G;Total de la circonscription;;;;63674;450;104;4970;3834;19791;5164;3151;37464;383
626;Papineau;2022-10-03;G;Majorité en faveur de Mathieu Lacombe : 14627;;;;;;;;;;;;;
