Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Coulombe Éloïse P.C.Q-E.E.D.;Patenaude Samuel P.Q.;Picard Marilyne C.A.Q.-E.F.L.;Samson Sophie Q.S.;Solarik Kristian P.V.Q./G.P.Q.;St-Amour Catherine P.L.Q./Q.L.P.;B.V.;B.R.
220;Soulanges;2022-10-03;G;Hudson, v;1;;20B;235;9;0;20;0;5;48;82;0
220;Soulanges;2022-10-03;G;Hudson, v;1;;21;400;24;4;16;8;13;99;164;0
220;Soulanges;2022-10-03;G;Hudson, v;1;;22;419;27;4;12;12;9;112;176;1
220;Soulanges;2022-10-03;G;Hudson, v;1;;23;423;19;3;9;10;2;117;160;0
220;Soulanges;2022-10-03;G;Hudson, v;2;;24;421;13;1;21;12;5;97;149;1
220;Soulanges;2022-10-03;G;Hudson, v;2;;25;409;15;4;24;9;7;110;169;2
220;Soulanges;2022-10-03;G;Hudson, v;2;;26;410;18;3;21;16;5;74;137;0
220;Soulanges;2022-10-03;G;Hudson, v;2;;27;413;18;2;21;12;10;130;193;3
220;Soulanges;2022-10-03;G;Hudson, v;2;;28;416;28;3;19;6;14;109;179;1
220;Soulanges;2022-10-03;G;Hudson, v;2;;29;399;13;2;15;6;13;149;198;2
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;30;406;37;13;33;17;3;67;170;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;31;393;38;8;27;8;8;108;197;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;32;384;38;3;22;7;9;124;203;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;33;399;28;4;13;15;12;113;185;3
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;34;391;36;2;25;9;7;106;185;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;35;397;43;8;10;5;2;106;174;4
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;36;403;44;3;20;11;8;100;186;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;37;397;33;6;33;10;7;77;166;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;1;;38;401;23;5;46;10;1;76;161;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;39;379;13;12;48;25;6;71;175;2
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;40;385;27;11;52;28;7;74;199;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;41;379;19;19;44;22;4;51;159;7
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;42;373;27;9;53;22;5;40;156;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;43;366;16;16;37;19;4;37;129;4
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;44;412;25;14;52;21;1;60;173;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;45;391;21;8;74;20;4;33;160;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;46;379;31;8;50;24;9;37;159;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;47;387;29;14;64;15;3;56;181;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;48;374;31;16;55;11;6;49;168;2
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;49;385;7;30;74;18;8;33;170;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;2;;50;384;20;17;65;10;9;39;160;2
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;51;404;34;12;49;19;0;48;162;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;52A;227;14;5;10;11;0;49;89;2
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;52B;216;21;1;11;4;2;41;80;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;53;414;26;4;34;12;2;70;148;2
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;54;397;17;22;50;11;2;22;124;3
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;55;402;29;12;57;16;4;44;162;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;56;383;19;17;58;22;5;54;175;0
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;57;406;19;7;69;28;4;64;191;1
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;58;386;17;8;36;9;1;83;154;2
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;59;405;20;13;66;22;10;58;189;3
220;Soulanges;2022-10-03;G;Saint-Lazare, v;3;;60;385;31;13;62;14;4;58;182;4
