Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubertin Marie-Noëlle Q.S.;Craig-Larouche Jeanne P.Q.;Girard Eric C.A.Q.-E.F.L.;Medaino-Tardif Audrey P.L.Q./Q.L.P.;Messore Valerie P.C.Q-E.E.D.;Shahsavar-Arshad Victoria P.V.Q./G.P.Q.;B.V.;B.R.
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;16;392;33;41;48;3;12;0;137;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;17;388;57;33;47;12;18;1;168;7
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;18;389;24;19;52;5;15;1;116;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;19;380;13;22;60;11;7;0;113;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;20;385;43;26;45;6;10;2;132;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;21;396;46;25;49;7;19;6;152;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;22;379;40;31;51;11;8;2;143;5
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;23;380;23;36;49;16;19;1;144;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;24;395;53;24;41;15;26;1;160;4
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;2;;25;387;34;22;50;12;21;3;142;4
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;26;396;35;27;62;12;23;7;166;5
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;27;404;44;23;61;13;5;2;148;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;28;385;36;38;48;14;23;3;162;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;29;386;48;30;49;8;10;3;148;1
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;30;377;42;24;51;10;8;1;136;4
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;31;388;54;23;63;12;16;2;170;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;32;386;24;37;89;19;18;1;188;3
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;33;403;32;24;47;12;18;4;137;3
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;3;;34;377;30;17;44;19;27;1;138;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;4;;35;394;38;26;45;9;25;1;144;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;4;;36;375;30;28;56;19;15;2;150;2
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;4;;37;371;54;23;52;10;22;1;162;0
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;4;;38;380;36;37;53;10;22;0;158;3
502;Groulx;2022-10-03;G;Sainte-Thérèse, v;4;;39;369;32;24;58;12;16;3;145;14
