Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baenninger Christopher P.L.Q./Q.L.P.;Diep Aurélie C.A.Q.-E.F.L.;Laplante Phoeby P.Q.;Marquis Stéfan P.C.Q-E.E.D.;Massé Manon Q.S.;Mercier Jency C.Q.;Roop Hailey P.V.Q./G.P.Q.;Sullivan Linda P.M.L.Q.;B.V.;B.R.
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;169;;67;405;20;32;33;5;33;1;2;0;126;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;169;;68;369;29;14;33;8;33;0;5;0;122;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;169;;69;397;29;14;12;9;58;0;4;1;127;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;169;;70;391;18;14;35;5;70;0;2;0;144;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;169;;71;395;18;8;19;5;79;0;2;1;132;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;169;;72;382;39;19;15;4;61;4;9;1;152;5
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;73;431;31;12;14;8;98;1;7;0;171;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;74;411;39;18;20;4;99;0;9;1;190;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;75;416;24;10;9;6;71;0;3;1;124;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;76;405;28;20;8;3;52;0;4;1;116;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;77;399;32;7;15;9;79;0;8;0;150;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;78;392;35;14;22;6;82;0;3;0;162;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;79;388;20;7;3;3;58;0;2;0;93;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;80;406;27;10;18;4;62;0;7;1;129;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;170;;81;360;24;15;6;5;38;1;2;0;91;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;82;349;20;6;12;8;39;0;2;0;87;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;83;348;27;14;17;5;44;0;2;0;109;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;84;366;12;8;14;14;39;2;2;0;91;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;85;370;13;4;23;7;81;0;3;0;131;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;86;356;19;11;12;6;78;0;4;0;130;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;87;358;19;8;10;3;39;0;5;1;85;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;88;372;20;5;14;6;69;0;9;0;123;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;89;360;62;14;2;5;34;1;2;1;121;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;171;;90;312;47;10;1;4;14;0;1;0;77;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;172;;91;331;21;9;1;6;25;1;5;2;70;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;172;;92;290;20;2;9;8;18;0;0;0;57;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;172;;93;304;16;10;4;9;30;0;2;0;71;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;172;;94;365;20;16;7;4;53;0;4;0;104;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;172;;95;390;19;18;14;5;33;0;2;0;91;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;172;;96;377;21;17;12;8;52;0;3;0;113;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;172;;97;339;21;9;11;13;59;0;1;1;115;4
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;98;382;15;28;26;12;61;0;3;0;145;2
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;99A;327;45;21;7;10;15;0;1;0;99;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;99B;286;41;27;16;12;30;0;3;0;129;3
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;100;364;42;27;28;13;31;0;2;0;143;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;101;341;53;21;19;11;40;0;1;0;145;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;102;365;41;19;16;12;40;0;3;0;131;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;103;364;28;29;17;15;31;0;4;0;124;1
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;104;393;49;18;10;17;19;0;6;0;119;0
330;Sainte-Marie-Saint-Jacques;2022-10-03;G;Montréal, v;173;;105;356;78;27;13;7;20;0;5;0;150;2
