Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Choquette Raymond D.D.;Girard-Duchaine Alexandre P.Q.;Lavertu Pierre-Luc Q.S.;Lemieux Louis C.A.Q.-E.F.L.;Melnitzky Dominick P.C.Q-E.E.D.;Roy Benjamin P.L.Q./Q.L.P.;Thériault Denis C.Q.;B.V.;B.R.
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;31;364;0;29;26;54;7;11;3;130;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;32;353;0;24;33;65;14;8;1;145;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;33;343;0;38;23;103;8;8;2;182;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;34;360;1;27;23;65;18;12;0;146;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;5;;35;362;0;23;31;70;8;13;1;146;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;36;387;0;27;22;113;16;20;0;198;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;37;378;0;35;20;59;20;9;1;144;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;38;391;0;38;29;81;16;20;0;184;7
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;39;386;0;45;32;84;17;6;0;184;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;40;406;1;45;59;100;19;21;6;251;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;41;393;0;34;49;97;28;7;0;215;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;42;382;1;31;35;90;9;16;1;183;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;43;388;0;48;38;84;17;11;5;203;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;44;389;0;48;25;79;20;18;1;191;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;45;394;0;33;24;86;10;19;1;173;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;6;;46;389;0;42;29;88;12;12;0;183;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;7;;47;371;2;47;21;78;31;10;2;191;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;7;;48;353;0;42;27;74;15;17;1;176;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;7;;49;333;0;31;31;85;22;4;3;176;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;7;;50;348;0;38;30;82;23;12;0;185;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;51;373;1;47;36;84;11;10;0;189;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;52;394;1;44;28;75;15;6;2;171;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;53;364;0;32;34;99;12;12;0;189;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;54A;211;0;21;13;44;15;4;0;97;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;54B;227;0;25;16;59;6;7;1;114;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;55;377;0;48;29;83;11;13;0;184;7
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;56;389;1;24;21;57;16;5;1;125;6
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;57;360;0;21;17;56;10;7;0;111;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;58;380;0;28;35;54;15;8;0;140;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;59;386;1;40;57;53;23;16;2;192;7
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;60;362;0;36;23;86;30;7;0;182;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;61;404;0;36;27;56;32;9;1;161;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;8;;62;376;0;40;21;57;15;6;3;142;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;9;;63;427;2;41;38;94;13;13;5;206;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;9;;64;420;0;47;28;115;16;9;0;215;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;9;;65;425;1;40;40;88;23;19;0;211;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;9;;66;394;1;50;23;63;14;9;3;163;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;9;;67;410;2;54;23;77;24;14;2;196;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;9;;68;405;0;37;37;80;11;15;2;182;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;9;;69;405;0;52;31;76;18;10;2;189;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;10;;70A;235;0;24;10;46;11;2;1;94;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;10;;70B;197;0;13;14;30;19;2;0;78;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;10;;71;417;0;36;30;89;19;5;1;180;5
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;10;;72;400;0;65;37;71;16;16;3;208;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;10;;73;416;0;30;36;85;11;8;2;172;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;10;;74;408;1;41;24;63;14;9;2;154;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;10;;75;402;0;50;19;68;12;11;0;160;6
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;10;;76;422;0;45;45;50;23;5;2;170;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;11;;77;337;0;24;23;43;23;8;2;123;1
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;11;;78;357;0;26;36;74;6;19;0;161;0
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;11;;79;344;0;28;31;53;18;3;1;134;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;11;;80;346;0;38;28;44;10;5;1;126;2
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;11;;81;368;0;42;25;41;15;4;2;129;8
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;11;;82;381;1;29;20;47;15;5;0;117;4
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;11;;83;348;0;44;33;49;9;5;2;142;3
212;Saint-Jean;2022-10-03;G;Saint-Jean-sur-Richelieu, v;12;;84;367;1;35;27;38;26;6;2;135;3
