Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Marc P.L.Q./Q.L.P.;Dauphinais Chantal P.C.Q-E.E.D.;Desforges Claudine P.Q.;Poirier Emilie Q.S.;Reid Claude C.A.Q.-E.F.L.;Savard Hélène P.V.Q./G.P.Q.;Taillefer Mathieu C.Q.;B.V.;B.R.
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;5;;26;358;6;23;21;16;64;1;1;132;6
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;5;;27;361;5;22;32;22;58;3;1;143;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;5;;28;369;2;15;34;22;76;0;1;150;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;5;;29;362;8;20;31;20;63;0;0;142;6
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;5;;30;373;16;41;40;29;60;1;1;188;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;31;389;3;22;35;20;64;1;0;145;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;32;396;13;22;24;23;69;2;0;153;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;33;400;11;11;13;6;92;1;0;134;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;34;392;14;17;25;32;50;0;2;140;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;35;393;9;38;20;26;56;0;1;150;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;36;387;2;13;26;21;80;1;1;144;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;37;417;18;11;34;20;44;0;0;127;7
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;38;394;6;11;16;18;31;1;2;85;6
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;39;404;11;13;24;23;31;3;2;107;9
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;6;;40;405;13;10;20;23;52;1;0;119;6
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;41;358;2;13;19;24;49;2;1;110;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;42;352;4;21;17;26;41;1;0;110;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;43;357;11;15;17;30;43;1;1;118;7
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;44;372;6;12;22;28;61;1;1;131;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;45;361;2;2;17;13;45;1;1;81;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;46;353;10;13;22;19;67;1;0;132;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;47;359;6;8;30;24;88;2;0;158;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;48;365;12;14;24;20;89;0;0;159;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;7;;49;375;13;11;38;34;104;0;0;200;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;8;;50;382;13;8;30;24;57;0;0;132;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;8;;51;372;4;13;21;48;46;1;1;134;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;8;;52;371;16;21;23;23;70;1;1;155;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;8;;53;399;7;16;38;26;71;0;2;160;6
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;8;;54;388;8;23;29;29;55;2;2;148;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;8;;55;388;13;11;24;31;82;1;1;163;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;8;;56;381;3;16;24;18;79;0;2;142;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;9;;57;390;9;19;19;27;46;1;0;121;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;9;;58;375;5;9;27;23;52;1;2;119;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;9;;59;387;7;24;34;14;60;1;0;140;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;9;;60;378;10;31;21;30;49;1;0;142;5
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;9;;61;375;11;14;19;13;45;0;0;102;4
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;9;;62;379;10;19;35;25;64;1;2;156;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;9;;63;361;10;15;18;24;56;2;0;125;5
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;10;;64;382;8;13;25;18;61;3;1;129;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;10;;65;381;13;21;23;28;83;3;0;171;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;10;;66;375;11;10;39;13;76;1;0;150;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;10;;67;376;12;25;36;48;78;4;2;205;1
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;10;;68;387;6;19;23;20;55;2;2;127;0
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;10;;69;414;25;21;33;29;74;1;0;183;5
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;10;;70;397;7;25;28;27;69;1;0;157;2
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;10;;71;362;7;17;34;21;54;1;0;134;3
218;Beauharnois;2022-10-03;G;Salaberry-de-Valleyfield, v;11;;72;366;2;16;23;30;62;3;2;138;4
