Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé-Simard Félix-Antoine P.V.Q./G.P.Q.;Gamache Christiane C.A.Q.-E.F.L.;Ledoux Mario C.Q.;Moreau Claude P.M.L.Q.;Perreault Lucie D.D.;Peter Denise P.C.Q-E.E.D.;Potvin Michaël P.Q.;Robert Charles P.L.Q./Q.L.P.;Zanetti Sol Q.S.;B.V.;B.R.
736;Jean-Lesage;2022-10-03;G;Québec, v;62;;28;351;0;38;0;0;0;32;8;8;50;136;0
736;Jean-Lesage;2022-10-03;G;Québec, v;63;;29;382;3;52;0;0;1;24;18;4;39;141;3
736;Jean-Lesage;2022-10-03;G;Québec, v;63;;30;360;2;37;1;1;0;26;17;5;41;130;0
736;Jean-Lesage;2022-10-03;G;Québec, v;63;;31;379;1;25;1;1;0;14;18;5;54;119;2
736;Jean-Lesage;2022-10-03;G;Québec, v;63;;32;392;0;49;0;0;0;19;21;11;66;166;4
736;Jean-Lesage;2022-10-03;G;Québec, v;63;;33;383;1;32;0;1;0;28;15;10;51;138;4
736;Jean-Lesage;2022-10-03;G;Québec, v;63;;34;394;3;47;0;0;0;32;20;6;48;156;4
736;Jean-Lesage;2022-10-03;G;Québec, v;64;;35;401;2;45;1;1;0;40;15;8;66;178;5
736;Jean-Lesage;2022-10-03;G;Québec, v;64;;36;387;5;38;2;0;0;34;12;10;40;141;4
736;Jean-Lesage;2022-10-03;G;Québec, v;64;;37;371;1;41;0;2;0;24;11;9;53;141;3
736;Jean-Lesage;2022-10-03;G;Québec, v;64;;38;395;1;37;0;1;2;31;9;5;43;129;2
736;Jean-Lesage;2022-10-03;G;Québec, v;65;;39;330;0;43;0;0;0;29;9;5;36;122;2
736;Jean-Lesage;2022-10-03;G;Québec, v;65;;40;343;0;35;0;0;0;22;19;7;65;148;3
736;Jean-Lesage;2022-10-03;G;Québec, v;65;;41;348;2;62;0;0;0;39;17;6;50;176;2
736;Jean-Lesage;2022-10-03;G;Québec, v;65;;42;317;2;26;0;0;0;22;16;2;44;112;2
736;Jean-Lesage;2022-10-03;G;Québec, v;65;;43;353;1;28;0;0;0;19;10;4;44;106;4
