Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barriault Jean-Sébastien C.A.Q.-E.F.L.;Bérubé Pascal P.Q.;Boucher Marie-Phare Q.S.;Leblanc Alexandre P.C.Q-E.E.D.;Lounsbury Harley Ryan P.L.Q./Q.L.P.;Rose Madeleine U.F.F.;B.V.;B.R.
842;Matane-Matapédia;2022-10-03;G;Lac-au-Saumon, m;1;Regr. BVO-64;503;31;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Amqui, v;1;Regr. BVO-69;504;133;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Amqui, v;1;Regr. BVO-75;505;70;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Mont-Joli, v;1;Regr. BVO-109;506;58;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Mont-Joli, v;2;Regr. BVO-115;507;63;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Mont-Joli, v;2;Regr. BVO-118;508;52;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;Sainte-Luce, m;1;Regr. BVO-136;509;25;0;0;0;0;0;0;0;0
842;Matane-Matapédia;2022-10-03;G;BVA1: SV no 1 à 9;;;;0;57;154;5;21;5;0;242;4
842;Matane-Matapédia;2022-10-03;G;BVA2: SV no 12, 15, 18, 21, 45, 48;;;;0;89;288;20;20;10;1;428;5
842;Matane-Matapédia;2022-10-03;G;BVA3: SV no 13, 16, 19, 43, 46, 50;;;;0;102;274;11;29;6;2;424;0
842;Matane-Matapédia;2022-10-03;G;BVA4: SV no 22, 26, 30, 34, 38, 40;;;;0;89;302;12;8;23;0;434;0
842;Matane-Matapédia;2022-10-03;G;BVA5: SV no 23, 27, 31, 35, 39, 41;;;;0;47;316;14;18;6;0;401;6
842;Matane-Matapédia;2022-10-03;G;BVA6: SV no 10, 24, 28, 32, 36, 42;;;;0;78;238;11;15;10;2;354;1
842;Matane-Matapédia;2022-10-03;G;BVA7: SV no 11, 25, 29, 33, 37, 140;;;;0;71;273;11;14;7;2;378;1
842;Matane-Matapédia;2022-10-03;G;BVA8: SV no 14, 17, 20, 44, 47;;;;0;53;210;9;12;7;1;292;1
842;Matane-Matapédia;2022-10-03;G;BVA9: SV no 49, 64, 68, 72, 76, 80;;;;0;61;190;9;29;11;0;300;2
842;Matane-Matapédia;2022-10-03;G;BVA10: SV no 51, 65, 69, 73, 77, 81;;;;0;76;224;11;20;5;0;336;1
842;Matane-Matapédia;2022-10-03;G;BVA11: SV no 52, 66, 70, 74, 78, 82;;;;0;84;226;9;28;4;0;351;3
