Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Richard C.A.Q.-E.F.L.;Émond Jean-Pierre C.Q.;Eyangos Christina P.L.Q./Q.L.P.;Karteris Christos P.C.Q-E.E.D.;Keita Bourama P.V.Q./G.P.Q.;Mc Nicoll Charles E.A.;St-Gelais Grace D.D.;St-Pierre Plamondon Paul P.Q.;B.V.;B.R.
370;Camille-Laurin;2022-10-03;G;Montréal, v;359;;114;375;72;2;24;15;2;0;0;81;196;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;359;;115;350;31;1;25;18;2;0;0;79;156;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;359;;116;365;47;3;24;12;3;0;0;70;159;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;117;392;49;0;60;11;5;1;0;71;197;15
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;118;395;42;0;39;10;1;0;0;74;166;9
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;119;390;44;0;21;13;5;0;0;76;159;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;120;368;38;2;17;10;4;0;0;72;143;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;121;406;41;4;21;16;3;0;0;59;144;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;122;390;19;1;15;15;0;0;0;73;123;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;123;399;33;1;19;28;3;0;0;76;160;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;124A;229;21;2;13;8;3;0;0;45;92;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;124B;230;29;4;12;3;2;0;0;43;93;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;125;374;40;0;25;9;2;0;0;55;131;8
