Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bécotte Martin Q.S.;Gendron Marie-Belle C.A.Q.-E.F.L.;Lafleur Marianne P.Q.;Primeau Jean-François P.L.Q./Q.L.P.;Stevenson Stephanie P.V.Q./G.P.Q.;Viau Patric P.C.Q-E.E.D.;B.V.;B.R.
226;Châteauguay;2022-10-03;G;Châteauguay, v;9;;56;408;20;26;10;96;2;23;177;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;9;;57;422;26;46;17;123;2;21;235;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;9;;58;415;19;54;16;85;4;26;204;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;10;;59;359;17;41;18;74;5;17;172;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;10;;60;386;31;30;21;56;2;29;169;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;10;;61;371;23;34;10;77;1;12;157;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;10;;62;367;22;41;12;48;3;23;149;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;10;;63;393;34;24;30;33;5;21;147;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;10;;64;380;16;54;32;29;5;29;165;4
226;Châteauguay;2022-10-03;G;Châteauguay, v;10;;65;388;31;53;23;30;3;27;167;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;10;;66;368;11;22;10;76;1;24;144;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;11;;67;386;14;50;9;58;7;17;155;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;11;;68;338;21;34;8;74;4;17;158;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;11;;69;352;25;28;11;72;2;6;144;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;11;;70;339;6;33;10;56;2;5;112;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;11;;71;337;24;29;7;68;4;24;156;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;11;;72;350;19;27;12;50;0;21;129;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;11;;73;365;13;30;17;34;2;21;117;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;12;;74;377;27;30;15;60;4;18;154;2
226;Châteauguay;2022-10-03;G;Châteauguay, v;12;;75;397;10;41;14;55;2;8;130;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;12;;76;388;21;46;17;67;4;31;186;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;12;;77;396;23;41;17;67;6;24;178;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;12;;78A;307;7;26;10;34;1;16;94;0
226;Châteauguay;2022-10-03;G;Châteauguay, v;12;;78B;303;14;30;5;19;1;15;84;3
226;Châteauguay;2022-10-03;G;Châteauguay, v;12;;79;394;26;36;20;62;2;13;159;1
226;Châteauguay;2022-10-03;G;Châteauguay, v;13;;80;433;28;43;10;63;1;19;164;4
