Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Daou Grace P.C.Q-E.E.D.;Hanna Marie-France D.D.;Labelle Frédéric P.Q.;Laframboise Mario C.A.Q.-E.F.L.;Mercho Alexandre P.L.Q./Q.L.P.;Michaud Éric Q.S.;B.V.;B.R.
536;Blainville;2022-10-03;G;Blainville, v;5;;43;339;11;1;22;79;15;26;154;3
536;Blainville;2022-10-03;G;Blainville, v;5;;44;347;16;0;33;53;9;29;140;0
536;Blainville;2022-10-03;G;Blainville, v;5;;45;336;16;2;14;49;8;26;115;0
536;Blainville;2022-10-03;G;Blainville, v;5;;46;337;14;0;24;50;12;34;134;0
536;Blainville;2022-10-03;G;Blainville, v;5;;47;349;14;0;19;49;5;19;106;3
536;Blainville;2022-10-03;G;Blainville, v;5;;48;338;17;2;17;45;8;24;113;2
536;Blainville;2022-10-03;G;Blainville, v;5;;49;340;22;0;18;50;15;19;124;4
536;Blainville;2022-10-03;G;Blainville, v;5;;50;345;16;0;32;70;18;15;151;1
536;Blainville;2022-10-03;G;Blainville, v;5;;51;340;10;4;17;56;18;24;129;2
536;Blainville;2022-10-03;G;Blainville, v;5;;52;329;18;0;30;57;12;25;142;0
536;Blainville;2022-10-03;G;Blainville, v;6;;53;329;8;0;37;68;13;22;148;3
536;Blainville;2022-10-03;G;Blainville, v;6;;54;333;13;0;21;76;7;38;155;3
536;Blainville;2022-10-03;G;Blainville, v;6;;55;349;16;1;18;81;12;23;151;1
536;Blainville;2022-10-03;G;Blainville, v;6;;56;336;17;0;23;47;6;28;121;0
536;Blainville;2022-10-03;G;Blainville, v;6;;57;340;16;0;28;73;16;25;158;8
536;Blainville;2022-10-03;G;Blainville, v;7;;58;357;15;0;20;76;35;32;178;1
536;Blainville;2022-10-03;G;Blainville, v;7;;59;309;29;0;6;54;34;8;131;2
536;Blainville;2022-10-03;G;Blainville, v;7;;60;417;24;1;25;85;24;29;188;5
536;Blainville;2022-10-03;G;Blainville, v;7;;61;381;15;1;24;78;25;26;169;1
536;Blainville;2022-10-03;G;Blainville, v;7;;62;365;13;2;25;72;17;24;153;1
536;Blainville;2022-10-03;G;Blainville, v;7;;63;384;20;1;42;67;13;24;167;3
536;Blainville;2022-10-03;G;Blainville, v;7;;64;359;22;0;19;57;20;17;135;3
536;Blainville;2022-10-03;G;Blainville, v;7;;65;366;17;1;19;58;19;28;142;0
536;Blainville;2022-10-03;G;Blainville, v;7;;66;347;28;0;20;44;33;18;143;1
536;Blainville;2022-10-03;G;Blainville, v;7;;67;394;20;2;29;55;17;40;163;0
536;Blainville;2022-10-03;G;Blainville, v;7;;68;369;23;0;27;50;21;17;138;1
536;Blainville;2022-10-03;G;Blainville, v;7;;69;361;25;0;17;49;14;14;119;6
536;Blainville;2022-10-03;G;Blainville, v;7;;70;353;17;1;25;50;12;26;131;2
536;Blainville;2022-10-03;G;Blainville, v;8;;71;384;12;1;43;44;28;23;151;1
536;Blainville;2022-10-03;G;Blainville, v;8;;72;374;19;0;20;69;10;28;146;3
536;Blainville;2022-10-03;G;Blainville, v;8;;73;370;21;2;24;61;11;21;140;4
536;Blainville;2022-10-03;G;Blainville, v;8;;74;347;22;0;18;60;17;19;136;2
536;Blainville;2022-10-03;G;Blainville, v;8;;75;363;5;0;13;55;11;8;92;2
536;Blainville;2022-10-03;G;Blainville, v;8;;76;390;14;2;42;70;29;28;185;6
536;Blainville;2022-10-03;G;Blainville, v;8;;77;368;14;3;41;64;26;46;194;3
536;Blainville;2022-10-03;G;Blainville, v;8;;78;363;9;1;44;67;15;21;157;0
536;Blainville;2022-10-03;G;Blainville, v;8;;79;373;5;0;15;66;9;14;109;1
536;Blainville;2022-10-03;G;Blainville, v;8;;80;373;12;1;30;53;9;33;138;6
536;Blainville;2022-10-03;G;Blainville, v;8;;81;390;21;1;15;54;39;16;146;3
536;Blainville;2022-10-03;G;Blainville, v;8;;82;383;26;1;12;66;25;16;146;4
536;Blainville;2022-10-03;G;Blainville, v;9;;83;341;18;0;31;58;14;29;150;1
536;Blainville;2022-10-03;G;Blainville, v;9;;84;349;11;0;18;88;24;19;160;1
