Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp François C.Q.;Bélizaire Annie P.L.Q./Q.L.P.;Corbeil Daniel P.Q.;Jeannotte Chantale C.A.Q.-E.F.L.;Paquin Claude P.C.Q-E.E.D.;Roy Jasmine Q.S.;B.V.;B.R.
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;128;397;0;23;19;68;29;18;157;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;3;;129;357;1;27;31;47;14;18;138;4
594;Labelle;2022-10-03;G;Mont-Tremblant, v;3;;130;352;2;15;27;45;20;19;128;2
594;Labelle;2022-10-03;G;Mont-Tremblant, v;3;;131;347;4;16;21;55;25;42;163;3
594;Labelle;2022-10-03;G;Mont-Tremblant, v;3;;132;355;1;33;18;80;9;6;147;3
594;Labelle;2022-10-03;G;Lac-Supérieur, m;1;;133;394;5;23;59;70;14;16;187;2
594;Labelle;2022-10-03;G;Lac-Supérieur, m;1;;134;392;0;8;37;72;25;31;173;5
594;Labelle;2022-10-03;G;Lac-Supérieur, m;1;;135;393;1;3;26;66;23;36;155;2
594;Labelle;2022-10-03;G;Lac-Supérieur, m;1;;136;395;0;12;36;69;26;38;181;2
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;137;379;1;4;24;42;31;32;134;5
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;138;378;0;7;41;61;36;27;172;3
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;139;381;1;6;15;80;14;24;140;4
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;140;385;0;6;38;57;28;31;160;1
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;141;380;1;10;43;68;29;32;183;2
