Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire-Daly Pierre-Marc Q.S.;Chouinard Normand P.M.L.Q.;Dubé Christian C.A.Q.-E.F.L.;Guertin Julie P.L.Q./Q.L.P.;Joannette Barbara C.Q.;Joly-Simard Sarah P.Q.;Pelletier Marie P.C.Q-E.E.D.;B.V.;B.R.
232;La Prairie;2022-10-03;G;Candiac, v;4;;81;415;22;0;74;35;1;20;8;160;0
232;La Prairie;2022-10-03;G;Candiac, v;4;;82;414;18;0;96;37;2;14;9;176;2
232;La Prairie;2022-10-03;G;Candiac, v;4;;83;384;16;0;83;55;4;9;15;182;2
232;La Prairie;2022-10-03;G;Candiac, v;4;;84;403;10;1;68;38;5;20;35;177;4
232;La Prairie;2022-10-03;G;Candiac, v;4;;85;402;13;0;102;47;3;9;14;188;0
232;La Prairie;2022-10-03;G;Candiac, v;4;;86;388;22;3;81;37;5;25;12;185;0
232;La Prairie;2022-10-03;G;Candiac, v;4;;87;406;10;0;72;41;2;15;19;159;1
232;La Prairie;2022-10-03;G;Candiac, v;4;;88;387;10;1;103;31;0;18;10;173;1
232;La Prairie;2022-10-03;G;Candiac, v;4;;89;414;13;0;117;52;1;16;11;210;1
232;La Prairie;2022-10-03;G;Candiac, v;4;;90;399;30;0;82;48;3;10;21;194;2
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;91A;216;22;0;38;6;0;14;9;89;3
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;91B;266;10;0;52;5;0;10;9;86;1
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;92;385;27;1;70;26;2;15;14;155;9
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;93;388;15;0;79;23;1;9;18;145;2
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;94;375;20;0;62;28;1;30;30;171;2
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;95;393;21;0;60;17;1;22;18;139;3
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;96;386;18;0;95;20;0;25;19;177;2
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;97;393;26;0;73;16;0;17;30;162;1
232;La Prairie;2022-10-03;G;Saint-Philippe, v;1;;98;377;23;0;72;26;3;24;19;167;4
232;La Prairie;2022-10-03;G;Saint-Philippe, v;2;;99;354;18;0;70;10;0;20;9;127;2
232;La Prairie;2022-10-03;G;Saint-Philippe, v;2;;100;371;16;0;90;15;2;27;11;161;1
232;La Prairie;2022-10-03;G;Saint-Philippe, v;2;;101;369;23;2;64;22;4;17;15;147;2
232;La Prairie;2022-10-03;G;Saint-Philippe, v;2;;102;370;13;1;47;13;0;28;14;116;0
232;La Prairie;2022-10-03;G;Saint-Philippe, v;2;;103;364;20;0;62;7;4;41;21;155;2
232;La Prairie;2022-10-03;G;Saint-Philippe, v;2;;104;359;20;0;78;8;1;18;11;136;2
232;La Prairie;2022-10-03;G;Saint-Philippe, v;2;;105;365;20;0;84;9;1;11;8;133;1
232;La Prairie;2022-10-03;G;Delson, v;1;;106;395;30;0;65;15;0;22;20;152;1
232;La Prairie;2022-10-03;G;Delson, v;1;;107;388;18;0;74;18;2;27;19;158;1
232;La Prairie;2022-10-03;G;Delson, v;1;;108;379;23;0;61;8;5;21;17;135;4
232;La Prairie;2022-10-03;G;Delson, v;1;;109;374;20;0;91;20;1;23;12;167;5
232;La Prairie;2022-10-03;G;Delson, v;1;;110;386;16;0;73;14;1;23;18;145;4
232;La Prairie;2022-10-03;G;Delson, v;1;;111;389;23;1;82;16;1;10;16;149;4
232;La Prairie;2022-10-03;G;Delson, v;1;;112;395;11;1;78;12;2;13;5;122;2
232;La Prairie;2022-10-03;G;Delson, v;1;;113;384;35;0;60;24;1;18;20;158;3
