Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Alexandre D.D.;Barbier Alain C.Q.;Bérubé-Lauzière Yves P.Q.;Dompierre Raphaëlle P.N.;Karny Victoria P.V.Q./G.P.Q.;Labrie Christine Q.S.;St-Amand Zoée P.C.Q-E.E.D.;St-Hilaire Caroline C.A.Q.-E.F.L.;Vaes François P.L.Q./Q.L.P.;B.V.;B.R.
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;38;402;0;0;27;0;3;78;6;48;20;182;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;39;393;0;0;12;0;1;80;5;54;16;168;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;40;402;0;0;19;0;3;83;13;46;5;169;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;41;401;0;2;18;0;0;33;4;53;6;116;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;42;394;0;0;19;1;1;77;8;49;15;170;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;43;387;0;0;15;1;1;57;16;53;12;155;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;10;;44;411;0;0;14;0;1;52;10;50;15;142;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;45;378;0;0;17;0;0;84;15;50;18;184;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;46;366;0;0;15;0;2;82;7;53;7;166;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;47;365;0;0;20;0;0;99;10;39;18;186;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;48;376;0;0;31;1;0;84;6;54;20;196;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;49;364;1;0;18;1;0;86;17;31;11;165;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;50;382;0;0;23;1;1;82;10;43;9;169;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;51;374;0;0;25;1;0;81;10;44;7;168;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;52;382;3;1;11;1;1;80;19;24;11;151;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;11;;53;374;0;0;20;0;0;62;0;41;15;138;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;12;;54;389;0;0;16;1;1;85;6;60;5;174;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;12;;55;392;0;0;15;1;3;89;11;39;6;164;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;12;;56;384;0;0;10;0;0;126;3;33;9;181;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;12;;57;390;0;0;24;2;0;93;8;33;15;175;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;12;;58;381;0;0;12;1;3;105;9;36;6;172;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;12;;59;388;0;0;15;0;2;108;8;35;10;178;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;12;;60;397;0;1;11;0;0;111;8;27;6;164;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;12;;61;380;0;0;17;1;0;61;10;18;2;109;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;13;;62;337;0;0;11;1;1;95;7;19;14;148;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;13;;63;348;1;0;14;0;1;75;7;41;8;147;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;14;;64;405;0;0;13;2;0;134;6;16;7;178;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;14;;65;399;0;1;16;1;1;115;6;38;7;185;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;14;;66;379;0;1;21;0;1;71;12;64;8;178;5
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;14;;67;401;0;1;21;2;3;108;14;44;11;204;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;14;;68;390;0;0;25;1;2;86;15;32;18;179;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;14;;69;381;0;1;16;1;2;53;6;62;6;147;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;14;;70;389;0;0;14;0;0;59;11;54;8;146;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;15;;71;339;1;0;9;1;0;65;7;26;8;117;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;15;;72;363;0;0;12;1;0;69;12;48;15;157;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;15;;73;335;0;0;12;0;2;67;8;35;13;137;5
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;15;;74;339;0;0;17;1;0;64;10;51;10;153;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;75;366;0;0;12;1;2;47;5;42;14;123;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;76;364;0;1;14;3;1;54;13;74;10;170;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;77;361;0;0;21;1;1;55;14;55;11;158;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;78;372;0;0;9;0;0;59;11;40;9;128;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;79;398;0;0;13;0;3;71;14;28;14;143;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;80;370;1;1;11;0;3;72;17;26;12;143;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;81;371;0;0;14;0;4;65;11;43;7;144;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;82;374;0;0;12;1;2;63;11;44;7;140;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;16;;83;356;1;1;8;0;2;40;10;77;11;150;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;84;383;1;0;7;0;2;67;10;50;9;146;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;85;353;0;0;15;2;1;59;12;33;3;125;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;86;347;0;0;10;2;2;72;20;20;9;135;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;87;362;1;1;10;0;1;79;15;26;10;143;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;88;384;0;0;20;1;1;78;21;33;6;160;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;89;371;0;0;8;1;0;58;15;35;2;119;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;90;357;3;0;13;1;0;65;8;26;7;123;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;91;373;1;0;7;0;1;69;18;22;5;123;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;17;;92;373;0;1;14;0;2;78;12;36;6;149;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;18;;93;404;0;0;13;2;0;80;17;21;5;138;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;18;;94;431;0;2;11;0;3;100;6;20;8;150;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;18;;95;394;0;2;15;3;1;79;12;28;6;146;7
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;18;;96;414;0;0;6;1;4;70;16;32;7;136;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;19;;97;385;3;0;12;2;0;36;20;31;9;113;5
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;19;;98;377;0;0;13;0;0;56;16;38;7;130;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;19;;99;391;0;1;9;2;1;84;14;39;8;158;10
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;19;;100;380;0;0;25;2;2;81;19;33;4;166;6
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;19;;101;402;0;0;11;0;0;87;13;21;5;137;6
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;102;389;0;0;15;0;3;82;16;24;11;151;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;103;388;0;0;5;2;1;57;19;25;10;119;1
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;104;385;1;1;7;1;0;58;23;25;5;121;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;105;386;0;0;16;0;3;72;30;48;14;183;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;106;372;0;2;18;0;0;48;25;42;12;147;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;107;381;0;1;8;2;0;60;10;22;11;114;5
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;108;384;0;0;9;0;0;56;16;27;12;120;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;109;404;0;0;9;1;2;79;14;28;17;150;2
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;110;385;0;0;5;1;0;70;13;41;11;141;5
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;111;387;0;0;10;0;1;93;16;53;10;183;6
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;112;400;0;1;13;0;1;76;18;48;40;197;4
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;113;384;0;2;22;1;0;59;28;51;8;171;7
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;20;;114;383;0;1;12;1;0;57;32;55;11;169;3
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;115A;207;0;0;6;1;1;53;16;17;3;97;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;115B;236;0;1;3;0;0;36;11;23;2;76;0
116;Sherbrooke;2022-10-03;G;Sherbrooke, v;21;;116;384;1;0;14;0;1;84;19;45;10;174;3
