Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baaklini Marc C.A.Q.-E.F.L.;Ciccone Enrico P.L.Q./Q.L.P.;Côté Jérémy Q.S.;Jauffur Shameem P.V.Q./G.P.Q.;Nassr Sam P.C.Q-E.E.D.;Richard Stéphane P.Q.;Vincent Ardea Félix Ind;B.V.;B.R.
306;Marquette;2022-10-03;G;Dorval, v;6;;37;381;7;73;17;8;11;5;0;121;4
306;Marquette;2022-10-03;G;Dorval, v;6;;38;366;10;52;7;3;20;1;0;93;0
306;Marquette;2022-10-03;G;L'Île-Dorval, v;1;Regr. BVO-30;39;0;0;0;0;0;0;0;0;0;0
306;Marquette;2022-10-03;G;Montréal, v;41;;40;361;11;79;12;0;16;4;1;123;0
306;Marquette;2022-10-03;G;Montréal, v;41;;41;387;29;67;23;4;11;30;2;166;1
306;Marquette;2022-10-03;G;Montréal, v;41;;42;378;20;65;19;4;13;17;0;138;2
306;Marquette;2022-10-03;G;Montréal, v;41;;43;366;34;71;30;2;7;16;0;160;4
306;Marquette;2022-10-03;G;Montréal, v;41;;44;368;38;65;23;5;9;21;4;165;0
306;Marquette;2022-10-03;G;Montréal, v;41;;45;378;38;65;25;2;20;28;1;179;3
306;Marquette;2022-10-03;G;Montréal, v;41;;46;361;28;99;19;7;9;15;0;177;0
306;Marquette;2022-10-03;G;Montréal, v;41;;47;357;34;80;25;2;5;18;1;165;3
306;Marquette;2022-10-03;G;Montréal, v;42;;48;360;30;77;33;10;8;27;0;185;0
306;Marquette;2022-10-03;G;Montréal, v;42;;49;358;41;58;37;4;24;18;2;184;0
306;Marquette;2022-10-03;G;Montréal, v;42;;50;355;25;58;37;4;12;20;0;156;3
306;Marquette;2022-10-03;G;Montréal, v;42;;51;368;29;76;32;7;9;17;1;171;2
306;Marquette;2022-10-03;G;Montréal, v;42;;52;348;27;56;39;4;18;21;1;166;0
306;Marquette;2022-10-03;G;Montréal, v;42;;53;354;12;80;10;6;14;5;1;128;1
306;Marquette;2022-10-03;G;Montréal, v;43;;54;340;29;73;29;0;12;12;0;155;0
306;Marquette;2022-10-03;G;Montréal, v;43;;55;330;14;69;14;5;12;9;0;123;1
306;Marquette;2022-10-03;G;Montréal, v;43;;56;352;11;52;28;5;13;15;1;125;1
306;Marquette;2022-10-03;G;Montréal, v;43;;57;336;24;45;11;4;12;10;1;107;1
306;Marquette;2022-10-03;G;Montréal, v;43;;58;325;24;49;19;5;13;19;0;129;0
306;Marquette;2022-10-03;G;Montréal, v;44;;59;351;16;46;14;1;11;2;1;91;0
306;Marquette;2022-10-03;G;Montréal, v;44;;60;373;30;49;22;3;18;13;1;136;1
306;Marquette;2022-10-03;G;Montréal, v;44;;61;374;36;59;19;5;12;21;0;152;1
306;Marquette;2022-10-03;G;Montréal, v;44;;62;381;55;59;19;2;12;14;0;161;1
306;Marquette;2022-10-03;G;Montréal, v;44;;63;383;47;46;37;3;20;20;0;173;3
306;Marquette;2022-10-03;G;Montréal, v;44;;64;384;39;61;16;3;26;11;0;156;0
306;Marquette;2022-10-03;G;Montréal, v;44;;65;365;19;49;11;3;9;8;0;99;2
306;Marquette;2022-10-03;G;Montréal, v;45;;66;420;19;62;7;0;20;8;2;118;0
306;Marquette;2022-10-03;G;Montréal, v;45;;67;389;22;43;15;1;12;14;0;107;0
306;Marquette;2022-10-03;G;Montréal, v;45;;68;401;31;49;7;0;19;4;1;111;2
306;Marquette;2022-10-03;G;Montréal, v;45;;69;376;16;66;16;1;10;3;1;113;0
306;Marquette;2022-10-03;G;Montréal, v;45;;70;362;23;36;11;3;13;4;1;91;1
306;Marquette;2022-10-03;G;Montréal, v;46;;71;397;23;49;11;3;6;1;0;93;0
306;Marquette;2022-10-03;G;Montréal, v;46;;72;382;28;46;11;3;17;11;1;117;1
306;Marquette;2022-10-03;G;Montréal, v;46;;73;392;20;51;14;4;19;5;1;114;0
306;Marquette;2022-10-03;G;Montréal, v;46;;74;395;25;100;19;3;21;14;1;183;0
306;Marquette;2022-10-03;G;Montréal, v;46;;75;380;20;81;13;3;12;7;0;136;1
306;Marquette;2022-10-03;G;Montréal, v;46;;76;384;26;62;25;0;10;9;1;133;2
306;Marquette;2022-10-03;G;Montréal, v;46;;77;378;20;37;12;3;12;6;0;90;0
306;Marquette;2022-10-03;G;Montréal, v;46;;78;422;31;37;10;5;17;11;0;111;0
306;Marquette;2022-10-03;G;Montréal, v;46;;79;413;33;50;24;2;19;22;0;150;1
306;Marquette;2022-10-03;G;Montréal, v;46;;80;392;21;53;15;4;7;8;0;108;2
306;Marquette;2022-10-03;G;Montréal, v;47;;81;404;18;101;12;7;36;2;1;177;0
