Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernard Daniel C.A.Q.-E.F.L.;Corswarem Chantal P.V.Q./G.P.Q.;Daigle Robert P.C.Q-E.E.D.;Lessard-Therrien Émilise Q.S.;Vachon Jean-François P.Q.;Warolin Arnaud P.L.Q./Q.L.P.;B.V.;B.R.
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Laforce, m;1;Regr. BVDS-1;30;75;0;0;0;0;0;0;0;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Laforce, m;2;;31;97;19;2;2;11;10;4;48;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Moffet, m;1;;32;160;36;0;20;17;10;5;88;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Laverlochère-Angliers, m;1;;33;247;65;1;21;32;5;6;130;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Laverlochère-Angliers, m;2;;34;264;73;1;15;60;23;4;176;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Laverlochère-Angliers, m;2;;35;276;83;1;14;69;10;4;181;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Saint-Eugène-de-Guigues, m;1;;36;358;79;0;17;78;26;6;206;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Saint-Bruno-de-Guigues, m;1;;37;295;88;0;4;68;22;3;185;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Saint-Bruno-de-Guigues, m;1;;38;311;108;1;6;67;23;3;208;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Saint-Bruno-de-Guigues, m;1;;39;300;55;0;14;68;16;3;156;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Notre-Dame-du-Nord, m;1;;40;278;40;0;10;21;3;6;80;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Notre-Dame-du-Nord, m;1;;41;272;36;0;9;27;6;7;85;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Notre-Dame-du-Nord, m;1;;42;288;35;1;13;28;8;3;88;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Timiskaming, r;1;;43;416;9;6;13;12;1;13;54;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Nédélec, ct;1;;44;279;50;1;20;46;13;12;142;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Guérin, ct;1;;45;237;43;1;18;38;17;7;124;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rémigny, m;1;;46;259;62;0;21;37;14;13;147;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;1;;47;309;53;0;22;39;22;5;141;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;2;;48;365;89;0;26;57;26;2;200;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;2;;49;372;84;0;18;49;22;2;175;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;3;;50;283;61;3;13;49;28;2;156;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;4;;51;340;67;4;15;68;28;8;190;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;4;;52;337;99;2;20;50;18;4;193;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;5;;53;404;87;3;23;61;38;3;215;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;5;;54;394;79;0;25;70;39;8;221;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;5;;55;392;90;2;38;45;26;9;210;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;5;;56;389;102;0;13;47;21;5;188;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;6;;57;419;112;2;19;60;14;3;210;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;6;;58;413;78;0;23;71;22;4;198;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;6;;59;410;100;3;8;54;39;4;208;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;6;;60;396;106;1;8;77;25;6;223;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;6;;61;392;84;1;19;58;24;9;195;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;6;;62;405;107;3;16;79;33;7;245;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;7;;63;323;81;1;10;44;19;2;157;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;7;;64;317;92;3;24;41;34;2;196;5
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;7;;65;312;81;1;21;58;28;3;192;5
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;7;;66;314;82;0;25;55;22;3;187;5
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;8;;67;214;41;3;16;28;26;2;116;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;8;;68;226;71;0;6;32;9;7;125;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;9;;69;395;98;2;28;70;26;7;231;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;9;;70;397;105;1;18;57;23;0;204;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;9;;71;387;88;2;25;47;27;5;194;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;9;;72;394;95;0;17;48;25;6;191;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;9;;73;383;86;1;16;64;26;3;196;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;9;;74;388;109;1;19;62;31;2;224;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;9;;75;385;113;0;18;52;25;10;218;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;9;;76;379;90;3;15;52;28;4;192;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;10;;77;367;78;2;4;58;16;11;169;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;10;;78;368;77;0;9;64;17;7;174;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;11;;79;330;63;1;16;36;18;7;141;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;11;;80;333;58;2;7;63;26;6;162;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;11;;81;331;70;0;10;41;13;11;145;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;11;;82;336;56;1;13;53;15;4;142;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;11;;83;324;44;2;16;36;21;5;124;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;12;;84;306;36;0;10;35;20;8;109;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;12;;85;323;53;1;13;45;11;4;127;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;12;;86;322;39;0;13;54;16;2;124;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;13;;87;362;57;0;19;65;13;5;159;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;13;;88;359;42;0;19;48;12;1;122;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;13;;89;360;34;1;9;49;26;8;127;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;13;;90;351;49;0;11;53;15;1;129;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;13;;91;351;38;0;11;54;10;9;122;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;14;;92;376;52;0;11;47;32;4;146;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;14;;93;384;95;1;5;46;20;3;170;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;14;;94;393;71;0;7;44;21;3;146;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;14;;95;400;41;0;9;50;9;5;114;5
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;14;;96;376;36;0;12;48;18;4;118;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;14;;97;382;74;2;8;42;19;5;150;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;14;;98;380;66;1;9;55;18;2;151;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;15;;99;380;67;0;13;47;18;4;149;6
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;15;;100;368;66;1;4;58;21;11;161;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;15;;101;385;61;3;10;43;22;2;141;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;15;;102;382;87;1;6;60;16;7;177;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;15;;103;385;52;0;6;58;22;6;144;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;15;;104;367;60;1;4;49;31;4;149;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;15;;105;382;41;0;17;54;9;4;125;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;16;;106;365;49;0;9;54;18;4;134;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;16;;107;385;91;0;3;26;18;5;143;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;16;;108;370;106;2;9;37;25;3;182;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;16;;109;375;77;0;15;68;21;4;185;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;16;;110;366;46;0;10;80;15;8;159;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;16;;111;375;45;1;23;49;13;1;132;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;16;;112;359;46;1;7;61;12;5;132;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;16;;113;366;40;0;8;35;14;8;105;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;17;;114;389;87;1;7;44;26;6;171;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;17;;115;386;73;2;8;69;14;16;182;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;17;;116;386;62;1;2;62;27;10;164;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;17;;117;391;67;4;9;65;22;11;178;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;17;;118;376;40;0;10;79;30;6;165;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;17;;119;384;75;1;6;70;22;0;174;2
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;18;;120;350;49;1;5;55;16;6;132;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;18;;121;347;47;1;16;61;22;2;149;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;18;;122;348;65;1;19;61;14;6;166;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;18;;123;365;74;1;10;74;18;6;183;1
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;18;;124;370;65;0;15;73;21;1;175;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;18;;125;359;82;0;8;54;21;4;169;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;18;;126;347;54;2;14;48;14;9;141;0
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;18;;127;368;75;0;16;45;20;2;158;9
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;19;;128;366;90;0;22;73;32;12;229;3
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;19;;129;384;89;0;18;72;31;5;215;4
636;Rouyn-Noranda-Témiscamingue;2022-10-03;G;Rouyn-Noranda, v;20;;130;308;69;3;22;55;23;3;175;0
