Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Dany P.C.Q-E.E.D.;Charron Claude P.L.Q./Q.L.P.;Dion Olivier C.Q.;Généreux Mélissa Q.S.;Hébert Geneviève C.A.Q.-E.F.L.;McInerney Colleen P.C.Q./C.P.Q;Tanguay Sylvie P.Q.;B.V.;B.R.
110;Saint-François;2022-10-03;G;Sherbrooke, v;27;;44;412;17;40;0;29;14;8;5;113;19
110;Saint-François;2022-10-03;G;Sherbrooke, v;28;;45;351;20;19;2;32;8;0;11;92;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;28;;46;344;24;40;1;50;16;7;8;146;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;28;;47;360;20;58;0;49;12;5;3;147;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;28;;48;352;17;49;1;28;13;5;1;114;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;28;;49;355;13;51;1;43;18;4;4;134;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;28;;50;358;12;35;0;52;56;11;12;178;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;28;;51;349;14;32;2;57;33;0;11;149;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;29;;52;357;21;13;0;55;57;1;15;162;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;29;;53;362;34;6;2;61;31;0;14;148;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;29;;54;354;11;8;0;57;43;0;13;132;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;29;;55;355;18;4;0;52;56;0;26;156;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;29;;56;347;14;8;1;61;47;1;14;146;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;29;;57;350;9;8;3;64;58;1;18;161;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;30;;58;356;11;9;2;42;47;0;13;124;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;30;;59;366;12;8;0;54;29;1;14;118;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;30;;60;354;15;1;3;49;20;1;10;99;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;30;;61;367;7;5;0;70;43;0;10;135;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;30;;62;364;13;6;1;40;32;1;10;103;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;30;;63;357;21;9;0;54;25;0;17;126;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;30;;64;375;10;8;2;41;37;0;14;112;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;30;;65;366;6;10;3;52;53;0;17;141;0
110;Saint-François;2022-10-03;G;Sherbrooke, v;31;;66;389;21;10;0;54;47;0;17;149;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;31;;67;374;13;7;1;43;52;1;1;118;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;31;;68;381;9;7;1;55;60;0;17;149;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;31;;69;390;26;9;0;42;55;0;18;150;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;31;;70;392;20;7;2;37;47;0;7;120;1
110;Saint-François;2022-10-03;G;Sherbrooke, v;31;;71;379;18;5;0;40;46;0;11;120;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;31;;72;385;20;4;0;38;35;0;13;110;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;32;;73;383;14;7;0;51;30;0;18;120;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;32;;74;367;16;4;1;39;38;0;6;104;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;32;;75;396;18;13;1;55;51;1;13;152;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;32;;76;386;17;7;1;42;56;0;12;135;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;32;;77;404;18;9;1;47;38;3;11;127;7
110;Saint-François;2022-10-03;G;Sherbrooke, v;32;;78;373;24;9;0;38;60;0;25;156;2
110;Saint-François;2022-10-03;G;Sherbrooke, v;33;;79;383;21;5;1;78;44;0;11;160;13
110;Saint-François;2022-10-03;G;Sherbrooke, v;33;;80;382;15;13;1;66;29;0;18;142;3
110;Saint-François;2022-10-03;G;Sherbrooke, v;33;;81;380;11;7;1;52;42;0;8;121;8
110;Saint-François;2022-10-03;G;Sherbrooke, v;33;;82;388;17;10;0;61;48;1;11;148;6
110;Saint-François;2022-10-03;G;Sherbrooke, v;33;;83;388;15;9;2;43;47;0;22;138;4
110;Saint-François;2022-10-03;G;Sherbrooke, v;34;;84;407;16;10;0;53;43;1;8;131;5
