Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouazzi Haroun Q.S.;Bouchardy Patrick C.Q.;Chéry Théodat Kassandre Ind;Di Stefano Andrea B.M.-E.B.H.;Fournelle Gilles P.V.Q./G.P.Q.;Jorg Chantal P.Q.;Marleau Jonathan P.L.Q./Q.L.P.;Murray Audrey C.A.Q.-E.F.L.;Sexton Louise P.C.Q-E.E.D.;B.V.;B.R.
340;Maurice-Richard;2022-10-03;G;Montréal, v;244;;16;335;75;0;0;1;2;17;21;16;6;138;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;244;;17;332;56;0;0;0;3;16;37;51;4;167;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;245;;18;336;65;0;0;0;3;20;25;35;12;160;6
340;Maurice-Richard;2022-10-03;G;Montréal, v;245;;19;346;80;0;0;0;1;21;15;18;5;140;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;245;;20;341;76;3;0;0;1;16;23;22;6;147;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;245;;21;341;62;0;0;2;1;23;18;29;7;142;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;245;;22;337;40;0;0;2;2;18;26;20;4;112;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;246;;23;311;56;0;0;1;2;30;24;51;5;169;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;246;;24;304;45;0;0;0;1;20;16;41;3;126;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;25;397;72;0;0;1;4;25;23;21;12;158;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;26;406;59;0;0;0;1;25;22;23;6;136;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;27;402;60;1;0;0;2;28;31;46;7;175;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;28;402;31;0;0;2;2;34;28;44;12;153;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;29;408;64;1;2;1;2;15;28;30;11;154;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;30;379;59;0;0;1;5;16;30;15;10;136;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;31;405;41;0;0;0;3;23;43;44;11;165;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;32;416;52;0;0;0;1;22;40;39;6;160;5
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;33;398;14;1;0;2;0;12;44;57;3;133;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;247;;34;398;31;0;0;0;0;16;21;40;6;114;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;248;;35;347;65;0;0;0;1;32;27;41;8;174;7
340;Maurice-Richard;2022-10-03;G;Montréal, v;248;;36;348;70;0;0;0;5;27;28;51;8;189;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;248;;37;360;63;0;3;1;6;28;28;65;7;201;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;248;;38;350;55;0;0;2;1;29;22;80;6;195;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;248;;39;357;70;0;0;0;2;34;19;68;12;205;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;248;;40;354;67;0;0;0;2;32;26;55;2;184;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;249;;41;392;54;1;0;2;0;26;24;28;8;143;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;249;;42;387;34;0;0;0;3;10;41;23;11;122;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;249;;43;388;47;0;0;0;0;8;39;22;8;124;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;249;;44;396;75;0;0;0;2;17;34;29;5;162;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;249;;45;392;79;1;0;0;2;20;31;23;6;162;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;249;;46;398;74;1;0;1;1;10;21;36;4;148;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;249;;47;381;74;1;0;0;1;15;39;20;4;154;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;250;;48;377;81;1;0;0;5;33;16;36;9;181;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;250;;49;371;77;0;1;0;2;20;27;39;7;173;7
340;Maurice-Richard;2022-10-03;G;Montréal, v;250;;50;381;115;0;0;0;4;33;18;32;11;213;0
340;Maurice-Richard;2022-10-03;G;Montréal, v;250;;51;372;65;0;1;1;0;26;19;34;7;153;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;250;;52;375;71;1;1;1;6;24;23;34;5;166;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;250;;53;384;60;2;1;1;5;21;36;38;11;175;4
340;Maurice-Richard;2022-10-03;G;Montréal, v;251;;54;370;100;1;1;0;1;21;28;27;1;180;3
340;Maurice-Richard;2022-10-03;G;Montréal, v;251;;55;383;70;0;0;0;2;28;17;31;6;154;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;251;;56;371;84;0;2;0;3;36;8;42;7;182;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;251;;57;373;71;0;0;0;3;25;10;43;10;162;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;251;;58;367;80;0;0;0;2;19;24;42;4;171;1
340;Maurice-Richard;2022-10-03;G;Montréal, v;251;;59;375;79;0;1;0;3;27;8;45;6;169;2
340;Maurice-Richard;2022-10-03;G;Montréal, v;251;;60;375;75;1;0;0;0;24;15;35;8;158;1
