Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bachand André C.A.Q.-E.F.L.;Bélair Marylaine P.C.Q-E.E.D.;Caron Jacinthe P.Q.;de Martin Raymond Ind;Louis-Jean Mona P.L.Q./Q.L.P.;Magnan Richard D.D.;Pagé Philippe Q.S.;B.V.;B.R.
132;Richmond;2022-10-03;G;Val-des-Sources, v;2;;37A;225;38;16;10;0;3;0;8;75;2
132;Richmond;2022-10-03;G;Val-des-Sources, v;2;;37B;217;33;14;13;0;3;0;11;74;1
132;Richmond;2022-10-03;G;Val-des-Sources, v;2;;38;391;68;38;16;0;3;1;8;134;0
132;Richmond;2022-10-03;G;Val-des-Sources, v;2;;39;401;56;51;17;0;1;0;26;151;2
132;Richmond;2022-10-03;G;Val-des-Sources, v;2;;40;380;39;26;15;0;3;0;23;106;4
132;Richmond;2022-10-03;G;Val-des-Sources, v;2;;41;402;55;36;14;0;2;2;20;129;1
132;Richmond;2022-10-03;G;Val-des-Sources, v;2;;42;382;70;28;18;0;1;2;27;146;6
132;Richmond;2022-10-03;G;Wotton, m;1;;43;372;67;44;32;1;6;0;23;173;3
132;Richmond;2022-10-03;G;Wotton, m;1;;44;351;79;21;15;1;5;0;25;146;4
132;Richmond;2022-10-03;G;Wotton, m;1;;45;392;64;46;25;1;6;0;29;171;5
132;Richmond;2022-10-03;G;Saint-Camille, ct;1;;46;401;55;31;26;0;7;1;136;256;2
132;Richmond;2022-10-03;G;Saint-Adrien, m;1;;47;418;92;72;29;0;8;1;76;278;6
132;Richmond;2022-10-03;G;Ham-Sud, m;1;;48;219;47;19;14;0;11;1;36;128;3
132;Richmond;2022-10-03;G;Valcourt, ct;1;;49;272;67;26;21;0;8;1;19;142;1
132;Richmond;2022-10-03;G;Valcourt, ct;1;;50;282;47;26;22;0;7;0;14;116;0
132;Richmond;2022-10-03;G;Valcourt, ct;1;;51;286;37;27;17;0;9;0;19;109;1
132;Richmond;2022-10-03;G;Valcourt, v;1;;52;330;84;20;21;2;11;0;11;149;1
132;Richmond;2022-10-03;G;Valcourt, v;1;;53;345;60;22;15;0;9;0;11;117;2
132;Richmond;2022-10-03;G;Valcourt, v;1;;54;336;49;24;16;1;9;0;21;120;5
132;Richmond;2022-10-03;G;Valcourt, v;1;;55;349;58;22;11;0;5;0;22;118;3
132;Richmond;2022-10-03;G;Valcourt, v;1;;56;326;66;21;28;0;5;1;19;140;4
132;Richmond;2022-10-03;G;Maricourt, m;1;;57;366;87;31;31;1;7;2;24;183;3
132;Richmond;2022-10-03;G;Racine, m;1;;58;371;105;29;33;0;4;0;49;220;0
132;Richmond;2022-10-03;G;Racine, m;1;;59;363;86;29;31;1;14;3;38;202;5
132;Richmond;2022-10-03;G;Racine, m;1;;60;398;73;18;17;1;16;0;38;163;2
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;1;;61;421;108;47;41;0;8;1;44;249;4
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;1;;62;425;101;44;40;1;14;0;40;240;1
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;1;;63;405;122;23;41;0;10;0;45;241;2
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;2;;64;387;95;44;28;0;6;1;43;217;3
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;2;;65;420;104;40;34;0;16;1;48;243;4
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;2;;66;347;96;17;39;0;5;0;37;194;2
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;2;;67;360;100;25;28;0;7;0;22;182;1
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;2;;68;403;96;24;39;0;13;1;32;205;1
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;2;;69A;231;50;11;20;0;0;0;32;113;3
132;Richmond;2022-10-03;G;Saint-Denis-de-Brompton, m;2;;69B;199;39;14;15;0;5;0;19;92;0
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;70;404;97;29;33;0;11;1;59;230;3
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;71;404;72;24;25;0;10;1;45;177;0
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;72;365;49;31;17;0;7;0;39;143;1
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;73;380;80;21;25;0;15;1;32;174;1
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;74;393;89;14;22;1;5;0;53;184;2
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;75;402;94;29;25;1;3;0;57;209;2
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;76;400;89;21;27;0;14;1;47;199;1
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;77;387;78;23;27;0;10;2;37;177;4
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;78;376;60;18;26;0;12;1;26;143;1
132;Richmond;2022-10-03;G;Sherbrooke, v;1;;79;389;71;23;27;2;7;1;40;171;3
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;80A;265;54;3;9;0;12;0;31;109;3
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;80B;273;57;11;10;0;6;0;30;114;2
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;81;383;66;31;15;0;11;0;48;171;0
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;82;377;76;13;20;0;14;0;29;152;1
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;83;389;64;28;38;0;13;0;38;181;5
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;84;370;56;36;16;1;15;3;34;161;3
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;85;414;73;31;25;2;8;0;43;182;5
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;86;392;59;22;22;0;15;0;51;169;6
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;87;386;62;26;40;0;7;1;41;177;1
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;88;391;76;28;17;0;8;1;31;161;2
132;Richmond;2022-10-03;G;Sherbrooke, v;2;;89;376;67;33;26;1;7;0;44;178;0
132;Richmond;2022-10-03;G;Sherbrooke, v;3;;90;395;71;17;41;0;6;1;42;178;4
132;Richmond;2022-10-03;G;Sherbrooke, v;3;;91;369;68;38;16;1;9;0;32;164;0
132;Richmond;2022-10-03;G;Sherbrooke, v;3;;92A;202;42;8;11;0;5;1;23;90;0
132;Richmond;2022-10-03;G;Sherbrooke, v;3;;92B;228;45;20;18;0;7;0;15;105;1
132;Richmond;2022-10-03;G;Sherbrooke, v;3;;93;400;73;19;18;0;13;2;27;152;0
132;Richmond;2022-10-03;G;Sherbrooke, v;3;;94;409;82;38;30;0;11;0;43;204;3
132;Richmond;2022-10-03;G;Sherbrooke, v;3;;95;379;43;47;15;1;5;1;55;167;4
132;Richmond;2022-10-03;G;Sherbrooke, v;3;;96;369;63;13;24;0;11;1;19;131;3
132;Richmond;2022-10-03;G;Sherbrooke, v;4;;97;367;82;6;21;0;8;0;34;151;1
132;Richmond;2022-10-03;G;Sherbrooke, v;4;;98;385;54;11;18;0;4;0;40;127;0
132;Richmond;2022-10-03;G;Sherbrooke, v;4;;99;372;69;17;31;0;9;0;38;164;1
132;Richmond;2022-10-03;G;Sherbrooke, v;4;;100;384;68;22;15;1;10;0;42;158;2
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;101;396;82;18;26;0;15;0;34;175;1
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;102;361;59;20;20;1;9;0;35;144;5
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;103A;209;31;16;4;0;3;0;19;73;2
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;103B;229;38;11;16;0;5;0;35;105;1
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;104;371;77;19;25;0;6;0;24;151;4
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;105;371;70;26;15;0;10;1;42;164;0
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;106A;235;38;20;8;2;12;0;25;105;2
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;106B;281;42;12;20;0;8;0;44;126;2
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;107;385;80;16;26;0;10;1;59;192;2
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;108;355;75;16;33;1;11;0;61;197;4
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;109A;207;47;7;14;2;6;1;31;108;0
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;109B;223;38;7;13;0;11;0;31;100;4
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;110;358;59;18;32;0;9;1;53;172;0
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;111;369;90;22;25;0;12;0;42;191;1
132;Richmond;2022-10-03;G;Sherbrooke, v;5;;112;379;57;18;21;0;11;0;44;151;2
132;Richmond;2022-10-03;G;Sherbrooke, v;6;;113;344;81;24;11;0;6;0;36;158;3
132;Richmond;2022-10-03;G;Sherbrooke, v;6;;114;325;57;16;17;1;3;1;30;125;1
132;Richmond;2022-10-03;G;Sherbrooke, v;6;;115A;232;33;15;14;0;4;0;30;96;3
132;Richmond;2022-10-03;G;Sherbrooke, v;6;;115B;216;46;18;5;1;4;0;25;99;2
132;Richmond;2022-10-03;G;Sherbrooke, v;6;;116;337;49;41;11;0;11;1;40;153;0
132;Richmond;2022-10-03;G;Sherbrooke, v;6;;117;337;65;21;20;0;10;0;48;164;2
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;118A;251;52;23;9;1;10;0;25;120;1
132;Richmond;2022-10-03;G;Sherbrooke, v;42;;118B;215;27;16;7;0;6;1;21;78;1
