Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Josée Q.S.;Lavigne Nathalie P.Q.;Lo Cicero Rita P.V.Q./G.P.Q.;Monteiro Anabela P.L.Q./Q.L.P.;Piscitelli Stefano P.C.Q-E.E.D.;Schmaltz Valérie C.A.Q.-E.F.L.;B.V.;B.R.
476;Vimont;2022-10-03;G;Laval, v;67;;32;391;16;12;4;81;50;34;197;5
476;Vimont;2022-10-03;G;Laval, v;67;;33;405;17;17;2;33;24;45;138;3
476;Vimont;2022-10-03;G;Laval, v;68;;34;361;17;6;1;70;48;27;169;1
476;Vimont;2022-10-03;G;Laval, v;68;;35;357;8;4;5;91;44;27;179;1
476;Vimont;2022-10-03;G;Laval, v;68;;36;361;13;11;3;78;41;26;172;1
476;Vimont;2022-10-03;G;Laval, v;68;;37;358;18;28;1;50;25;48;170;1
476;Vimont;2022-10-03;G;Laval, v;68;;38;349;27;24;3;66;20;39;179;1
476;Vimont;2022-10-03;G;Laval, v;68;;39;355;11;18;0;65;14;51;159;1
476;Vimont;2022-10-03;G;Laval, v;69;;40;344;17;5;1;44;23;42;132;1
476;Vimont;2022-10-03;G;Laval, v;69;;41;362;17;6;1;71;37;25;157;4
476;Vimont;2022-10-03;G;Laval, v;69;;42;369;14;15;4;40;24;48;145;1
476;Vimont;2022-10-03;G;Laval, v;69;;43;356;16;11;1;57;21;30;136;1
476;Vimont;2022-10-03;G;Laval, v;69;;44;358;17;15;1;53;27;34;147;3
476;Vimont;2022-10-03;G;Laval, v;69;;45;359;30;23;2;67;21;36;179;2
476;Vimont;2022-10-03;G;Laval, v;69;;46;361;26;6;1;67;19;30;149;0
476;Vimont;2022-10-03;G;Laval, v;69;;47;361;23;31;2;56;18;53;183;1
476;Vimont;2022-10-03;G;Laval, v;69;;48;354;29;16;3;75;20;53;196;1
476;Vimont;2022-10-03;G;Laval, v;69;;49;354;18;22;2;33;23;54;152;3
476;Vimont;2022-10-03;G;Laval, v;70;;50;392;23;31;1;51;16;45;167;2
476;Vimont;2022-10-03;G;Laval, v;70;;51;389;13;10;1;76;63;29;192;1
476;Vimont;2022-10-03;G;Laval, v;70;;52;381;12;4;2;88;48;36;190;0
