Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Deschamps Fernand P.M.L.Q.;Desmarais Alexandre C.Q.;Kilbride Scott P.C.Q./C.P.Q;Koty Lucien P.C.Q-E.E.D.;Melançon Isabelle P.L.Q./Q.L.P.;Milette Marc-André P.N.;Pellerin Jannie P.V.Q./G.P.Q.;Rioux Alain A.F.C.;Tremblay Véronique C.A.Q.-E.F.L.;Valdivia Claudia P.Q.;Zaga Mendez Alejandra Q.S.;B.V.;B.R.
300;Verdun;2022-10-03;G;BVA8: SV no 31, 43, 45, 48 à 49, 69;;;;0;0;1;1;20;57;1;9;0;67;29;287;472;1
300;Verdun;2022-10-03;G;BVA9: SV no 30, 44, 70 à 71, 88 à 89;;;;0;0;1;3;10;155;1;11;0;157;65;162;565;3
300;Verdun;2022-10-03;G;BVA10: SV no 39, 52 à 53, 55 à 56, 58;;;;0;1;3;3;19;105;0;7;0;163;47;218;566;7
300;Verdun;2022-10-03;G;BVA11: SV no 50 à 51, 54, 57, 67, 82;;;;0;2;1;3;13;88;0;1;0;93;26;233;460;4
300;Verdun;2022-10-03;G;BVA12: SV no 65 à 66, 73, 77, 85;;;;0;0;0;4;14;80;0;5;0;89;36;167;395;5
300;Verdun;2022-10-03;G;BVA13: SV no 59 à 60, 62, 64, 80 à 81;;;;0;0;1;2;25;77;2;7;0;98;26;244;482;3
300;Verdun;2022-10-03;G;BVA14: SV no 61, 63, 75, 83 à 84, 87;;;;0;0;1;1;20;86;1;10;0;114;28;163;424;7
300;Verdun;2022-10-03;G;BVA15: SV no 38, 74, 76, 78 à 79, 86;;;;0;0;0;1;8;95;0;6;0;78;39;193;420;3
300;Verdun;2022-10-03;G;BVA16: SV no 90 à 91, 94, 97, 102, 106 à 107;;;;0;1;0;0;36;208;1;4;0;214;53;73;590;4
300;Verdun;2022-10-03;G;BVA17: SV no 95, 98 à 99, 101, 103 à 105;;;;0;0;0;3;30;212;0;3;0;199;79;47;573;2
300;Verdun;2022-10-03;G;BVA18: SV no 92 à 93, 96, 100, 108 à 109, 116;;;;0;0;0;4;25;278;0;5;0;219;68;50;649;5
300;Verdun;2022-10-03;G;BVA19: SV no 110, 112, 121, 125, 127 à 128;;;;0;1;1;3;29;215;0;3;0;242;46;61;601;1
300;Verdun;2022-10-03;G;BVA20: SV no 113, 118, 120, 123 à 124, 126;;;;0;0;0;5;14;274;0;0;0;240;61;53;647;3
300;Verdun;2022-10-03;G;BVA21: SV no 111, 114 à 115, 117, 119, 122;;;;0;0;1;0;27;217;1;0;0;228;45;62;581;4
300;Verdun;2022-10-03;G;Vote en installation d'hébergement;;;;0;0;2;1;5;202;0;5;6;245;52;32;550;13
300;Verdun;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;0;0;0;3;12;0;1;2;28;9;6;61;1
300;Verdun;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;0;0;8;62;213;1;15;0;171;71;307;848;10
300;Verdun;2022-10-03;G;Vote hors circonscription;;;;0;0;0;2;17;101;0;16;0;73;32;294;535;12
300;Verdun;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;68;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;7;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Verdun;2022-10-03;G;Total de la circonscription;;;;48658;30;61;301;1664;9101;65;542;26;7150;2591;9562;31093;303
300;Verdun;2022-10-03;G;Majorité en faveur de Alejandra Zaga Mendez : 461;;;;;;;;;;;;;;;;;
