Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Delorme Vincent P.Q.;Garneau-Bédard Jean-Benoit P.N.;Ikhouane Rita P.L.Q./Q.L.P.;Nadeau-Dubois Gabriel Q.S.;Paquette Gendron Jayson P.C.Q-E.E.D.;Pelletier Catherine C.A.Q.-E.F.L.;Thémis Chef P.Cu.Q.;Vedrines Valérie P.V.Q./G.P.Q.;B.V.;B.R.
346;Gouin;2022-10-03;G;Montréal, v;200;;87;354;33;0;11;96;4;20;2;4;170;1
346;Gouin;2022-10-03;G;Montréal, v;200;;88;381;33;2;11;98;5;18;0;7;174;0
346;Gouin;2022-10-03;G;Montréal, v;200;;89;357;44;2;12;117;2;24;0;3;204;1
346;Gouin;2022-10-03;G;Montréal, v;200;;90;360;39;0;9;105;5;31;1;2;192;0
346;Gouin;2022-10-03;G;Montréal, v;200;;91;371;43;0;12;89;3;23;0;2;172;2
346;Gouin;2022-10-03;G;Montréal, v;200;;92;358;31;0;8;95;4;23;0;0;161;0
346;Gouin;2022-10-03;G;Montréal, v;200;;93;356;25;0;6;103;5;15;0;3;157;1
346;Gouin;2022-10-03;G;Montréal, v;200;;94;364;30;1;11;108;7;23;1;3;184;2
346;Gouin;2022-10-03;G;Montréal, v;200;;95;339;15;0;12;102;4;22;0;3;158;0
346;Gouin;2022-10-03;G;Montréal, v;201;;96;406;35;1;11;106;4;16;1;5;179;0
346;Gouin;2022-10-03;G;Montréal, v;201;;97;348;23;2;15;96;4;16;2;6;164;0
346;Gouin;2022-10-03;G;Montréal, v;201;;98;366;25;0;6;91;7;34;0;7;170;1
346;Gouin;2022-10-03;G;Montréal, v;201;;99;374;27;1;9;107;9;20;2;3;178;1
