Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Adda Yastene P.Q.;Boivin Roy Karine C.A.Q.-E.F.L.;Deneault Genevieve P.C.Q-E.E.D.;Gagnon Chantal P.L.Q./Q.L.P.;Gélinas Claude C.Q.;LeRougetel Katy Ind;Pageau Laurence Q.S.;B.V.;B.R.
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;363;;21;354;35;51;13;30;1;0;46;176;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;363;;22;368;15;43;18;36;3;0;38;153;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;363;;23;375;29;64;12;39;2;1;46;193;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;363;;24;353;30;61;9;30;2;1;42;175;5
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;363;;25;363;28;46;9;43;1;0;23;150;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;364;;26;393;35;56;13;34;3;0;42;183;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;364;;27;394;28;36;21;45;3;0;45;178;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;364;;28;411;20;50;19;53;2;0;42;186;7
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;364;;29;396;20;54;10;40;1;1;43;169;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;364;;30;401;30;72;8;30;3;0;33;176;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;364;;31;408;28;55;14;43;0;1;34;175;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;364;;32;399;34;51;6;33;1;0;40;165;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;364;;33;392;22;38;3;24;2;1;39;129;3
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;365;;34;400;18;36;7;28;0;1;16;106;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;365;;35;408;10;37;11;64;0;0;28;150;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;365;;36;398;20;56;16;68;4;0;38;202;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;365;;37;386;20;69;6;74;1;0;30;200;2
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;365;;38;406;29;75;21;66;1;0;46;238;5
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;365;;39;409;13;27;15;85;2;1;41;184;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;365;;40;405;15;55;21;72;2;1;43;209;6
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;41;370;16;51;13;64;3;0;21;168;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;42;364;13;60;15;34;0;0;21;143;1
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;43;389;19;72;12;19;1;3;17;143;0
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;44;364;20;64;13;40;0;1;13;151;8
366;Anjou-Louis-Riel;2022-10-03;G;Montréal, v;366;;45;380;17;59;12;38;1;0;6;133;2
