Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Biron Martine C.A.Q.-E.F.L.;Brault François-Noël P.Q.;Fortier Mario P.C.Q-E.E.D.;Oueslati Wafa P.L.Q./Q.L.P.;Thibault Caroline Q.S.;B.V.;B.R.
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;23;386;90;15;59;5;24;193;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;24;394;80;24;60;7;26;197;8
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;25;380;85;23;50;12;16;186;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;26;369;82;16;50;12;10;170;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;3;;27;368;59;24;57;9;9;158;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;4;;28;336;35;19;43;8;12;117;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;4;;29;359;54;8;55;9;11;137;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;4;;30;332;65;14;59;2;17;157;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;4;;31;349;84;12;55;7;11;169;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;4;;32;340;62;12;44;5;8;131;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;33;397;60;15;59;8;20;162;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;34;390;84;23;57;8;11;183;7
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;35A;203;56;7;25;6;14;108;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;35B;256;58;7;33;8;18;124;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;36;397;85;26;59;6;21;197;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;37A;209;27;17;39;4;4;91;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;37B;215;29;6;45;6;9;95;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;38;405;64;19;57;18;14;172;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;39;397;62;12;46;9;22;151;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;5;;40;393;65;26;51;6;14;162;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;41;411;82;18;40;16;17;173;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;42;410;81;22;34;15;23;175;6
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;43;408;91;26;42;10;19;188;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;44;406;90;34;44;12;19;199;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;45;388;55;20;46;10;16;147;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;46;399;79;20;33;13;20;165;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;47;412;83;29;48;12;13;185;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;48;399;52;24;50;4;24;154;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;49;399;76;18;43;13;27;177;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;50;415;80;19;49;6;25;179;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;6;;51;405;80;28;33;6;17;164;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;7;;52;316;54;17;37;6;21;135;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;7;;53;353;60;11;42;9;24;146;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;7;;54;355;50;27;41;9;13;140;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;7;;55;346;63;20;43;14;19;159;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;7;;56;363;78;16;44;4;19;161;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;7;;57;362;56;33;38;15;29;171;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;8;;58;392;67;19;33;7;19;145;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;8;;59;382;69;31;30;12;10;152;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;8;;60;386;67;13;27;11;18;136;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;8;;61;375;59;22;30;16;19;146;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;8;;62;384;72;17;40;13;20;162;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;8;;63;376;70;19;35;8;18;150;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;8;;64;381;57;27;34;16;20;154;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;8;;65;371;78;19;41;8;8;154;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;66A;220;51;8;24;13;12;108;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;66B;236;36;15;25;7;15;98;1
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;67;398;112;31;38;13;20;214;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;68;399;100;40;51;7;20;218;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;69;402;95;20;51;10;27;203;5
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;70;418;97;39;27;18;22;203;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;71;393;67;27;44;11;24;173;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;72;380;71;25;38;10;8;152;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;73;396;71;24;53;9;32;189;7
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;74;397;115;25;42;19;23;224;3
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;75;401;114;25;46;13;16;214;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;76;386;88;15;39;3;15;160;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;9;;77;416;75;31;36;8;10;160;0
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;78;395;68;23;57;27;36;211;2
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;79;415;88;26;42;14;21;191;4
814;Chutes-de-la-Chaudière;2022-10-03;G;Lévis, v;10;;80;413;101;22;50;14;21;208;3
