Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Champagne Jourdain Kateri C.A.Q.-E.F.L.;Gélineau Jacques C.Q.;Khuon Chamroeun P.L.Q./Q.L.P.;Mestokosho Uapukun Q.S.;Stea Roberto P.C.Q-E.E.D.;Vanier Marilou P.Q.;B.V.;B.R.
902;Duplessis;2022-10-03;G;Nutashkuan, r;1;Regr. BVDS-1;19;296;0;0;0;0;0;0;0;0
902;Duplessis;2022-10-03;G;Natashquan, m;1;Regr. BVDS-1;20;203;0;0;0;0;0;0;0;0
902;Duplessis;2022-10-03;G;Aguanish, m;1;;21;211;53;2;2;10;9;40;116;3
902;Duplessis;2022-10-03;G;Baie-Johan-Beetz, m;1;;22;73;25;1;1;4;0;14;45;0
902;Duplessis;2022-10-03;G;Havre-Saint-Pierre, m;1;;23;394;56;1;2;11;16;57;143;4
902;Duplessis;2022-10-03;G;Havre-Saint-Pierre, m;1;;24;382;55;0;1;11;14;47;128;3
902;Duplessis;2022-10-03;G;Havre-Saint-Pierre, m;1;;25;397;52;2;4;13;11;60;142;2
902;Duplessis;2022-10-03;G;Havre-Saint-Pierre, m;1;;26;390;76;1;2;24;15;56;174;1
902;Duplessis;2022-10-03;G;Havre-Saint-Pierre, m;1;;27;410;83;0;2;11;16;84;196;2
902;Duplessis;2022-10-03;G;Havre-Saint-Pierre, m;1;;28;389;53;1;2;13;11;67;147;2
902;Duplessis;2022-10-03;G;Havre-Saint-Pierre, m;1;;29;399;57;1;2;10;11;81;162;2
902;Duplessis;2022-10-03;G;Mingan, r;1;;30;248;0;0;0;45;0;1;46;0
902;Duplessis;2022-10-03;G;Longue-Pointe-de-Mingan, m;1;;31;339;78;3;4;20;12;35;152;2
902;Duplessis;2022-10-03;G;Rivière-Saint-Jean, m;1;;32;206;41;2;1;5;17;16;82;3
902;Duplessis;2022-10-03;G;Rivière-au-Tonnerre, m;1;;33;235;51;0;3;5;9;13;81;1
902;Duplessis;2022-10-03;G;Maliotenam, r;1;;34;333;12;1;0;49;1;1;64;0
902;Duplessis;2022-10-03;G;Maliotenam, r;1;;35;327;2;0;1;34;6;1;44;0
902;Duplessis;2022-10-03;G;Maliotenam, r;1;;36;333;12;1;1;42;2;1;59;0
902;Duplessis;2022-10-03;G;Sept-Îles, v;1;;37;312;81;2;3;14;27;60;187;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;1;;38;299;63;1;2;6;33;47;152;5
902;Duplessis;2022-10-03;G;Sept-Îles, v;2;;39;219;47;2;2;11;23;39;124;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;2;;40;209;51;2;0;16;25;24;118;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;3;;41;381;78;2;5;9;44;42;180;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;3;;42;368;63;0;4;9;47;49;172;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;3;;43;375;80;0;0;16;46;33;175;5
902;Duplessis;2022-10-03;G;Sept-Îles, v;3;;44;369;56;0;8;6;59;40;169;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;3;;45;374;71;1;1;9;45;51;178;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;3;;46;355;61;4;1;7;38;42;153;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;4;;47;343;77;1;2;8;41;36;165;0
902;Duplessis;2022-10-03;G;Sept-Îles, v;4;;48;332;57;0;4;4;30;47;142;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;4;;49;331;53;1;2;9;41;50;156;0
902;Duplessis;2022-10-03;G;Sept-Îles, v;4;;50;321;35;1;1;15;22;21;95;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;4;;51;336;57;2;4;13;46;39;161;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;5;;52;351;52;2;6;13;18;40;131;0
902;Duplessis;2022-10-03;G;Sept-Îles, v;5;;53;351;49;0;3;7;21;47;127;7
902;Duplessis;2022-10-03;G;Sept-Îles, v;5;;54;362;59;0;10;7;15;42;133;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;5;;55;358;59;2;1;8;24;37;131;5
902;Duplessis;2022-10-03;G;Sept-Îles, v;5;;56;351;74;1;4;12;22;32;145;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;5;;57;351;63;3;7;14;25;47;159;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;6;;58;385;78;3;4;11;17;45;158;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;6;;59;382;74;3;2;10;15;42;146;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;6;;60;367;63;3;6;7;26;35;140;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;6;;61;383;51;1;4;13;41;25;135;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;6;;62;362;50;2;3;9;15;25;104;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;7;;63;394;83;2;3;12;30;57;187;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;7;;64;391;92;2;4;12;27;57;194;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;7;;65;378;94;1;5;11;16;47;174;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;7;;66;398;76;1;6;9;25;42;159;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;8;;67;375;69;3;2;11;25;48;158;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;8;;68;355;75;0;6;12;23;38;154;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;8;;69;356;85;1;5;15;33;33;172;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;8;;70;358;51;0;6;4;30;31;122;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;9;;71;347;42;0;1;16;21;17;97;5
902;Duplessis;2022-10-03;G;Sept-Îles, v;9;;72;335;47;0;3;8;11;43;112;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;9;;73;351;53;1;5;7;17;35;118;0
902;Duplessis;2022-10-03;G;Sept-Îles, v;9;;74;336;57;2;1;13;15;27;115;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;9;;75;355;68;0;4;9;32;27;140;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;10;;76;314;68;0;2;12;16;19;117;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;10;;77;305;47;1;1;7;8;23;87;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;10;;78;308;59;0;2;7;8;31;107;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;11;;79;288;99;0;10;6;7;24;146;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;12;;80;315;39;2;4;4;27;47;123;4
902;Duplessis;2022-10-03;G;Sept-Îles, v;12;;81;325;57;3;0;12;23;30;125;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;12;;82;330;56;2;4;13;33;29;137;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;12;;83;337;74;6;2;10;18;33;143;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;12;;84;329;56;2;2;14;19;37;130;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;13;;85;300;68;4;1;14;18;61;166;3
902;Duplessis;2022-10-03;G;Sept-Îles, v;13;;86;305;79;2;4;5;22;46;158;0
902;Duplessis;2022-10-03;G;Sept-Îles, v;13;;87;306;66;0;2;12;23;35;138;1
902;Duplessis;2022-10-03;G;Sept-Îles, v;14;;88;320;71;0;3;18;51;33;176;2
902;Duplessis;2022-10-03;G;Sept-Îles, v;14;;89;317;61;3;3;6;28;42;143;8
902;Duplessis;2022-10-03;G;Sept-Îles, v;15;;90;418;73;2;6;16;47;50;194;5
902;Duplessis;2022-10-03;G;Uashat, r;1;;91;344;23;0;0;33;3;0;59;1
902;Duplessis;2022-10-03;G;Uashat, r;1;;92;337;11;0;2;27;2;2;44;0
902;Duplessis;2022-10-03;G;Uashat, r;1;;93;333;24;0;2;22;1;0;49;0
902;Duplessis;2022-10-03;G;Port-Cartier, v;1;;94;402;104;0;5;5;27;52;193;1
902;Duplessis;2022-10-03;G;Port-Cartier, v;2;;95;334;50;0;1;9;38;27;125;1
