Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fradette William P.Q.;Girard Eric C.A.Q.-E.F.L.;Lavoie Martin C.Q.;Martel Luc P.C.Q-E.E.D.;Moulin Elsa Q.S.;Murray Tricia P.L.Q./Q.L.P.;Villeneuve Chantale P.Li.Q.;B.V.;B.R.
926;Lac-Saint-Jean;2022-10-03;G;Lamarche, m;1;;13;219;26;57;1;20;2;2;0;108;6
926;Lac-Saint-Jean;2022-10-03;G;Lamarche, m;1;;14;220;36;63;0;10;4;5;0;118;4
926;Lac-Saint-Jean;2022-10-03;G;Labrecque, m;1;;15;371;49;112;4;21;17;3;0;206;5
926;Lac-Saint-Jean;2022-10-03;G;Labrecque, m;1;;16;372;64;94;0;13;8;7;2;188;5
926;Lac-Saint-Jean;2022-10-03;G;Labrecque, m;1;;17;363;35;93;0;49;11;3;1;192;10
926;Lac-Saint-Jean;2022-10-03;G;Saint-Nazaire, m;1;;18;403;45;105;1;30;6;9;1;197;6
926;Lac-Saint-Jean;2022-10-03;G;Saint-Nazaire, m;1;;19;392;59;114;1;35;9;9;0;227;3
926;Lac-Saint-Jean;2022-10-03;G;Saint-Nazaire, m;1;;20;391;63;134;1;25;19;9;0;251;2
926;Lac-Saint-Jean;2022-10-03;G;Saint-Nazaire, m;1;;21;411;44;111;0;34;16;6;0;211;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;1;;22;372;56;108;1;20;5;5;0;195;2
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;1;;23;368;43;100;1;18;10;3;2;177;0
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;1;;24;348;54;82;0;10;13;6;0;165;1
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;1;;25;387;47;83;1;16;10;0;0;157;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;2;;26;342;52;72;1;22;8;8;1;164;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;2;;27;369;51;105;0;14;17;4;1;192;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;2;;28;371;31;87;2;31;11;4;2;168;0
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;2;;29;374;52;79;2;25;14;3;1;176;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;3;;30;349;45;83;2;20;10;3;0;163;1
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;3;;31;362;49;82;1;34;11;6;1;184;0
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;3;;32;361;39;110;0;23;17;2;0;191;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;3;;33;355;54;80;1;38;24;3;0;200;3
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;3;;34;352;50;87;0;25;8;1;1;172;0
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;3;;35;382;51;105;0;14;10;4;0;184;2
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;3;;36;371;60;84;0;15;12;2;0;173;2
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;3;;37;354;46;95;3;19;5;9;0;177;3
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;4;;38;415;69;87;1;17;18;4;3;199;1
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;4;;39;406;54;99;1;16;21;6;0;197;1
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;4;;40;398;50;101;0;31;21;3;0;206;3
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;4;;41;386;39;73;0;12;15;0;1;140;1
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;42;382;37;72;0;10;11;2;0;132;1
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;43;370;35;67;0;17;16;4;3;142;1
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;44;393;53;59;1;14;15;4;0;146;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;45;385;42;74;0;9;11;4;1;141;0
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;46;376;51;86;0;20;10;5;0;172;0
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;47;382;51;93;0;17;12;6;2;181;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;48;370;62;79;1;26;14;5;0;187;3
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;49;384;60;76;1;16;21;5;0;179;2
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;50;362;35;52;1;9;16;3;1;117;3
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;51;365;45;68;1;21;15;4;0;154;8
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;5;;52;378;65;40;4;10;30;3;0;152;3
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;6;;53;377;35;48;1;13;16;3;1;117;6
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;6;;54;382;39;44;3;17;14;4;1;122;4
926;Lac-Saint-Jean;2022-10-03;G;Alma, v;6;;55;370;30;68;1;23;23;6;2;153;3
