Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benzekri Othmane P.V.Q./G.P.Q.;Briand Gérard Q.S.;Dugal Karl P.Q.;Fossey Myrtis-Eirene P.C.Q./C.P.Q;Gauthier Mélanie C.A.Q.-E.F.L.;Rajput Rizwan Muhammad B.M.-E.B.H.;Rizqy Marwah P.L.Q./Q.L.P.;St-Clair Catherine P.C.Q-E.E.D.;B.V.;B.R.
318;Saint-Laurent;2022-10-03;G;Montréal, v;23;;21;382;0;13;9;2;8;2;79;27;140;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;23;;22;386;2;12;11;2;23;4;53;16;123;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;24;;23;342;1;26;8;1;7;12;56;8;119;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;24;;24;382;1;26;7;0;13;13;69;21;150;11
318;Saint-Laurent;2022-10-03;G;Montréal, v;24;;25;356;0;13;2;1;10;7;68;10;111;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;24;;26;358;0;5;6;0;14;1;45;10;81;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;24;;27;358;2;25;34;0;42;2;46;4;155;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;24;;28;378;4;24;23;1;30;0;40;17;139;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;24;;29;389;0;17;5;1;8;2;86;9;128;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;24;;30;385;7;25;17;0;15;2;65;9;140;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;25;;31;387;1;9;2;3;17;4;67;21;124;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;25;;32;363;0;9;1;1;15;4;73;26;129;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;25;;33;356;6;16;5;0;12;0;64;21;124;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;25;;34;368;3;9;4;2;22;2;64;14;120;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;25;;35;359;2;5;4;3;11;3;64;20;112;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;25;;36;357;2;5;2;1;5;9;70;23;117;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;25;;37;367;4;11;2;2;8;7;95;33;162;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;25;;38;380;1;9;6;4;17;1;75;23;136;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;26;;39;360;2;13;11;1;22;5;79;18;151;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;26;;40;378;2;11;15;0;25;8;72;37;170;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;26;;41;369;3;10;16;3;45;4;86;23;190;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;26;;42;379;2;12;6;1;23;2;82;32;160;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;26;;43;377;1;8;9;7;29;2;85;31;172;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;26;;44;378;1;15;14;3;35;1;101;25;195;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;26;;45;382;2;2;2;2;31;3;73;43;158;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;26;;46;379;2;17;21;5;33;2;73;28;181;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;47A;234;0;5;3;7;7;1;56;16;95;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;47B;259;1;4;1;0;12;1;44;21;84;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;48;345;2;6;2;6;14;2;74;22;128;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;49;363;0;1;0;1;4;9;68;27;110;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;50;355;0;5;4;5;11;2;64;19;110;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;51;342;4;4;3;5;16;1;68;18;119;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;52;350;3;6;4;3;16;0;57;19;108;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;53;380;4;9;3;5;14;0;59;26;120;4
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;54;402;1;16;11;2;16;3;77;16;142;3
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;55;381;3;11;5;3;13;1;67;22;125;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;56;388;6;16;7;6;26;0;53;23;137;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;27;;57;384;2;10;13;2;11;7;93;20;158;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;58;349;0;8;3;2;12;1;67;17;110;2
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;59A;236;0;2;3;3;4;1;46;25;84;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;59B;258;0;2;2;6;12;1;31;16;70;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;60;390;1;2;5;4;17;3;67;40;139;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;61;374;0;4;1;4;13;2;73;37;134;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;62;392;3;6;0;2;13;1;95;40;160;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;63;377;2;4;2;2;10;0;79;22;121;1
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;64;387;1;8;5;3;15;1;83;34;150;0
318;Saint-Laurent;2022-10-03;G;Montréal, v;28;;65;388;2;9;6;3;23;2;61;29;135;2
