Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Renaud P.N.;Bouffard-Savoie Nicolas E.A.;Duhaime Éric P.C.Q-E.E.D.;Lepage Christine C.Q.;Lévesque Sylvain C.A.Q.-E.F.L.;Pivovar Igor P.L.Q./Q.L.P.;Riverin Charles-Hubert P.Q.;Ruiz Aragon Jimena Q.S.;B.V.;B.R.
754;Chauveau;2022-10-03;G;Québec, v;125;;102;396;1;0;82;1;54;12;12;16;178;4
754;Chauveau;2022-10-03;G;Québec, v;125;;103;386;1;0;56;1;65;5;7;13;148;8
754;Chauveau;2022-10-03;G;Québec, v;125;;104;404;1;0;78;0;69;9;20;16;193;1
754;Chauveau;2022-10-03;G;Québec, v;125;;105;387;1;0;73;1;67;2;6;13;163;2
754;Chauveau;2022-10-03;G;Québec, v;126;;106;400;3;1;99;0;52;8;10;10;183;0
754;Chauveau;2022-10-03;G;Québec, v;126;;107;390;1;0;62;0;43;6;16;11;139;1
754;Chauveau;2022-10-03;G;Québec, v;126;;108;375;1;0;41;0;50;3;16;10;121;3
754;Chauveau;2022-10-03;G;Québec, v;126;;109;391;0;0;78;1;54;5;7;6;151;2
754;Chauveau;2022-10-03;G;Québec, v;126;;110;389;2;0;65;0;43;6;10;14;140;1
754;Chauveau;2022-10-03;G;Québec, v;126;;111;395;1;0;45;3;87;3;13;16;168;7
754;Chauveau;2022-10-03;G;Québec, v;126;;112;395;1;0;47;1;55;10;19;14;147;1
754;Chauveau;2022-10-03;G;Wendake, r;1;;113;259;0;0;17;0;33;6;5;6;67;0
754;Chauveau;2022-10-03;G;Wendake, r;1;;114;280;1;1;21;0;45;7;8;13;96;1
754;Chauveau;2022-10-03;G;Wendake, r;1;;115;287;1;0;39;0;50;8;2;7;107;1
754;Chauveau;2022-10-03;G;Wendake, r;1;;116;298;0;0;28;0;62;6;9;17;122;2
754;Chauveau;2022-10-03;G;Wendake, r;1;;117;264;0;0;38;1;60;1;2;14;116;0
754;Chauveau;2022-10-03;G;Wendake, r;1;;118;303;1;1;28;2;47;9;13;16;117;0
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;119;368;1;0;38;2;70;9;12;16;148;2
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;120;355;0;0;34;0;58;9;16;23;140;3
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;121;377;0;0;44;0;88;14;20;23;189;0
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;122;380;0;0;31;1;52;13;22;26;145;4
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;123;378;0;0;44;2;79;6;13;22;166;1
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;124;386;2;0;47;2;84;15;15;14;179;1
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;125;386;2;0;73;1;71;11;7;14;179;2
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;126;371;0;0;52;1;86;4;20;12;175;3
754;Chauveau;2022-10-03;G;Lac-Beauport, m;1;;127;361;0;0;44;0;67;3;18;14;146;1
754;Chauveau;2022-10-03;G;Lac-Beauport, m;2;;128;386;0;0;48;1;83;10;6;9;157;0
754;Chauveau;2022-10-03;G;Lac-Beauport, m;2;;129;365;0;0;50;2;75;10;8;13;158;2
754;Chauveau;2022-10-03;G;Lac-Beauport, m;2;;130;359;1;0;42;1;62;6;15;26;153;3
754;Chauveau;2022-10-03;G;Lac-Beauport, m;2;;131;378;0;0;38;0;84;16;12;16;166;3
754;Chauveau;2022-10-03;G;Lac-Beauport, m;2;;132;354;0;0;42;1;80;5;17;14;159;3
754;Chauveau;2022-10-03;G;Lac-Beauport, m;2;;133;354;1;0;54;0;70;5;12;25;167;2
754;Chauveau;2022-10-03;G;Lac-Beauport, m;2;;134;354;2;0;35;2;82;3;15;20;159;3
754;Chauveau;2022-10-03;G;Lac-Beauport, m;2;;135;372;0;0;35;0;71;1;12;16;135;3
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;1;;136;363;0;0;57;1;64;8;9;13;152;1
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;1;;137;380;2;0;73;0;40;1;10;14;140;2
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;1;;138;356;0;0;53;1;51;4;7;9;125;3
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;1;;139;368;1;0;49;0;43;1;8;17;119;5
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;1;;140;385;0;0;53;4;76;6;13;15;167;2
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;1;;141;376;0;1;57;0;67;7;13;19;164;3
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;1;;142;367;2;0;38;2;62;4;16;20;144;2
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;143;365;0;0;71;1;52;8;9;13;154;2
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;144;379;0;0;70;0;88;9;9;19;195;2
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;145;346;1;0;52;1;43;7;13;19;136;0
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;146;368;0;0;56;1;72;4;15;18;166;1
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;147;360;0;0;44;1;90;5;13;25;178;2
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;148A;215;0;0;31;1;45;7;12;21;117;2
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;148B;221;0;0;35;0;51;2;11;9;108;0
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;149;376;0;0;53;4;56;5;11;15;144;3
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;150;369;1;0;55;0;78;4;12;6;156;2
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;151;357;2;0;57;0;88;5;5;9;166;3
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;2;;152;366;1;0;69;0;57;6;7;12;152;3
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;3;;153;291;0;0;43;2;38;3;17;15;118;0
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;3;;154;286;1;0;53;1;45;3;8;12;123;3
754;Chauveau;2022-10-03;G;Stoneham-et-Tewkesbury, cu;3;;155;281;2;0;60;0;20;3;11;11;107;2
754;Chauveau;2022-10-03;G;Lac-Delage, v;1;;156;260;0;1;30;1;78;6;16;22;154;0
754;Chauveau;2022-10-03;G;Lac-Delage, v;1;;157;278;1;0;55;1;57;4;15;34;167;0
