Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duranceau France-Élaine C.A.Q.-E.F.L.;Fortin Samuel C.Q.;Francoeur Julie Q.S.;Freire Guillaume P.Q.;Meloni Philippe P.C.Q-E.E.D.;Nadeau André P.L.Q./Q.L.P.;Ouellette Marie-Eve P.H.Q.;Steinberger Karine P.V.Q./G.P.Q.;B.V.;B.R.
588;Bertrand;2022-10-03;G;Rawdon, m;1;;24;386;65;0;14;32;23;12;1;4;151;7
588;Bertrand;2022-10-03;G;Rawdon, m;1;;25;395;74;0;16;30;14;8;0;3;145;3
588;Bertrand;2022-10-03;G;Chertsey, m;1;;26;389;59;2;7;31;17;2;0;4;122;1
588;Bertrand;2022-10-03;G;Chertsey, m;1;;27;396;64;1;24;42;27;4;1;1;164;6
588;Bertrand;2022-10-03;G;Chertsey, m;1;;28;385;57;0;28;41;16;12;0;1;155;1
588;Bertrand;2022-10-03;G;Chertsey, m;1;;29;384;53;3;23;35;22;0;0;2;138;1
588;Bertrand;2022-10-03;G;Chertsey, m;1;;30;388;47;0;15;22;17;2;1;0;104;7
588;Bertrand;2022-10-03;G;Chertsey, m;1;;31;390;55;0;15;25;24;0;1;4;124;6
588;Bertrand;2022-10-03;G;Chertsey, m;1;;32;390;47;0;26;34;9;3;0;2;121;2
588;Bertrand;2022-10-03;G;Chertsey, m;1;;33;400;57;1;19;17;12;3;1;1;111;0
588;Bertrand;2022-10-03;G;Chertsey, m;1;;34;385;58;0;14;26;20;4;0;2;124;3
588;Bertrand;2022-10-03;G;Chertsey, m;1;;35;396;63;0;13;35;20;1;1;1;134;0
588;Bertrand;2022-10-03;G;Chertsey, m;1;;36;391;49;1;22;29;17;4;0;6;128;0
588;Bertrand;2022-10-03;G;Entrelacs, m;1;;37;288;71;0;7;36;22;4;1;1;142;3
588;Bertrand;2022-10-03;G;Entrelacs, m;1;;38;289;82;2;15;37;16;4;1;5;162;2
588;Bertrand;2022-10-03;G;Entrelacs, m;1;;39;299;90;1;18;38;8;10;1;2;168;3
588;Bertrand;2022-10-03;G;Notre-Dame-de-la-Merci, m;1;;40;306;87;0;16;40;15;10;1;3;172;3
588;Bertrand;2022-10-03;G;Notre-Dame-de-la-Merci, m;1;;41;310;104;0;21;41;5;3;1;3;178;1
588;Bertrand;2022-10-03;G;Notre-Dame-de-la-Merci, m;1;;42;307;70;1;11;49;7;4;0;1;143;2
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;43;400;76;0;14;30;11;15;0;0;146;1
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;44;410;68;0;19;41;14;14;2;1;159;0
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;45;395;91;0;7;27;11;5;0;3;144;4
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;46;416;46;0;15;19;14;3;0;1;98;2
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;47;391;59;0;14;21;9;3;0;1;107;2
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;48;395;70;4;8;29;9;3;2;5;130;2
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;49;393;58;0;15;33;10;4;0;2;122;4
588;Bertrand;2022-10-03;G;Saint-Donat, m;1;;50;405;72;0;18;34;13;4;0;2;143;0
