Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bustamante Marcella P.V.Q./G.P.Q.;Chassin Youri C.A.Q.-E.F.L.;Clermont Maxime P.C.Q-E.E.D.;Michon Sandrine P.Q.;Neveu Marc-Olivier Q.S.;Plante Martin P.L.Q./Q.L.P.;B.V.;B.R.
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;3;;17;328;1;68;18;35;24;10;156;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;3;;18;340;1;56;17;37;28;7;146;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;3;;19;339;1;66;18;22;24;24;155;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;3;;20;324;3;88;10;26;40;2;169;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;4;;21;365;0;76;19;24;29;7;155;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;4;;22;372;3;85;17;31;31;8;175;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;4;;23;379;4;62;11;34;43;5;159;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;4;;24;361;0;52;19;27;38;7;143;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;4;;25;363;0;63;17;24;29;3;136;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;4;;26;366;1;80;8;21;20;16;146;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;27;405;2;115;15;45;25;14;216;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;28;370;0;80;7;54;29;7;177;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;29;395;2;64;10;48;31;17;172;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;30;374;3;80;25;35;27;12;182;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;31;375;2;83;22;40;19;13;179;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;32;396;1;76;15;44;24;11;171;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;33;397;0;61;25;37;28;19;170;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;34;378;1;69;22;26;34;9;161;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;35;392;1;53;16;36;39;10;155;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;36A;312;3;40;12;18;37;6;116;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;5;;36B;290;1;35;18;18;44;7;123;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;37;344;4;53;14;34;28;6;139;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;38;334;0;37;17;30;25;2;111;6
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;39;356;4;80;10;23;21;10;148;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;40;374;5;70;21;38;23;10;167;5
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;41;373;3;98;18;50;26;6;201;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;42;355;2;81;22;29;21;6;161;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;43;346;1;74;16;26;30;2;149;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;44;369;1;72;20;39;20;12;164;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;45A;218;5;58;14;26;10;9;122;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;45B;221;3;51;11;18;9;0;92;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;6;;46;363;1;89;11;33;15;5;154;4
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;7;;47;307;1;56;9;23;16;1;106;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;7;;48;318;2;33;19;15;16;3;88;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;7;;49;325;1;52;12;13;15;3;96;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;7;;50;303;0;60;2;19;3;4;88;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;7;;51;319;0;49;24;28;18;6;125;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;8;;52;367;4;61;15;22;38;4;144;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;8;;53;349;5;47;16;22;17;7;114;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;8;;54;359;2;63;16;30;21;14;146;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;8;;55;369;1;45;10;33;25;3;117;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;8;;56;352;2;37;16;17;21;4;97;6
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;8;;57;371;0;51;8;29;34;9;131;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;8;;58;347;2;38;19;23;13;10;105;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;9;;59A;228;1;19;15;9;13;2;59;3
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;9;;59B;234;2;23;10;17;18;1;71;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;9;;60A;302;0;33;3;19;21;3;79;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;9;;60B;300;1;48;12;11;28;3;103;1
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;9;;61;407;1;46;26;24;21;4;122;0
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;9;;62;394;2;63;15;30;24;4;138;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;9;;63;399;2;72;15;27;20;6;142;2
526;Saint-Jérôme;2022-10-03;G;Saint-Jérôme, v;9;;64;381;1;45;19;24;16;6;111;1
