Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dumas Philippe P.Q.;Jacques Marie-Josée P.L.Q./Q.L.P.;Lyonnais Mario P.C.Q-E.E.D.;Martel Donald C.A.Q.-E.F.L.;Thériault Watso Jacques Q.S.;B.V.;B.R.
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;3;;16;394;52;16;57;109;17;251;8
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;4;;17A;213;22;7;28;33;18;108;1
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;4;;17B;218;15;0;21;34;11;81;3
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;4;;18A;252;32;6;34;36;18;126;4
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;4;;18B;260;18;1;29;53;12;113;4
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;4;;19;401;36;9;60;67;12;184;1
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;4;;20;416;34;8;52;76;13;183;4
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;4;;21;393;22;5;67;91;15;200;2
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;5;;22;355;43;5;50;85;18;201;1
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;5;;23;363;34;10;49;102;14;209;6
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;5;;24;361;44;7;44;99;14;208;2
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;5;;25;368;35;6;39;101;12;193;4
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;5;;26;356;40;7;55;111;12;225;6
150;Nicolet-Bécancour;2022-10-03;G;Bécancour, v;5;;27;359;51;2;46;74;22;195;3
150;Nicolet-Bécancour;2022-10-03;G;Wôlinak, r;1;;28;172;3;3;26;9;12;53;1
150;Nicolet-Bécancour;2022-10-03;G;Saint-Pierre-les-Becquets, m;1;;29;290;20;6;35;45;12;118;6
150;Nicolet-Bécancour;2022-10-03;G;Saint-Pierre-les-Becquets, m;1;;30;301;22;3;47;51;8;131;0
150;Nicolet-Bécancour;2022-10-03;G;Saint-Pierre-les-Becquets, m;1;;31;314;24;8;35;47;16;130;1
150;Nicolet-Bécancour;2022-10-03;G;Deschaillons-sur-Saint-Laurent, m;1;;32;377;30;14;62;98;15;219;3
