Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ahluwalia Jaspal Singh B.M.-E.B.H.;Bélec Eve C.A.Q.-E.F.L.;Bilodeau Cynthia Q.S.;Boileau Kelley P.V.Q./G.P.Q.;Hamelin-Schuilenburg David P.C.Q./C.P.Q;Lynes Paul D.D.;Massé Christopher P.Q.;Nichols Marie-Claude P.L.Q./Q.L.P.;Théoret Eve P.C.Q-E.E.D.;B.V.;B.R.
224;Vaudreuil;2022-10-03;G;Pincourt, v;3;;27;401;0;42;21;4;3;1;23;40;25;159;1
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;1;;28;403;0;47;9;2;3;0;12;70;19;162;0
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;1;;29;393;3;52;10;0;3;1;18;51;27;165;0
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;1;;30;390;0;54;16;0;5;0;10;48;28;161;1
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;1;;31;388;3;46;16;2;2;0;9;57;27;162;1
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;1;;32;404;4;49;20;1;3;0;10;66;33;186;0
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;1;;33;393;5;58;15;5;3;0;12;71;26;195;1
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;1;;34;402;0;63;22;3;5;0;16;65;14;188;1
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;1;;35;409;0;61;19;1;4;1;13;37;29;165;0
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;2;;36;366;3;29;8;0;4;0;4;71;21;140;3
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;2;;37;375;1;54;31;3;0;0;13;64;24;190;3
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;2;;38;371;0;55;19;5;1;1;6;77;19;183;1
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;2;;39;368;2;62;23;1;3;1;9;64;19;184;3
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;2;;40;412;5;44;18;4;5;0;9;81;23;189;1
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;2;;41;368;0;39;19;1;4;0;14;71;15;163;2
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;2;;42;365;1;50;26;4;1;1;5;69;9;166;0
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;3;;43;349;4;45;16;0;5;0;17;56;18;161;1
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;3;;44;374;0;48;16;0;5;0;19;56;23;167;2
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;3;;45;360;2;51;20;0;2;0;19;59;29;182;0
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;3;;46;364;3;38;17;1;3;0;16;54;18;150;2
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;3;;47;354;2;61;32;1;1;0;21;56;9;183;4
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;3;;48;364;0;54;14;3;2;0;10;51;21;155;5
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;3;;49;343;0;55;17;7;0;2;11;41;10;143;0
224;Vaudreuil;2022-10-03;G;Notre-Dame-de-l'Île-Perrot, v;3;;50;362;1;61;18;1;3;0;20;61;12;177;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;51;400;0;41;9;0;4;0;7;50;24;135;0
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;52;381;1;34;23;2;8;0;15;55;28;166;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;53;376;1;55;19;4;2;0;25;48;24;178;0
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;54;373;1;40;18;1;4;1;14;30;21;130;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;55;400;3;46;19;1;1;0;14;89;22;195;5
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;56;369;1;53;15;5;1;1;22;58;22;178;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;57;393;2;45;26;5;1;0;15;70;20;184;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;58;394;0;58;13;4;3;0;27;32;19;156;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;59;359;1;26;26;4;6;0;9;27;21;120;0
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;60;346;0;33;11;5;0;0;14;24;26;113;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;61;402;1;53;9;3;2;0;18;32;13;131;4
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;1;;62;393;0;33;12;2;3;0;13;59;29;151;3
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;2;;63;374;1;32;20;4;4;1;13;55;27;157;6
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;2;;64;371;1;39;11;6;5;0;9;51;19;141;2
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;2;;65;385;0;50;16;2;1;3;13;71;25;181;4
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;2;;66;363;0;25;16;5;2;0;14;58;21;141;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;3;;67;351;0;65;19;3;4;0;16;45;13;165;0
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;3;;68;353;1;41;11;4;4;0;14;47;24;146;4
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;3;;69;354;1;37;25;3;5;0;9;66;31;177;2
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;3;;70;377;5;47;23;2;4;0;4;85;25;195;1
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;3;;71;392;0;56;28;0;8;0;14;35;26;167;2
224;Vaudreuil;2022-10-03;G;L'Île-Perrot, v;3;;72;389;2;45;16;10;11;0;23;88;26;221;2
224;Vaudreuil;2022-10-03;G;Terrasse-Vaudreuil, m;1;;73;364;0;41;26;1;6;1;16;76;23;190;1
224;Vaudreuil;2022-10-03;G;Terrasse-Vaudreuil, m;1;;74;379;2;53;24;3;4;1;26;59;23;195;3
224;Vaudreuil;2022-10-03;G;Terrasse-Vaudreuil, m;1;;75;377;1;42;32;6;5;4;22;57;31;200;2
224;Vaudreuil;2022-10-03;G;Terrasse-Vaudreuil, m;1;;76;367;3;60;19;2;4;0;11;47;29;175;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;1;;77;401;0;43;18;3;9;0;11;54;23;161;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;1;;78A;226;0;25;22;2;7;0;5;15;13;89;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;1;;78B;232;0;26;6;2;3;1;6;36;18;98;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;1;;79;392;2;23;10;4;9;0;12;69;21;150;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;1;;80;417;4;31;8;6;6;0;7;74;31;167;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;1;;81;384;0;50;16;5;0;0;10;43;26;150;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;1;;82;392;5;46;11;2;2;0;4;71;19;160;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;83;373;1;38;11;3;4;1;8;43;15;124;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;84;381;1;40;17;2;1;0;8;55;22;146;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;85;376;0;41;12;0;4;0;10;72;24;163;2
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;86;397;1;57;23;2;4;1;16;66;18;188;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;87;386;9;29;8;4;0;0;4;65;19;138;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;88;406;0;46;15;3;0;1;9;37;25;136;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;89;387;0;43;15;2;5;0;8;43;16;132;1
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;90;371;0;51;18;0;0;0;17;40;9;135;0
224;Vaudreuil;2022-10-03;G;Vaudreuil-Dorion, v;2;;91;392;1;38;12;7;1;0;10;63;18;150;1
