Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;LeBel Sonia C.A.Q.-E.F.L.;Leblanc Jérémy P.L.Q./Q.L.P.;Litalien Alexandre P.Q.;Massicotte Steve P.C.Q-E.E.D.;Pinel Bianca Nancy U.F.F.;Trottier Marjolaine Q.S.;B.V.;B.R.
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;111;423;84;11;21;36;1;10;163;3
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;112A;205;53;0;9;17;0;5;84;1
676;Champlain;2022-10-03;G;Saint-Tite, v;1;;112B;228;77;1;11;25;0;8;122;0
676;Champlain;2022-10-03;G;Sainte-Thècle, m;1;;113;407;117;5;36;43;1;13;215;1
676;Champlain;2022-10-03;G;Sainte-Thècle, m;1;;114;416;126;4;13;53;0;8;204;1
676;Champlain;2022-10-03;G;Sainte-Thècle, m;1;;115;420;133;10;22;39;0;15;219;2
676;Champlain;2022-10-03;G;Sainte-Thècle, m;1;;116;407;105;7;32;28;0;12;184;3
676;Champlain;2022-10-03;G;Sainte-Thècle, m;1;;117;401;114;10;19;35;4;23;205;2
676;Champlain;2022-10-03;G;Saint-Adelphe, p;1;;118;420;129;18;40;41;2;25;255;1
676;Champlain;2022-10-03;G;Saint-Adelphe, p;1;;119;394;121;8;26;61;1;15;232;2
676;Champlain;2022-10-03;G;Lac-aux-Sables, p;1;;120;395;135;7;38;39;2;13;234;3
676;Champlain;2022-10-03;G;Lac-aux-Sables, p;1;;121;398;120;4;34;37;1;9;205;3
676;Champlain;2022-10-03;G;Lac-aux-Sables, p;1;;122;405;150;5;36;36;1;6;234;1
676;Champlain;2022-10-03;G;Notre-Dame-de-Montauban, m;1;;123;323;105;5;33;39;3;4;189;5
676;Champlain;2022-10-03;G;Notre-Dame-de-Montauban, m;1;;124;368;118;9;42;30;2;20;221;3
676;Champlain;2022-10-03;G;Saint-Maurice, p;1;;125A;238;52;5;11;31;0;10;109;0
676;Champlain;2022-10-03;G;Saint-Maurice, p;1;;125B;199;52;7;14;25;3;10;111;2
676;Champlain;2022-10-03;G;Saint-Maurice, p;1;;126;377;97;9;23;84;2;18;233;0
676;Champlain;2022-10-03;G;Saint-Maurice, p;1;;127;375;105;18;24;59;0;23;229;4
676;Champlain;2022-10-03;G;Saint-Maurice, p;1;;128;364;118;10;17;70;0;17;232;1
676;Champlain;2022-10-03;G;Saint-Maurice, p;1;;129;378;98;6;33;57;5;24;223;1
676;Champlain;2022-10-03;G;Saint-Maurice, p;1;;130;365;116;7;26;58;1;16;224;2
676;Champlain;2022-10-03;G;Saint-Maurice, p;1;;131;398;102;13;21;79;0;14;229;2
676;Champlain;2022-10-03;G;Saint-Luc-de-Vincennes, m;1;;132;231;91;4;18;35;0;6;154;1
676;Champlain;2022-10-03;G;Saint-Luc-de-Vincennes, m;1;;133;206;58;5;17;32;2;12;126;2
676;Champlain;2022-10-03;G;Saint-Narcisse, p;1;;134;367;98;10;27;49;1;13;198;0
676;Champlain;2022-10-03;G;Saint-Narcisse, p;1;;135;363;150;9;26;40;3;21;249;1
676;Champlain;2022-10-03;G;Saint-Narcisse, p;1;;136;373;122;4;19;46;3;13;207;4
676;Champlain;2022-10-03;G;Saint-Narcisse, p;1;;137;360;126;10;20;65;1;10;232;6
676;Champlain;2022-10-03;G;Saint-Stanislas, m;1;;138;271;91;7;9;30;0;10;147;1
676;Champlain;2022-10-03;G;Saint-Stanislas, m;1;;139;302;96;3;22;39;2;9;171;1
676;Champlain;2022-10-03;G;Saint-Stanislas, m;1;;140;310;118;4;19;34;0;8;183;4
676;Champlain;2022-10-03;G;Saint-Prosper-de-Champlain, m;1;;141;219;58;4;17;25;1;12;117;2
676;Champlain;2022-10-03;G;Saint-Prosper-de-Champlain, m;1;;142;209;60;4;16;19;0;7;106;2
676;Champlain;2022-10-03;G;Sainte-Anne-de-la-Pérade, m;1;;143;404;81;6;27;66;0;7;187;2
676;Champlain;2022-10-03;G;Sainte-Anne-de-la-Pérade, m;1;;144;399;77;8;32;49;0;19;185;8
676;Champlain;2022-10-03;G;Sainte-Anne-de-la-Pérade, m;1;;145;426;92;7;25;60;0;18;202;2
676;Champlain;2022-10-03;G;Sainte-Anne-de-la-Pérade, m;1;;146;415;100;3;17;75;2;10;207;2
676;Champlain;2022-10-03;G;Sainte-Geneviève-de-Batiscan, p;1;;147;305;62;3;16;38;0;7;126;2
676;Champlain;2022-10-03;G;Sainte-Geneviève-de-Batiscan, p;1;;148;298;73;7;18;22;1;12;133;1
676;Champlain;2022-10-03;G;Sainte-Geneviève-de-Batiscan, p;1;;149;300;75;5;15;24;0;9;128;2
