Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boucher Martine P.C.Q-E.E.D.;Lacombe Jean-Pierre C.Q.;Lafrenière Ian C.A.Q.-E.F.L.;Mbattang Yves P.L.Q./Q.L.P.;Nino Caita Juan Carlos P.V.Q./G.P.Q.;Samson Jean-Philippe Q.S.;Wrzesien Adam P.Q.;B.V.;B.R.
240;Vachon;2022-10-03;G;Longueuil, v;54;;50;397;36;0;47;27;3;23;25;161;4
240;Vachon;2022-10-03;G;Longueuil, v;55;;51;389;25;0;53;28;3;26;21;156;4
240;Vachon;2022-10-03;G;Longueuil, v;55;;52;382;13;0;46;16;1;29;21;126;1
240;Vachon;2022-10-03;G;Longueuil, v;55;;53;369;16;4;57;22;1;18;20;138;4
240;Vachon;2022-10-03;G;Longueuil, v;55;;54;376;17;0;54;30;2;27;20;150;2
240;Vachon;2022-10-03;G;Longueuil, v;55;;55;385;19;2;50;50;2;26;14;163;2
240;Vachon;2022-10-03;G;Longueuil, v;55;;56;383;18;0;47;31;3;29;30;158;3
240;Vachon;2022-10-03;G;Longueuil, v;55;;57;403;11;0;55;14;1;34;30;145;2
240;Vachon;2022-10-03;G;Longueuil, v;56;;58;398;17;2;87;26;3;32;25;192;0
240;Vachon;2022-10-03;G;Longueuil, v;56;;59;400;17;0;47;36;2;23;22;147;3
240;Vachon;2022-10-03;G;Longueuil, v;56;;60;384;18;2;53;28;8;30;17;156;2
240;Vachon;2022-10-03;G;Longueuil, v;56;;61;374;24;2;60;26;2;18;35;167;2
240;Vachon;2022-10-03;G;Longueuil, v;56;;62;408;38;1;52;25;2;38;27;183;3
240;Vachon;2022-10-03;G;Longueuil, v;56;;63;404;18;2;79;27;2;29;8;165;3
240;Vachon;2022-10-03;G;Longueuil, v;57;;64;392;25;1;66;41;1;24;16;174;2
240;Vachon;2022-10-03;G;Longueuil, v;57;;65;389;21;2;36;15;4;40;10;128;1
240;Vachon;2022-10-03;G;Longueuil, v;57;;66;397;20;1;41;40;1;29;14;146;1
240;Vachon;2022-10-03;G;Longueuil, v;57;;67;386;13;0;46;44;2;24;15;144;6
240;Vachon;2022-10-03;G;Longueuil, v;57;;68;394;15;2;54;32;0;30;24;157;1
