Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Andreeva Daniela P.C.Q-E.E.D.;Couture Geneviève P.Q.;Fitzgibbon Pierre C.A.Q.-E.F.L.;Jean Lindsay P.L.Q./Q.L.P.;Meloche Marie-France D.D.;Poirier Nadia Q.S.;Tarpinian Nazar P.V.Q./G.P.Q.;B.V.;B.R.
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;15;421;17;27;58;54;0;40;2;198;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;16A;232;15;19;40;24;0;14;0;112;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;6;;16B;225;14;18;37;16;0;10;2;97;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;7;;17;381;18;15;92;15;1;14;4;159;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;7;;18;362;13;20;73;4;0;9;3;122;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;7;;19;356;18;27;52;3;0;50;1;151;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;7;;20;356;24;25;67;33;0;22;2;173;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;7;;21;339;22;18;47;30;1;22;1;141;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;7;;22;363;10;34;76;32;0;24;1;177;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;7;;23;372;16;33;75;12;0;21;0;157;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;7;;24;373;16;23;77;21;0;19;1;157;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;8;;25;402;12;31;80;52;0;29;2;206;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;8;;26;422;25;43;78;29;0;23;1;199;5
542;Terrebonne;2022-10-03;G;Terrebonne, v;8;;27;392;14;35;81;28;0;28;2;188;3
542;Terrebonne;2022-10-03;G;Terrebonne, v;8;;28;386;15;31;65;42;0;26;1;180;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;8;;29;390;17;21;72;46;0;30;3;189;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;8;;30;392;18;31;75;14;1;23;1;163;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;9;;31;376;15;37;75;24;0;28;2;181;1
542;Terrebonne;2022-10-03;G;Terrebonne, v;9;;32;351;10;38;67;31;0;27;2;175;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;9;;33A;210;12;19;47;26;0;18;0;122;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;9;;33B;227;8;17;36;36;1;23;0;121;0
542;Terrebonne;2022-10-03;G;Terrebonne, v;9;;34;391;28;42;80;26;1;24;1;202;4
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;35;379;29;24;69;30;0;42;1;195;2
542;Terrebonne;2022-10-03;G;Terrebonne, v;10;;36A;255;15;13;49;21;0;14;0;112;1
