Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chouchene Wejden P.V.Q./G.P.Q.;Dandenault Christine P.M.L.Q.;Fogaing Stephan P.Q.;Leduc Alexandre Q.S.;McCann Rebecca C.A.Q.-E.F.L.;Poudrier Louise P.C.Q-E.E.D.;Strayer James C.Q.;Tchetmi Line Flore P.L.Q./Q.L.P.;B.V.;B.R.
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;85;365;4;1;39;94;36;6;0;8;188;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;86;346;0;1;23;71;23;15;0;6;139;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;87;366;0;1;27;80;22;9;0;13;152;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;88;360;2;1;11;81;11;8;2;11;127;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;334;;89;351;1;0;23;84;12;8;2;8;138;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;335;;90;382;1;0;23;86;42;14;3;5;174;8
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;335;;91;376;0;2;21;87;22;18;1;14;165;1
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;335;;92;377;1;0;26;75;23;7;0;16;148;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;335;;93;375;4;0;25;75;25;3;0;17;149;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;335;;94;371;1;0;28;61;33;20;1;11;155;4
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;335;;95;386;1;1;31;70;21;11;0;23;158;3
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;336;;96;387;4;0;28;76;30;7;0;24;169;0
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;336;;97;360;2;0;17;53;21;3;1;19;116;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;336;;98;371;3;0;23;73;32;12;1;18;162;2
352;Hochelaga-Maisonneuve;2022-10-03;G;Montréal, v;336;;99;392;2;1;24;74;32;4;0;6;143;0
