Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Côté Normand P.L.Q./Q.L.P.;Gauthier Christian P.C.Q-E.E.D.;Gilbert Christine Q.S.;Lecours Isabelle C.A.Q.-E.F.L.;Marchand Louise P.Q.;B.V.;B.R.
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Pierre-de-Broughton, m;1;;54;364;11;99;16;60;25;211;3
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Pierre-de-Broughton, m;1;;55;323;8;72;19;76;14;189;1
810;Lotbinière-Frontenac;2022-10-03;G;East Broughton, m;1;;56;342;1;64;18;42;16;141;1
810;Lotbinière-Frontenac;2022-10-03;G;East Broughton, m;1;;57;354;2;74;22;60;9;167;0
810;Lotbinière-Frontenac;2022-10-03;G;East Broughton, m;1;;58;366;5;47;16;56;20;144;3
810;Lotbinière-Frontenac;2022-10-03;G;East Broughton, m;1;;59;363;5;65;10;48;22;150;2
810;Lotbinière-Frontenac;2022-10-03;G;East Broughton, m;1;;60;348;5;43;16;57;11;132;1
810;Lotbinière-Frontenac;2022-10-03;G;Sacré-Coeur-de-Jésus, p;1;;61;425;8;92;14;64;21;199;2
810;Lotbinière-Frontenac;2022-10-03;G;Adstock, m;1;;62;353;3;89;18;76;27;213;0
810;Lotbinière-Frontenac;2022-10-03;G;Adstock, m;1;;63;370;3;54;34;87;17;195;0
810;Lotbinière-Frontenac;2022-10-03;G;Adstock, m;1;;64A;221;4;25;11;48;8;96;1
810;Lotbinière-Frontenac;2022-10-03;G;Adstock, m;1;;64B;233;6;27;8;54;13;108;0
810;Lotbinière-Frontenac;2022-10-03;G;Adstock, m;2;;65;353;12;65;17;79;2;175;2
810;Lotbinière-Frontenac;2022-10-03;G;Adstock, m;2;;66;382;16;56;20;100;10;202;1
810;Lotbinière-Frontenac;2022-10-03;G;Adstock, m;3;;67;403;13;92;31;107;38;281;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Joseph-de-Coleraine, m;1;;68;389;4;25;15;88;10;142;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Joseph-de-Coleraine, m;1;;69;375;5;55;17;54;11;142;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Joseph-de-Coleraine, m;1;;70;362;3;42;15;38;8;106;0
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Joseph-de-Coleraine, m;1;;71;366;3;45;11;40;7;106;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Jacques-le-Majeur-de-Wolfestown, p;1;;72;158;6;24;12;37;27;106;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Fortunat, m;1;;73;228;14;23;22;49;38;146;4
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Julien, m;1;;74;331;5;74;17;71;30;197;3
810;Lotbinière-Frontenac;2022-10-03;G;Irlande, m;1;;75;374;7;77;33;61;20;198;3
810;Lotbinière-Frontenac;2022-10-03;G;Irlande, m;1;;76;350;12;50;10;67;24;163;0
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Adrien-d'Irlande, m;1;;77;313;9;64;13;67;17;170;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Jean-de-Brébeuf, m;1;;78;273;20;88;11;68;12;199;2
810;Lotbinière-Frontenac;2022-10-03;G;Kinnear's Mills, m;1;;79;330;15;87;20;69;19;210;1
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Jacques-de-Leeds, m;1;;80;269;3;82;12;66;12;175;2
810;Lotbinière-Frontenac;2022-10-03;G;Saint-Jacques-de-Leeds, m;1;;81;264;1;82;19;76;14;192;2
810;Lotbinière-Frontenac;2022-10-03;G;Sainte-Agathe-de-Lotbinière, m;1;;82;323;13;82;14;84;11;204;2
