Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ahmed Omar P.V.Q./G.P.Q.;Bessard Carmel-Antoine P.C.Q-E.E.D.;Cadet Madwa-Nika P.L.Q./Q.L.P.;Diallo Absa C.A.Q.-E.F.L.;Gustave Ricardo Q.S.;Lalande McLean Shawn P.A.P.E.;Robitaille Zacharie P.Q.;Toussaint Smaille Ind;B.V.;B.R.
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;281;;16;341;0;18;79;19;24;0;14;0;154;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;281;;17;364;3;13;53;29;21;0;4;1;124;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;282;;18;332;1;12;46;27;24;1;5;0;116;6
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;282;;19;332;1;11;46;30;28;0;9;0;125;0
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;282;;20;345;0;12;37;21;26;0;12;1;109;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;282;;21;338;1;5;69;26;35;1;5;0;142;3
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;283;;22;395;1;16;64;27;40;0;13;0;161;3
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;283;;23;381;3;16;94;18;41;1;13;1;187;6
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;283;;24;381;3;13;80;16;37;0;9;0;158;3
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;283;;25;399;0;7;23;18;17;0;12;0;77;3
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;283;;26;385;3;19;90;34;30;1;15;0;192;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;284;;27;409;2;8;54;23;26;2;15;2;132;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;284;;28;348;3;17;69;25;20;2;2;4;142;5
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;284;;29;373;0;12;77;25;22;0;6;0;142;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;284;;30;348;3;12;62;31;20;0;11;2;141;4
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;285;;31;345;0;10;66;26;25;0;13;3;143;1
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;285;;32;341;4;14;69;20;22;1;12;2;144;6
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;285;;33;343;1;13;63;26;18;1;12;0;134;0
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;285;;34;350;1;10;47;25;38;1;7;2;131;7
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;286;;35;363;3;9;49;22;22;0;14;0;119;3
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;286;;36;358;1;19;51;29;30;0;8;0;138;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;286;;37;360;0;17;60;21;25;0;19;0;142;0
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;286;;38;359;4;10;78;21;27;1;9;0;150;3
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;287;;39;368;0;7;31;44;33;0;17;1;133;2
360;Bourassa-Sauvé;2022-10-03;G;Montréal, v;287;;40;379;2;10;70;21;17;0;11;2;133;2
