Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charles Eribert P.L.Q./Q.L.P.;Gauthier Stephen D.D.;Jolin-Barrette Simon C.A.Q.-E.F.L.;Landry Benoît Q.S.;Laprise Paule P.Q.;Racicot Jean-Félix P.C.Q-E.E.D.;Thibault-Vincent Thomas P.V.Q./G.P.Q.;Thibodeau Marcel C.Q.;B.V.;B.R.
258;Borduas;2022-10-03;G;Beloeil, v;2;;28;403;14;0;86;25;43;16;5;1;190;5
258;Borduas;2022-10-03;G;Beloeil, v;2;;29;375;10;0;106;27;34;7;1;1;186;2
258;Borduas;2022-10-03;G;Beloeil, v;2;;30;392;4;0;109;38;39;11;2;1;204;1
258;Borduas;2022-10-03;G;Beloeil, v;2;;31;405;10;0;86;38;47;7;2;1;191;1
258;Borduas;2022-10-03;G;Beloeil, v;2;;32A;227;1;1;33;16;17;9;0;0;77;2
258;Borduas;2022-10-03;G;Beloeil, v;2;;32B;215;8;0;38;24;17;1;1;0;89;2
258;Borduas;2022-10-03;G;Beloeil, v;2;;33;394;9;0;85;34;36;19;0;0;183;4
258;Borduas;2022-10-03;G;Beloeil, v;2;;34;384;11;0;72;31;32;22;3;0;171;3
258;Borduas;2022-10-03;G;Beloeil, v;2;;35;403;7;0;102;41;47;15;2;2;216;3
258;Borduas;2022-10-03;G;Beloeil, v;2;;36;400;5;0;96;30;44;16;4;0;195;2
258;Borduas;2022-10-03;G;Beloeil, v;2;;37;379;1;0;99;29;47;17;4;0;197;4
258;Borduas;2022-10-03;G;Beloeil, v;3;;38A;296;13;0;64;41;33;18;1;0;170;1
258;Borduas;2022-10-03;G;Beloeil, v;3;;38B;274;17;1;71;13;16;24;3;0;145;1
258;Borduas;2022-10-03;G;Beloeil, v;3;;39;401;12;0;155;16;61;8;3;2;257;3
258;Borduas;2022-10-03;G;Beloeil, v;3;;40;385;18;1;99;25;46;23;0;1;213;3
258;Borduas;2022-10-03;G;Beloeil, v;3;;41;368;22;0;103;33;46;19;4;2;229;0
258;Borduas;2022-10-03;G;Beloeil, v;3;;42;399;18;0;92;33;40;14;0;0;197;2
258;Borduas;2022-10-03;G;Beloeil, v;3;;43;380;18;0;99;38;30;14;3;0;202;5
258;Borduas;2022-10-03;G;Beloeil, v;3;;44;416;16;0;108;40;25;23;3;0;215;3
258;Borduas;2022-10-03;G;Beloeil, v;3;;45;406;12;0;144;27;48;6;2;0;239;0
258;Borduas;2022-10-03;G;Beloeil, v;3;;46;389;5;0;93;35;29;9;1;4;176;1
258;Borduas;2022-10-03;G;Beloeil, v;3;;47;378;6;0;82;26;42;15;3;2;176;2
258;Borduas;2022-10-03;G;Beloeil, v;3;;48;386;14;0;109;24;34;13;0;0;194;2
258;Borduas;2022-10-03;G;Beloeil, v;3;;49;372;21;0;86;29;28;23;1;0;188;5
