Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boulet Jean C.A.Q.-E.F.L.;Pépin Karine P.C.Q-E.E.D.;Roy Cullen Steven Q.S.;Samman Georges U.F.F.;Tekougoum Adams P.L.Q./Q.L.P.;Trottier Éric C.Q.;Vézina Laurent P.Q.;B.V.;B.R.
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;6;;17;353;57;23;43;2;5;1;30;161;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;6;;18;383;87;24;43;0;7;0;17;178;1
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;6;;19;370;92;31;29;0;5;0;25;182;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;7;;20;391;78;24;25;0;5;1;34;167;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;7;;21;379;77;28;37;0;7;0;37;186;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;7;;22;373;55;24;16;0;6;1;17;119;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;7;;23;381;55;33;18;1;5;2;17;131;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;7;;24;402;45;29;39;1;12;0;24;150;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;7;;25;371;73;24;21;2;10;1;27;158;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;7;;26;379;44;15;19;0;9;0;16;103;18
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;27;396;70;18;30;2;5;0;24;149;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;28;392;61;32;24;2;14;0;22;155;5
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;29;374;68;28;20;0;9;0;14;139;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;30;373;79;18;20;0;4;0;22;143;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;31;388;85;20;7;0;6;2;21;141;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;32;394;46;28;19;0;8;0;17;118;6
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;33;351;57;26;10;0;2;1;16;112;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;34;377;64;30;26;2;13;0;21;156;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;35;384;58;10;10;0;1;1;20;100;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;8;;36;392;65;26;13;0;6;0;12;122;5
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;9;;37A;220;25;13;20;1;5;1;10;75;2
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;9;;37B;219;27;17;20;0;7;2;8;81;0
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;9;;38;414;59;23;36;0;7;1;28;154;3
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;9;;39;391;49;19;27;0;2;0;13;110;4
660;Trois-Rivières;2022-10-03;G;Trois-Rivières, v;10;;40;367;37;31;24;2;8;1;17;120;1
