Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Anglade Dominique P.L.Q./Q.L.P.;Cliche-Rivard Guillaume Q.S.;Daubois Julie P.Q.;Duford Jean-Pierre P.V.Q./G.P.Q.;Gaudreault Esther D.D.;Huard-Isabelle Nicolas C.A.Q.-E.F.L.;Kaczorowski Janusz B.M.-E.B.H.;White Mischa P.C.Q-E.E.D.;B.V.;B.R.
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;97;;82A;227;42;26;6;4;1;12;4;1;96;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;97;;82B;227;35;25;8;1;0;3;1;4;77;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;97;;83;295;50;31;6;1;0;10;4;3;105;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;97;;84;384;77;46;9;4;1;13;1;11;162;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;97;;85;384;78;65;1;3;0;7;3;3;160;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;98;;86;281;49;29;3;2;0;3;4;2;92;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;98;;87;267;49;24;4;6;0;3;5;2;93;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;99;;88;374;63;30;8;3;0;3;11;6;124;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;99;;89;352;91;21;4;4;1;12;1;25;159;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;99;;90;354;65;29;2;0;0;6;3;11;116;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;99;;91;399;62;35;6;3;0;13;4;10;133;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;99;;92;363;68;21;7;4;0;8;1;2;111;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;99;;93;368;62;33;3;1;0;16;5;8;128;3
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;100;;94;412;100;16;5;1;0;4;0;11;137;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;100;;95;407;94;29;8;1;0;14;0;12;158;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;100;;96A;208;37;22;5;2;0;5;3;7;81;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;100;;96B;241;52;14;2;5;0;7;3;6;89;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;100;;97;400;92;27;4;5;1;9;2;7;147;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;100;;98;411;66;42;0;4;1;11;7;11;142;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;101;;99;290;62;16;1;1;0;3;2;0;85;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;101;;100;303;61;19;3;1;0;5;5;5;99;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;101;;101;280;90;12;1;0;1;4;0;7;115;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;102;421;70;25;3;5;0;12;4;11;130;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;103;384;76;18;8;3;0;18;4;6;133;4
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;104;392;103;26;11;2;0;27;3;11;183;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;105A;198;41;24;2;0;0;12;0;0;79;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;105B;240;35;17;11;2;0;17;2;9;93;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;106A;288;48;17;4;1;0;18;2;10;100;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;106B;284;49;14;4;2;0;17;1;4;91;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;107;377;68;10;7;1;0;24;1;10;121;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;108;393;68;35;12;3;0;19;3;15;155;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;109A;265;52;12;7;2;0;23;2;10;108;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;102;;109B;260;37;19;3;0;0;9;2;8;78;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;110;408;51;44;7;1;0;15;1;17;136;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;111;374;50;20;13;1;0;15;2;19;120;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;112A;237;37;15;7;2;0;16;3;13;93;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;112B;253;44;13;3;1;0;22;1;11;95;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;113;428;73;39;9;3;0;16;3;8;151;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;114;399;59;46;6;4;0;12;2;14;143;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;115;366;55;25;4;1;0;8;5;14;112;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;116;391;62;19;1;3;0;20;2;18;125;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;117;404;55;32;8;2;0;14;1;12;124;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;118;432;63;33;9;2;1;24;4;14;150;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;119A;296;49;28;10;1;0;10;4;12;114;2
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;119B;290;55;19;5;2;0;19;0;18;118;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;103;;120;399;62;34;9;7;0;14;2;22;150;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;121;376;77;34;9;7;0;19;3;10;159;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;122;359;53;22;12;2;0;19;4;16;128;1
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;123;392;50;57;15;4;0;23;1;13;163;0
326;Saint-Henri-Sainte-Anne;2022-10-03;G;Montréal, v;104;;124;362;44;51;20;2;0;9;1;3;130;0
