Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Simon C.A.Q.-E.F.L.;Bélanger Alain Ind;Boisvert Françoise U.F.F.;Brodeur Gilles P51;Gélinas Dominique P.Q.;Malenfant-Veilleux Alexandra P.L.Q./Q.L.P.;Noël Serge P.C.Q-E.E.D.;Piotte Simon Q.S.;Simon Daniel P.V.Q./G.P.Q.;B.V.;B.R.
666;Maskinongé;2022-10-03;G;Saint-Édouard-de-Maskinongé, m;1;;50;321;102;0;0;0;21;4;12;20;0;159;1
666;Maskinongé;2022-10-03;G;Saint-Édouard-de-Maskinongé, m;1;;51;350;95;0;0;0;32;3;28;16;2;176;1
666;Maskinongé;2022-10-03;G;Saint-Justin, m;1;;52;409;100;0;0;0;46;4;43;21;1;215;2
666;Maskinongé;2022-10-03;G;Saint-Justin, m;1;;53;420;127;1;2;2;33;10;29;23;0;227;2
666;Maskinongé;2022-10-03;G;Maskinongé, m;1;;54;381;118;0;3;1;22;9;40;15;5;213;1
666;Maskinongé;2022-10-03;G;Maskinongé, m;1;;55;384;140;1;0;0;37;12;26;18;1;235;4
666;Maskinongé;2022-10-03;G;Maskinongé, m;1;;56;370;104;0;0;1;14;7;31;21;4;182;5
666;Maskinongé;2022-10-03;G;Maskinongé, m;1;;57;385;98;0;1;0;24;12;22;14;1;172;1
666;Maskinongé;2022-10-03;G;Maskinongé, m;1;;58;397;101;2;0;0;35;5;45;18;1;207;3
666;Maskinongé;2022-10-03;G;Louiseville, v;1;;59;343;68;1;1;0;17;7;24;15;2;135;2
666;Maskinongé;2022-10-03;G;Louiseville, v;1;;60;365;54;0;0;0;18;8;31;22;1;134;3
666;Maskinongé;2022-10-03;G;Louiseville, v;1;;61;368;72;1;0;0;15;8;23;7;1;127;1
666;Maskinongé;2022-10-03;G;Louiseville, v;1;;62;348;48;1;0;2;16;4;17;6;0;94;2
666;Maskinongé;2022-10-03;G;Louiseville, v;1;;63;360;56;0;1;0;21;6;14;7;2;107;1
666;Maskinongé;2022-10-03;G;Louiseville, v;1;;64;358;67;2;0;0;13;8;17;5;1;113;3
666;Maskinongé;2022-10-03;G;Louiseville, v;1;;65;366;95;0;3;0;27;15;19;10;0;169;1
666;Maskinongé;2022-10-03;G;Louiseville, v;2;;66;379;88;1;0;0;21;5;16;17;2;150;1
