Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Crispin Diana Mélissa P.L.Q./Q.L.P.;Laurin Pascal P.C.Q-E.E.D.;St-Louis François C.A.Q.-E.F.L.;Trudel Flavie Q.S.;Venne Véronique P.Q.;B.V.;B.R.
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;34;405;3;8;51;11;43;116;3
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;35;381;2;12;78;20;41;153;1
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;36;372;3;9;51;11;50;124;2
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;37;386;6;9;57;18;42;132;1
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;38;397;6;22;52;29;44;153;3
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;39;407;4;11;48;21;42;126;4
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;40;389;1;18;50;18;54;141;2
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;41;388;3;13;46;32;56;150;2
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;42;388;5;19;69;20;50;163;3
570;Joliette;2022-10-03;G;Notre-Dame-des-Prairies, v;2;;43;413;5;18;61;19;47;150;4
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;1;;44;322;5;20;32;30;39;126;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;1;;45;373;5;18;59;8;40;130;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;1;;46;334;4;15;49;14;30;112;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;1;;47;304;2;4;34;18;45;103;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;1;;48;394;4;9;48;26;46;133;2
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;1;;49;323;3;3;43;16;61;126;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;1;;50;354;3;10;64;23;49;149;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;2;;51;309;6;7;49;11;31;104;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;2;;52;328;3;7;68;7;49;134;0
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;2;;53;353;8;9;62;27;68;174;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;2;;54;376;3;18;48;17;35;121;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;2;;55;314;3;12;51;17;51;134;2
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;2;;56;315;0;5;47;12;38;102;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;2;;57;326;3;12;61;12;45;133;3
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;3;;58;379;2;6;41;11;38;98;7
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;3;;59;371;1;5;38;9;55;108;1
570;Joliette;2022-10-03;G;Saint-Charles-Borromée, v;3;;60;376;2;11;41;10;65;129;3
