Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchesne Marco P.V.Q./G.P.Q.;Cournoyer Myriam P.C.Q-E.E.D.;Couture-Picard Emrick P.Q.;Martel Tony Q.S.;Poirier Pierre P.L.Q./Q.L.P.;Schneeberger Sébastien C.A.Q.-E.F.L.;Therion Steve E.A.;B.V.;B.R.
138;Drummond-Bois-Francs;2022-10-03;G;Notre-Dame-du-Bon-Conseil, p;1;;54;355;1;51;25;14;6;64;0;161;4
138;Drummond-Bois-Francs;2022-10-03;G;Notre-Dame-du-Bon-Conseil, vl;1;;55;308;1;27;30;17;4;64;1;144;4
138;Drummond-Bois-Francs;2022-10-03;G;Notre-Dame-du-Bon-Conseil, vl;1;;56;308;0;32;20;8;5;50;2;117;6
138;Drummond-Bois-Francs;2022-10-03;G;Notre-Dame-du-Bon-Conseil, vl;1;;57;321;1;38;34;22;8;51;1;155;2
138;Drummond-Bois-Francs;2022-10-03;G;Notre-Dame-du-Bon-Conseil, vl;1;;58;322;2;48;31;17;7;49;1;155;7
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;1;;59;306;0;36;26;20;2;80;1;165;1
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;1;;60;309;2;24;23;14;1;69;0;133;0
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;2;;61;412;3;35;27;23;8;103;2;201;0
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;2;;62;401;1;26;28;21;5;66;0;147;4
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;2;;63;407;4;25;32;32;8;69;0;170;6
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;2;;64;413;3;32;33;20;9;100;0;197;4
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;2;;65;390;3;21;17;19;2;86;3;151;3
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;2;;66;403;4;36;18;34;1;58;0;151;4
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;2;;67;402;1;19;12;10;6;78;0;126;1
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;2;;68;391;0;20;21;11;6;85;1;144;3
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;69;370;1;17;17;15;3;67;0;120;3
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;70;360;2;14;22;21;10;53;0;122;3
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;71;376;2;14;42;23;5;84;0;170;5
138;Drummond-Bois-Francs;2022-10-03;G;Drummondville, v;3;;72;372;1;12;15;10;5;55;0;98;4
