Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caire Éric C.A.Q.-E.F.L.;Doumalin Frédéric P.L.Q./Q.L.P.;Fortin Alain C.Q.;Grand'Maison Martin D.D.;Grondin Olivier P.N.;Lachance Stéphane P.C.Q-E.E.D.;Riedo Sandra Mara P.V.Q./G.P.Q.;Trudel Martin P.Q.;Villeneuve Lucie Q.S.;B.V.;B.R.
720;La Peltrie;2022-10-03;G;Québec, v;7;;99;375;82;11;0;0;0;53;2;15;16;179;3
720;La Peltrie;2022-10-03;G;Québec, v;7;;100;383;39;10;0;1;0;62;0;14;14;140;3
720;La Peltrie;2022-10-03;G;Québec, v;7;;101;366;73;15;1;0;1;46;0;13;11;160;1
720;La Peltrie;2022-10-03;G;Québec, v;7;;102;367;72;18;0;0;0;38;1;6;14;149;2
720;La Peltrie;2022-10-03;G;Québec, v;7;;103;372;46;3;1;0;0;56;1;13;27;147;2
720;La Peltrie;2022-10-03;G;Québec, v;7;;104;377;50;6;0;0;0;63;1;18;7;145;0
720;La Peltrie;2022-10-03;G;Québec, v;8;;105;381;76;11;0;0;2;52;1;11;9;162;3
720;La Peltrie;2022-10-03;G;Québec, v;8;;106;379;67;12;0;0;2;53;0;13;14;161;4
720;La Peltrie;2022-10-03;G;Québec, v;8;;107;380;102;6;0;0;0;46;1;10;13;178;5
720;La Peltrie;2022-10-03;G;Québec, v;8;;108;372;58;12;0;0;0;33;2;27;20;152;0
720;La Peltrie;2022-10-03;G;Québec, v;8;;109;389;62;18;0;0;0;46;1;29;18;174;2
720;La Peltrie;2022-10-03;G;Québec, v;8;;110;388;75;16;0;0;5;50;1;14;22;183;2
720;La Peltrie;2022-10-03;G;Québec, v;8;;111;385;66;7;0;0;0;70;1;21;15;180;0
720;La Peltrie;2022-10-03;G;Québec, v;8;;112;370;43;6;0;1;0;55;1;16;19;141;8
720;La Peltrie;2022-10-03;G;Québec, v;8;;113;385;58;18;0;0;4;61;1;13;16;171;6
