Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aquin-Belleau Vincent P.V.Q./G.P.Q.;Chekal Lyes P.L.Q./Q.L.P.;Chénier Pierre P.M.L.Q.;Dorismond Shirley C.A.Q.-E.F.L.;Nantel Pierre P.Q.;Ouellet Martine C.Q.;Portron Florent E.A.;Stillo Lara P.C.Q-E.E.D.;Vaithyanathasarma Shophika Q.S.;B.V.;B.R.
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;17;380;4;11;0;43;56;0;1;10;41;166;6
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;18;372;4;21;1;19;28;1;0;14;25;113;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;19;369;1;15;0;41;24;0;1;9;14;105;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;20;399;0;18;0;14;15;1;0;16;22;86;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;21;402;0;24;0;25;19;2;0;18;27;115;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;22;410;0;29;1;31;24;1;0;14;22;122;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;23;396;1;10;0;39;22;1;0;5;22;100;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;24;397;0;14;0;28;19;2;2;9;24;98;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;25;413;0;18;0;39;49;5;0;8;34;153;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;26;379;0;10;2;33;67;1;0;1;26;140;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;27;398;0;18;0;34;37;7;0;11;28;135;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;18;;28;385;1;13;0;23;14;1;0;2;15;69;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;19;;29;380;2;23;1;29;23;1;0;13;32;124;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;19;;30;365;1;7;0;34;31;2;0;5;29;109;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;19;;31;362;0;9;0;29;50;2;0;6;33;129;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;19;;32;358;1;3;1;30;28;2;0;8;28;101;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;19;;33;355;1;6;0;28;55;1;0;9;53;153;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;19;;34;356;1;4;0;33;48;0;0;7;34;127;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;19;;35;367;2;5;0;23;46;1;0;5;46;128;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;19;;36;367;0;10;0;26;59;1;0;2;41;139;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;20;;37;376;2;13;0;39;72;3;0;6;43;178;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;20;;38;368;5;18;0;38;35;1;0;11;53;161;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;20;;39;378;3;13;0;40;47;2;0;12;51;168;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;20;;40;367;0;13;0;32;31;1;0;11;44;132;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;20;;41;370;3;17;0;36;31;2;1;17;44;151;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;20;;42;366;1;18;1;44;35;1;0;6;46;152;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;20;;43;385;5;17;0;50;37;4;0;12;61;186;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;20;;44;357;2;10;0;30;54;0;0;7;52;155;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;21;;45;418;5;6;0;39;85;0;0;5;70;210;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;21;;46;410;0;15;0;43;63;2;0;7;51;181;5
246;Marie-Victorin;2022-10-03;G;Longueuil, v;21;;47;400;2;3;0;36;61;4;0;9;56;171;1
246;Marie-Victorin;2022-10-03;G;Longueuil, v;21;;48;413;1;7;0;52;55;1;1;13;63;193;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;21;;49;408;3;13;0;32;71;1;0;8;80;208;4
246;Marie-Victorin;2022-10-03;G;Longueuil, v;21;;50;421;2;12;0;34;60;2;0;9;57;176;10
246;Marie-Victorin;2022-10-03;G;Longueuil, v;21;;51;411;4;9;0;35;70;0;0;6;74;198;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;22;;52;400;1;9;0;41;32;3;1;15;34;136;0
246;Marie-Victorin;2022-10-03;G;Longueuil, v;22;;53;399;1;18;0;45;43;1;0;16;45;169;2
246;Marie-Victorin;2022-10-03;G;Longueuil, v;22;;54;421;3;18;1;36;45;2;0;12;40;157;3
246;Marie-Victorin;2022-10-03;G;Longueuil, v;22;;55A;226;3;8;1;22;19;2;0;9;21;85;1
