Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bégin François P.L.Q./Q.L.P.;D'Auteuil Sirois Jérôme Q.S.;Fontaine Jean-Daniel P.Q.;Lachance Stéphanie C.A.Q.-E.F.L.;Tardif Michel P.C.Q-E.E.D.;B.V.;B.R.
822;Bellechasse;2022-10-03;G;Saint-Malachie, p;1;;33;406;10;16;19;74;87;206;3
822;Bellechasse;2022-10-03;G;Sainte-Claire, m;1;Regr. BVDS-1;34;420;0;0;0;0;0;0;0
822;Bellechasse;2022-10-03;G;Sainte-Claire, m;1;;35;385;4;6;13;85;82;190;8
822;Bellechasse;2022-10-03;G;Sainte-Claire, m;1;;36;367;4;5;7;77;74;167;5
822;Bellechasse;2022-10-03;G;Sainte-Claire, m;1;;37A;217;4;6;11;33;65;119;1
822;Bellechasse;2022-10-03;G;Sainte-Claire, m;1;;37B;224;1;5;11;47;55;119;0
822;Bellechasse;2022-10-03;G;Sainte-Claire, m;1;;38;394;4;10;21;113;72;220;2
822;Bellechasse;2022-10-03;G;Sainte-Claire, m;1;;39;384;6;13;10;76;95;200;2
822;Bellechasse;2022-10-03;G;Sainte-Claire, m;1;;40;368;6;5;22;87;86;206;4
822;Bellechasse;2022-10-03;G;Honfleur, m;1;;41;304;13;2;6;54;64;139;2
822;Bellechasse;2022-10-03;G;Honfleur, m;1;;42;311;6;1;4;73;82;166;4
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;43;374;10;8;13;86;96;213;9
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;44;354;10;12;11;75;64;172;0
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;45;368;7;10;9;69;71;166;1
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;46;419;8;8;16;76;62;170;2
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;47A;259;7;7;19;60;64;157;1
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;47B;239;8;15;14;55;40;132;2
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;48;373;12;13;12;80;87;204;4
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;49;426;17;19;24;83;85;228;0
822;Bellechasse;2022-10-03;G;Saint-Anselme, m;1;;50;366;14;9;6;79;81;189;0
822;Bellechasse;2022-10-03;G;Saint-Henri, m;1;;51;316;4;8;9;55;66;142;3
822;Bellechasse;2022-10-03;G;Saint-Henri, m;1;;52;351;10;9;17;61;68;165;4
822;Bellechasse;2022-10-03;G;Saint-Henri, m;1;;53;349;6;12;12;50;65;145;3
822;Bellechasse;2022-10-03;G;Saint-Henri, m;1;;54;359;4;6;11;77;61;159;2
822;Bellechasse;2022-10-03;G;Saint-Henri, m;1;;55;384;7;16;22;46;69;160;3
822;Bellechasse;2022-10-03;G;Saint-Henri, m;2;;56;411;9;9;8;61;80;167;2
822;Bellechasse;2022-10-03;G;Saint-Henri, m;2;;57;359;5;15;9;61;62;152;4
822;Bellechasse;2022-10-03;G;Saint-Henri, m;2;;58;345;11;13;8;58;46;136;3
822;Bellechasse;2022-10-03;G;Saint-Henri, m;2;;59;368;5;7;10;38;55;115;2
822;Bellechasse;2022-10-03;G;Saint-Henri, m;2;;60;356;6;15;9;49;56;135;3
822;Bellechasse;2022-10-03;G;Saint-Henri, m;2;;61;359;9;12;11;56;88;176;1
822;Bellechasse;2022-10-03;G;Saint-Henri, m;2;;62;383;18;6;11;51;79;165;3
822;Bellechasse;2022-10-03;G;Saint-Charles-de-Bellechasse, m;1;;63;367;9;10;27;113;80;239;3
822;Bellechasse;2022-10-03;G;Saint-Charles-de-Bellechasse, m;1;;64;401;10;17;30;116;90;263;6
822;Bellechasse;2022-10-03;G;Saint-Charles-de-Bellechasse, m;1;;65;383;16;25;24;108;84;257;4
822;Bellechasse;2022-10-03;G;Saint-Charles-de-Bellechasse, m;1;;66;374;4;22;12;129;72;239;1
822;Bellechasse;2022-10-03;G;Saint-Charles-de-Bellechasse, m;1;;67;391;11;14;23;110;90;248;8
822;Bellechasse;2022-10-03;G;Saint-Gervais, m;1;;68;404;13;16;21;100;87;237;5
822;Bellechasse;2022-10-03;G;Saint-Gervais, m;1;;69;393;10;9;15;103;74;211;6
822;Bellechasse;2022-10-03;G;Saint-Gervais, m;1;;70;419;20;13;11;129;85;258;4
822;Bellechasse;2022-10-03;G;Saint-Gervais, m;1;;71;417;10;10;18;106;109;253;7
822;Bellechasse;2022-10-03;G;Saint-Lazare-de-Bellechasse, m;1;;72;320;10;9;25;113;48;205;5
822;Bellechasse;2022-10-03;G;Saint-Lazare-de-Bellechasse, m;1;;73;340;7;13;23;110;86;239;2
822;Bellechasse;2022-10-03;G;Saint-Lazare-de-Bellechasse, m;1;;74;349;4;11;21;71;76;183;3
822;Bellechasse;2022-10-03;G;Saint-Damien-de-Buckland, p;1;;75;381;5;6;15;105;64;195;1
822;Bellechasse;2022-10-03;G;Saint-Damien-de-Buckland, p;1;;76;252;0;6;12;64;38;120;0
822;Bellechasse;2022-10-03;G;Saint-Damien-de-Buckland, p;1;;77;372;5;7;13;79;51;155;2
822;Bellechasse;2022-10-03;G;Saint-Damien-de-Buckland, p;1;;78;345;2;10;10;77;34;133;1
822;Bellechasse;2022-10-03;G;Armagh, m;1;;79;389;11;16;12;112;85;236;1
822;Bellechasse;2022-10-03;G;Armagh, m;1;;80;389;11;8;20;111;93;243;1
822;Bellechasse;2022-10-03;G;Armagh, m;1;;81;382;8;13;12;106;92;231;3
822;Bellechasse;2022-10-03;G;Saint-Nérée-de-Bellechasse, m;1;;82;311;1;10;19;83;72;185;4
822;Bellechasse;2022-10-03;G;Saint-Nérée-de-Bellechasse, m;1;;83;321;3;14;17;84;93;211;1
822;Bellechasse;2022-10-03;G;Saint-Raphaël, m;1;;84;412;3;7;26;88;84;208;6
822;Bellechasse;2022-10-03;G;Saint-Raphaël, m;1;;85;410;4;15;23;115;81;238;1
822;Bellechasse;2022-10-03;G;Saint-Raphaël, m;1;;86;399;8;12;20;100;96;236;2
822;Bellechasse;2022-10-03;G;Saint-Raphaël, m;1;;87;357;4;11;13;79;60;167;5
822;Bellechasse;2022-10-03;G;Saint-Raphaël, m;1;;88;392;16;14;19;80;80;209;5
822;Bellechasse;2022-10-03;G;La Durantaye, p;1;;89;295;5;6;14;53;59;137;5
822;Bellechasse;2022-10-03;G;La Durantaye, p;1;;90;310;5;10;20;60;66;161;3
822;Bellechasse;2022-10-03;G;Saint-Vallier, m;1;;91;281;8;14;25;55;51;153;0
822;Bellechasse;2022-10-03;G;Saint-Vallier, m;1;;92;263;2;15;23;62;32;134;1
822;Bellechasse;2022-10-03;G;Saint-Vallier, m;1;;93;295;5;25;23;61;46;160;4
822;Bellechasse;2022-10-03;G;Saint-Michel-de-Bellechasse, m;1;;94;350;3;36;34;74;42;189;3
822;Bellechasse;2022-10-03;G;Saint-Michel-de-Bellechasse, m;1;;95;382;7;19;23;90;49;188;1
822;Bellechasse;2022-10-03;G;Saint-Michel-de-Bellechasse, m;1;;96;380;9;23;32;88;43;195;2
822;Bellechasse;2022-10-03;G;Saint-Michel-de-Bellechasse, m;1;;97;364;12;14;24;90;58;198;0
822;Bellechasse;2022-10-03;G;Beaumont, m;1;;98;363;11;13;36;93;62;215;2
822;Bellechasse;2022-10-03;G;Beaumont, m;1;;99;410;15;28;23;110;82;258;1
822;Bellechasse;2022-10-03;G;Beaumont, m;1;;100;356;9;20;22;106;58;215;4
822;Bellechasse;2022-10-03;G;Beaumont, m;1;;101;350;17;30;34;99;59;239;2
822;Bellechasse;2022-10-03;G;Beaumont, m;1;;102;413;6;20;41;126;93;286;5
822;Bellechasse;2022-10-03;G;Beaumont, m;1;;103;335;5;9;27;109;62;212;4
822;Bellechasse;2022-10-03;G;Lévis, v;30;;104A;299;7;16;11;53;46;133;1
822;Bellechasse;2022-10-03;G;Lévis, v;30;;104B;257;6;10;8;42;35;101;6
822;Bellechasse;2022-10-03;G;Lévis, v;30;;105;388;9;10;7;82;40;148;0
822;Bellechasse;2022-10-03;G;Lévis, v;30;;106A;238;8;12;8;30;31;89;1
822;Bellechasse;2022-10-03;G;Lévis, v;30;;106B;220;3;9;6;38;19;75;3
822;Bellechasse;2022-10-03;G;Lévis, v;30;;107;388;7;23;27;74;49;180;2
822;Bellechasse;2022-10-03;G;Lévis, v;30;;108A;246;8;14;12;29;29;92;3
